SampleID,Timepoint,Moisture
X0h100pctP08a_26_1_11402,0,100
X0h100pctP14a_4_1_11374,0,100
X0h100pctP16b_8_1_11378,0,100
X0h50pctP09b_15_1_11389,0,50
X0h50pctP10b_40_1_11420,0,50
X0h50pctP13b_25_1_11401,0,50
X168h100pctP08a_17_1_11391,168,100
X168h100pctP08a.DI_x_x_000001,168,100
X168h100pctP14a_10_1_11380,168,100
X168h100pctP16a_34_1_11412,168,100
X168h50pctP09a_18_1_11392,168,50
X168h50pctP10a_37_1_11415,168,50
X168h50pctP13a_6_1_11376,168,50
X24h100pctP08a_21_1_11397,24,100
X24h100pctP14a_33_1_11411,24,100
X24h100pctP16a_5_1_11375,24,100
X24h50pctP09a_22_1_11398,24,50
X24h50pctP10a_30_1_11408,24,50
X24h50pctP13a_3_1_11373,24,50
X3h100pctP08a_38_1_11416,3,100
X3h100pctP14a_36_1_11414,3,100
X3h100pctP16a_24_1_11400,3,100
X3h50pctP09a_19_1_11395,3,50
X3h50pctP10a_1_1_11371,3,50
X3h50pctP13a_9_1_11379,3,50
X48h100pctP08a_13_1_11385,48,100
X48h100pctP14a_27_1_11403,48,100
X48h100pctP14a.DI_x_x_000001,48,100
X48h100pctP16a_32_1_11410,48,100
X48h50pctP09a_14_1_11386,48,50
X48h50pctP10a_20_1_11396,48,50
X48h50pctP13a_35_1_11413,48,50
X72h100pctP08a_16_1_11390,72,100
X72h100pctP14a_12_1_11384,72,100
X72h100pctP16a_11_1_11383,72,100
X72h50pctP09a_23_1_11399,72,50
