unique.tube	g.wet.soil.extracted	total.DNA.extracted.ng.ul	total.DNA.extracted.ng	total.DNA.extracted.ug	g.dry.soil.extracted	ug.DNA.added.to.tube	g.dry.soil.tube
rA_t0_16O	1.2	142	21300	21.3	1.177625123	5	0.276437822
rB_t0_16O	1.2	178	26700	26.7	1.177625123	5	0.220529049
rC_t0_16O	1.2	163	24450	24.45	1.177625123	5	0.240823133
rA_t3_16O	1.2	127	19050	19.05	0.981354269	5	0.257573299
rB_t3_16O	1.2	108	16200	16.2	0.981354269	5	0.30288712
rC_t3_16O	1.2	111	16650	16.65	0.981354269	5	0.294700982
rA_t3_18O	1.2	99.7	14955	14.955	0.981354269	5	0.328102397
rB_t3_18O	1.2	115	17250	17.25	0.981354269	5	0.284450513
rC_t3_18O	1.2	103	15450	15.45	0.981354269	5	0.317590378
rA_t24_16O	1.2	124	18600	18.6	0.981354269	5	0.263804911
rB_t24_16O	1.2	140	21000	21	0.981354269	5	0.233655778
rC_t24_16O	1.2	134	20100	20.1	0.981354269	5	0.244117977
rA_t24_18O	1.2	99.6	14940	14.94	0.981354269	5	0.328431817
rB_t24_18O	1.2	96.6	14490	14.49	0.981354269	5	0.338631563
rC_t24_18O	1.2	110	16500	16.5	0.981354269	5	0.297380081
rA_t48_16O	1.2	131	19650	19.65	0.981354269	5	0.249708465
rB_t48_16O	1.2	123	18450	18.45	0.981354269	5	0.265949666
rC_t48_16O	1.2	146	21900	21.9	0.981354269	5	0.224053486
rA_t48_18O	1.2	111	16650	16.65	0.981354269	5	0.294700982
rB_t48_18O	1.2	129	19350	19.35	0.981354269	5	0.253579914
rC_t48_18O	1.2	142	21300	21.3	0.981354269	5	0.230364852
rA_t72_16O	1.2	162	24300	24.3	0.981354269	5	0.201924747
rB_t72_16O	1.2	183	27450	27.45	0.981354269	5	0.178753054
rC_t72_16O	1.2	157	23550	23.55	0.981354269	5	0.208355471
rA_t72_18O	1.2	115	17250	17.25	0.981354269	5	0.284450513
rB_t72_18O	1.2	125	18750	18.75	0.981354269	5	0.261694472
rC_t72_18O	1.2	126	18900	18.9	0.981354269	5	0.259617531
rA_t168_16O	1.2	104	15600	15.6	0.981354269	5	0.314536625
rB_t168_16O	1.2	124	18600	18.6	0.981354269	5	0.263804911
rC_t168_16O	1.2	110	16500	16.5	0.981354269	5	0.297380081
rA_t168_18O	1.2	104	15600	15.6	0.981354269	5	0.314536625
rB_t168_18O	1.2	106	15900	15.9	0.981354269	5	0.308601971
rC_t168_18O	1.2	104	15600	15.6	0.981354269	5	0.314536625
