Biomolecule,Shared,Shared2,KO,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from UDP-glcNac or GlcNac-6P,k00075,murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from Fru-6P,k00621,"GNPNAT1, GNA1; glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from UDP-glcNac or GlcNac-6P,k00790,murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from Fru-6P,k00820,"glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from Fru-6P,k00972,UAP1; UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from UDP-glcNac or GlcNac-6P,k00992,murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from UDP-glcNac or GlcNac-6P,k01791,wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from Fru-6P,k01836,PGM3; phosphoacetylglucosamine mutase [EC:5.4.2.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from UDP-glcNac or GlcNac-6P,k02473,wbpP; UDP-N-acetylglucosamine 4-epimerase [EC:5.1.3.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from UDP-glcNac or GlcNac-6P,k02474,wbpO; UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from Fru-6P,k03431,glmM; phosphoglucosamine mutase [EC:5.4.2.10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from Fru-6P,k04042,glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from UDP-glcNac or GlcNac-6P,k07102,amgK; N-acetylmuramate 1-kinase [EC:2.7.1.221],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from UDP-glcNac or GlcNac-6P,k07106,murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptidoglycan biosynthesis,aminosugar production,from UDP-glcNac or GlcNac-6P,k08086,fimV; pilus assembly protein FimV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
