Biomolecule,Shared,Shared2,KO,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,shared,shared,K00940,"ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,shared,shared,k18533,AK9; adenylate/nucleoside-diphosphate kinase [EC:2.7.4.3 2.7.4.6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,shared,"UMP to UDP, UTP, CTP, CDP",K13800,"CMPK1, UMPK; UMP-CMP kinase [EC:2.7.4.14]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,shared,"UMP to UDP, UTP, CTP, CDP",k13809,"CMPK2; UMP-CMP kinase 2, mitochondrial [EC:2.7.4.14]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),shared,K01756,"purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K11808,ADE2; phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K01588,purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),PRPP + glutamine to IMP,K01589,purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),"IMP to ATP, GTP",K00088,"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),"IMP to ATP, GTP",K00939,"adk, AK; adenylate kinase [EC:2.7.4.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleotide biosynthesis,Purine biosynthesis (from ribose-5P +glutamine to adenine and guanine ribonucleotides monophosphate),"IMP to ATP, GTP",K00942,"E2.7.4.8, gmk; guanylate kinase [EC:2.7.4.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
