Biomolecule,Shared,Shared2,KO,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teichoic acids,from UND-PP,to WTA,k06153,bacA; undecaprenyl-diphosphatase [EC:3.6.1.27],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teichoic acids,from UND-PP,to WTA,k19302,bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teichoic acids,from UND-PP,to WTA,k02851,"wecA, tagO, rfe; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teichoic acids,from UND-PP,to WTA,k05946,"tagA, tarA; N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teichoic acids,from UND-PP,to WTA,k21285,"tagB, tarB; teichoic acid glycerol-phosphate primase [EC:2.7.8.44]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teichoic acids,from UND-PP,to WTA,k09809,tagF; CDP-glycerol glycerophosphotransferase [EC:2.7.8.12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teichoic acids,from UND-PP,to WTA,k00712,tagE; poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teichoic acids,from UND-PP,to WTA,k03367,dltA; D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teichoic acids,from UND-PP,to WTA,k14188,dltC; D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teichoic acids,from UND-PP,to WTA,k03739,dltB; membrane protein involved in D-alanine export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
