"","KO","Metabolism","Pathway","Subpathway","Name"
"1","K00811","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","ASP5; aspartate aminotransferase, chloroplastic [EC:2.6.1.1]"
"2","K00812","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","aspB; aspartate aminotransferase [EC:2.6.1.1]"
"3","K00813","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","aspC; aspartate aminotransferase [EC:2.6.1.1]"
"4","K00817","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]"
"5","K00821","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]"
"6","K00838","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]"
"7","K05828","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","lysZ, argB; LysW-gamma-L-alpha-aminoadipate/LysW-L-glutamate kinase [EC:2.7.2.-]"
"8","K05829","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","lysY, argC; LysW-gamma-L-alpha-aminoadipyl-6-phosphate/LysW-L-glutamyl-5-phosphate reductase [EC:1.2.1.-]"
"9","K05830","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","lysJ, argD; LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase [EC:2.6.1.-]"
"10","K05831","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","lysK, argE; [amino group carrier protein]-lysine/ornithine hydrolase [EC:3.5.1.130 3.5.1.132]"
"11","K11358","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","yhdR; aspartate aminotransferase [EC:2.6.1.1]"
"12","K12526","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Lysine/methionine","lysAC; bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]"
"13","K14260","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]"
"14","K14272","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","GGAT; glutamate--glyoxylate aminotransferase [EC:2.6.1.4 2.6.1.2 2.6.1.44]"
"15","K14454","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","GOT1; aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]"
"16","K14455","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other","GOT2; aspartate aminotransferase, mitochondrial [EC:2.6.1.1]"
"17","K00133","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Lysine/methionine","asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]"
"18","K00928","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Lysine/methionine","lysC; aspartate kinase [EC:2.7.2.4]"
"19","K12524","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Lysine/methionine","thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]"
"20","K12525","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Lysine/methionine","metL; bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]"
"21","K25032","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other",""
"22","K24017","Biosynthesis","Amino acid biosynthesis","Amino acid bioysnthesis: shared or other",""
"23","K00558","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine","DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"
"24","K00789","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine","metK; S-adenosylmethionine synthetase [EC:2.5.1.6]"
"25","K01243","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine","mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]"
"26","K01251","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine","E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]"
"27","K01566","Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine",""
