Pathway,Subpathway,shared,KO,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatty acid degradation,initiation,to hexadecanoyl-CoA,K01897,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatty acid degradation,initiation,to hexadecanoyl-CoA,k15013,ACSBG; long-chain-fatty-acid--CoA ligase ACSBG [EC:6.2.1.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatty acid degradation,initiation,to hexadecanoyl-CoA,k08765,"CPT1A; carnitine O-palmitoyltransferase 1, liver isoform [EC:2.3.1.21]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatty acid degradation,initiation,to hexadecanoyl-CoA,k19523,"CPT1B; carnitine O-palmitoyltransferase 1, muscle isoform [EC:2.3.1.21]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatty acid degradation,initiation,to hexadecanoyl-CoA,k19524,"CPT1C; carnitine O-palmitoyltransferase 1, brain isoform [EC:2.3.1.21]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatty acid degradation,initiation,to hexadecanoyl-CoA,k08766,CPT2; carnitine O-palmitoyltransferase 2 [EC:2.3.1.21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K00232,"E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,k00248,"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K00249,"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K00255,ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,k00626,"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K00632,"fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K01692,"paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K01782,fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K01825,fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K06445,fadE; acyl-CoA dehydrogenase [EC:1.3.99.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K07508,ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K07509,HADHB; acetyl-CoA acyltransferase [EC:2.3.1.16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K07511,ECHS1; enoyl-CoA hydratase [EC:4.2.1.17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K07513,ACAA1; acetyl-CoA acyltransferase 1 [EC:2.3.1.16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K07515,HADHA; enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K07516,fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,k09478,ACADSB; short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K09479,ACADVL; very long chain acyl-CoA dehydrogenase [EC:1.3.8.9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,K13767,fadB; enoyl-CoA hydratase [EC:4.2.1.17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,k10527,MFP2; enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35 1.1.1.211],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,betaoxidation,to acetyl-CoA,k07514,"EHHADH; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,other,,k13238,"ECI1, DCI; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,other,,k13239,"ECI2, PECI; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,other,,k07517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,other,,k18880,"ECI3, HCD1; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,other,,k00496,"alkB1_2, alkM; alkane 1-monooxygenase [EC:1.14.15.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,other,,k13951,ADH1_7; alcohol dehydrogenase 1/7 [EC:1.1.1.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty acid degradation,other,,k13952,ADH6; alcohol dehydrogenase 6 [EC:1.1.1.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
