Pathway,Subpathway,shared,KO,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k00365,uaZ; urate oxidase [EC:1.7.3.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k01466,allB; allantoinase [EC:3.5.2.5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k07127,"uraH, pucM, hiuH; 5-hydroxyisourate hydrolase [EC:3.5.2.17]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k13485,"PRHOXNB, URAD; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k16839,hpxO; FAD-dependent urate hydroxylase [EC:1.14.13.113],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k16840,hpxQ; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k16842,hpxB; allantoinase [EC:3.5.2.5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k00073,allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k00839,pucG; (S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k01477,"alc, ALLC; allantoicase [EC:3.5.3.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k01483,allA; ureidoglycolate lyase [EC:4.3.2.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k02083,allC; allantoate deiminase [EC:3.5.3.9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k14977,"ylbA, UGHY; (S)-ureidoglycine aminohydrolase [EC:3.5.3.26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k16856,ugl; ureidoglycolate lyase [EC:4.3.2.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k00087,"ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k00106,XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k01486,ade; adenine deaminase [EC:3.5.4.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k01487,"E3.5.4.3, guaD; guanine deaminase [EC:3.5.4.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k11177,yagR; xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k11178,yagS; xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k13479,"ygeT, xdhB; xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k13481,xdhA; xanthine dehydrogenase small subunit [EC:1.17.1.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k13482,xdhB; xanthine dehydrogenase large subunit [EC:1.17.1.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k13483,yagT; xanthine dehydrogenase YagT iron-sulfur-binding subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k03783,"punA, PNP; purine-nucleoside phosphorylase [EC:2.4.2.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k03784,deoD; purine-nucleoside phosphorylase [EC:2.4.2.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k01488,"add, ADA; adenosine deaminase [EC:3.5.4.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k21053,ade; adenine deaminase [EC:3.5.4.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k19572,"CECR1, ADA2; adenosine deaminase CECR1 [EC:3.5.4.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k22879,hpyO; FAD-dependent urate hydroxylase [EC:1.14.13.113],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k13484,TTHL; 5-hydroxyisourate hydrolase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:3.5.2.17 4.1.1.97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k19964,HIUH; hydroxyisourate hydrolase [EC:3.5.2.17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k16838,pucL; urate oxidase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:1.7.3.3 4.1.1.97],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k16841,hpxA; allantoin racemase [EC:5.1.99.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k18151,UAH; ureidoglycolate amidohydrolase [EC:3.5.1.116],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k22601,hpxY; oxamate carbamoyltransferase [EC:2.1.3.5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k22602,hpxW; oxamate amidohydrolase [EC:3.5.1.126],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,purine (deoxy)nucleobases,,k13480,"ygeU, xdhC; xanthine dehydrogenase iron-sulfur-binding subunit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k00756,pdp; pyrimidine-nucleoside phosphorylase [EC:2.4.2.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k00757,"udp, UPP; uridine phosphorylase [EC:2.4.2.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k09913,ppnP; purine/pyrimidine-nucleoside phosphorylase [EC:2.4.2.1 2.4.2.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k01485,codA; cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k00758,"deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k01489,"cdd, CDA; cytidine deaminase [EC:3.5.4.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k09018,rutA; pyrimidine oxygenase [EC:1.14.99.46],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k09019,rutE; 3-hydroxypropanoate dehydrogenase [EC:1.1.1.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k09020,rutB; ureidoacrylate peracid hydrolase [EC:3.5.1.110],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k09021,rutC; aminoacrylate peracid reductase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k09023,rutD; aminoacrylate hydrolase [EC:3.5.1.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k09024,rutF; flavin reductase [EC:1.5.1.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k16066,ydfG; 3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k00207,DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k01431,"UPB1, pydC; beta-ureidopropionase [EC:3.5.1.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k01464,"DPYS, dht, hydA; dihydropyrimidinase [EC:3.5.2.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nucleobase degradation,pyrimidine (deoxy)nucleobases,,k06016,pydC; beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
