Metabolism,Shared,Shared2,KO,Name
,nadh reductase,"NADH Ubiquinone oxidored, mitos",k03878,ND1; NADH-ubiquinone oxidoreductase chain 1 [EC:7.1.1.2]
,nadh reductase,"NADH Ubiquinone oxidored, mitos",k03879,ND2; NADH-ubiquinone oxidoreductase chain 2 [EC:7.1.1.2]
,nadh reductase,"NADH Ubiquinone oxidored, mitos",k03880,ND3; NADH-ubiquinone oxidoreductase chain 3 [EC:7.1.1.2]
,nadh reductase,"NADH Ubiquinone oxidored, mitos",k03881,ND4; NADH-ubiquinone oxidoreductase chain 4 [EC:7.1.1.2]
,nadh reductase,"NADH Ubiquinone oxidored, mitos",k03882,ND4L; NADH-ubiquinone oxidoreductase chain 4L [EC:7.1.1.2]
,nadh reductase,"NADH Ubiquinone oxidored, mitos",k03883,ND5; NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2]
,nadh reductase,"NADH Ubiquinone oxidored, mitos",k03884,ND6; NADH-ubiquinone oxidoreductase chain 6 [EC:7.1.1.2]
,nadh reductase,NADH dehydrogenase ubiq FES mitos,k03934,NDUFS1; NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:7.1.1.2 1.6.99.3]
,nadh reductase,NADH dehydrogenase ubiq FES mitos,k03935,NDUFS2; NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:7.1.1.2 1.6.99.3]
,nadh reductase,NADH dehydrogenase ubiq FES mitos,k03936,NDUFS3; NADH dehydrogenase (ubiquinone) Fe-S protein 3 [EC:7.1.1.2 1.6.99.3]
,nadh reductase,NADH dehydrogenase ubiq FES mitos,k03937,NDUFS4; NADH dehydrogenase (ubiquinone) Fe-S protein 4
,nadh reductase,NADH dehydrogenase ubiq FES mitos,k03938,NDUFS5; NADH dehydrogenase (ubiquinone) Fe-S protein 5
,nadh reductase,NADH dehydrogenase ubiq FES mitos,k03939,NDUFS6; NADH dehydrogenase (ubiquinone) Fe-S protein 6
,nadh reductase,NADH dehydrogenase ubiq FES mitos,k03940,NDUFS7; NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:7.1.1.2 1.6.99.3]
,nadh reductase,NADH dehydrogenase ubiq FES mitos,k03941,NDUFS8; NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:7.1.1.2 1.6.99.3]
,nadh reductase,NADH dehydrogenase ubiq FES mitos,k03942,NDUFV1; NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:7.1.1.2 1.6.99.3]
,nadh reductase,NADH dehydrogenase ubiq FES mitos,k03943,NDUFV2; NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:7.1.1.2 1.6.99.3]
,nadh reductase,NADH dehydrogenase ubiq FES mitos,k03944,NDUFV3; NADH dehydrogenase (ubiquinone) flavoprotein 3
,nadh reductase,"NADH quinone oxidored, prokaryote",k00330,nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]
,nadh reductase,"NADH quinone oxidored, prokaryote",k00331,nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
,nadh reductase,"NADH quinone oxidored, prokaryote",k00332,nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
,nadh reductase,"NADH quinone oxidored, prokaryote",k00333,nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
,nadh reductase,"NADH quinone oxidored, prokaryote",k00334,nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]
,nadh reductase,"NADH quinone oxidored, prokaryote",k00335,nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
,nadh reductase,"NADH quinone oxidored, prokaryote",k00336,nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
,nadh reductase,"NADH quinone oxidored, prokaryote",k00337,nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]
,nadh reductase,"NADH quinone oxidored, prokaryote",k00338,nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]
,nadh reductase,"NADH quinone oxidored, prokaryote",k00339,nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]
,nadh reductase,"NADH quinone oxidored, prokaryote",k00340,nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]
,nadh reductase,"NADH quinone oxidored, prokaryote",k00341,nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]
,nadh reductase,"NADH quinone oxidored, prokaryote",k00342,nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]
,nadh reductase,"NADH quinone oxidored, prokaryote",k00343,nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]
