Metabolism,Shared,Shared2,KO,Name
anaerobic metabolism,to alcohol,2,k00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
anaerobic metabolism,to alcohol,2,k00002,"AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"
anaerobic metabolism,to butyrate,3,k00004,"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"
anaerobic metabolism,to lactate,,k00016,"LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]"
anaerobic metabolism,to butyrate,1,k00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
anaerobic metabolism,to butyrate,1a,k00023,phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
anaerobic metabolism,to butyrate,1,k00074,"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]"
anaerobic metabolism,to butanol,,k00100,bdhAB; butanol dehydrogenase [EC:1.1.1.-]
anaerobic metabolism,to alcohol,2,k00114,exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
anaerobic metabolism,to alcohol,2,k00121,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
anaerobic metabolism,to acetate,4,k00128,ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
anaerobic metabolism,shared,acetate/butanol,k00132,E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
anaerobic metabolism,to acetate,4,k00138,aldB; aldehyde dehydrogenase [EC:1.2.1.-]
anaerobic metabolism,to acetate,4,k00149,ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
anaerobic metabolism,to butyrate,3,k00209,"fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]"
anaerobic metabolism,to propionate,3,k00232,"E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]"
anaerobic metabolism,to propionate,3,k00248,"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"
anaerobic metabolism,shared,acetate/propionate,k00625,"E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]"
