Samples,DNA_ng_ul,volume_ul,Total_DNA_ng,SIP_batch, DNA_loaded_ng,DNA_recovered_ng
12C+16O_0h_100%_P03,83.6,142,11871.2,24,5000,2240.4
12C+16O_0h_100%_P08,142,142,20164,34,5000,3125.3
12C+16O_0h_100%_P14,178,142,25276,24,5000,3278
12C+16O_0h_100%_P16,163,142,23146,24,5000,2029.4
12C+16O_3h_100%_P03,60.7,142,8619.4,,,
12C+16O_3h_100%_P08,127,142,18034,29,5000,4248
12C+16O_3h_100%_P14,108,142,15336,29,5000,3687
12C+16O_3h_100%_P16,111,142,15762,28,5000,3048.1
12C+16O_24h_100%_P03,81.5,142,11573,,,
12C+16O_24h_100%_P08,124,142,17608,29,5000,4557
12C+16O_24h_100%_P14,140,94,13160,27,5000,2594.8
12C+16O_24h_100%_P16,134,142,19028,28,5000,6348.3
12C+16O_48h_100%_P03,70.9,142,10067.8,,,
12C+16O_48h_100%_P08,131,142,18602,34,5000,2398.8
12C+16O_48h_100%_P14,123,142,17466,34,5000,2181.6
12C+16O_48h_100%_P16,146,142,20732,,5000,3221.2
12C+16O_72h_100%_P03,96.6,142,13717.2,,,
12C+16O_72h_100%_P08,162,142,23004,,5000,3044.2
12C+16O_72h_100%_P14,183,142,25986,,5000,3187.7
12C+16O_72h_100%_P16,157,142,22294,,5000,3176
12C+16O_168h_100%_P03,68.2,142,9684.4,,,
12C+16O_168h_100%_P08,104,142,14768,24,5000,2156.7
12C+16O_168h_100%_P14,124,142,17608,24,5000,2688
12C+16O_168h_100%_P16,110,142,15620,24 (or maybe 25),5000,3640.6
12C+16O_0h_50%_P04,90.7,142,12879.4,,,
12C+16O_0h_50%_P09,147,142,20874,25,5000,2936.2
12C+16O_0h_50%_P10,236,142,33512,25,5000,2957.9
12C+16O_0h_50%_P13,223,142,31666,25,5000,2450.4
12C+16O_3h_50%_P04,41.9,142,5949.8,,,
12C+16O_3h_50%_P09,99.6,142,14143.2,29,5000,4132.9
12C+16O_3h_50%_P10,187,142,26554,29,5000,3217.9
12C+16O_3h_50%_P13,169,142,23998,29,5000,3221.6
12C+16O_24h_50%_P04,54.9,142,7795.8,,,
12C+16O_24h_50%_P09,122,142,17324,27,5000,2642.1
12C+16O_24h_50%_P10,174,142,24708,27,5000,2671.9
12C+16O_24h_50%_P13,243,142,34506,27,5000,2960.1
12C+16O_48h_50%_P04,54,142,7668,,,
12C+16O_48h_50%_P09,119,142,16898,27,5000,2818.7
12C+16O_48h_50%_P10,157,142,22294,27,5000,2349.5
12C+16O_48h_50%_P13,202,142,28684,27,5000,3631.8
12C+16O_72h_50%_P04,69.5,142,9869,,,
12C+16O_72h_50%_P09,166,142,23572,26,5000,2762.1
12C+16O_72h_50%_P10,142,142,20164,26,5000,3787.8
12C+16O_72h_50%_P13,265,142,37630,26,5000,3623.8
12C+16O_168h_50%_P04,33.9,142,4813.8,,,
12C+16O_168h_50%_P09,93.3,142,13248.6,25,5000,3516
12C+16O_168h_50%_P10,150,142,21300,25,5000,3281.5
12C+16O_168h_50%_P13,208,142,29536,34,5000,2666.3
12C+18O_3h_100%_P03,39.9,142,5665.8,,,
12C+18O_3h_100%_P08,99.7,142,14157.4,29,5000,4716.5
12C+18O_3h_100%_P14,115,142,16330,29,5000,5015.6
12C+18O_3h_100%_P16,103,142,14626,29,5000,4991.1
12C+18O_24h_100%_P03,55.1,142,7824.2,,,
12C+18O_24h_100%_P08,99.6,142,14143.2,34,5000,3045.9
12C+18O_24h_100%_P14,96.6,142,13717.2,34,5000,2920.7
12C+18O_24h_100%_P16,110,142,15620,27,5000,3307.4
12C+18O_48h_100%_P03,80.9,142,11487.8,,,
12C+18O_48h_100%_P08,111,142,15762,,5000,4497.1
12C+18O_48h_100%_P14,129,142,18318,34,5000,3111.3
12C+18O_48h_100%_P16,142,142,20164,27,5000,2866.6
12C+18O_72h_100%_P03,80.4,142,11416.8,,,
12C+18O_72h_100%_P08,115,142,16330,25,5000,5231.1
12C+18O_72h_100%_P14,125,142,17750,34,5000,3826.3
12C+18O_72h_100%_P16,126,142,17892,25,5000,4293.3
12C+18O_168h_100%_P03,44.7,142,6347.4,,,
12C+18O_168h_100%_P08,104,142,14768,24,5000,2809.5
12C+18O_168h_100%_P14,106,142,15052,24,5000,3074.9
12C+18O_168h_100%_P16,104,142,14768,24,5000,2732.9
12C+18O_3h_50%_P04,46.1,142,6546.2,,,
12C+18O_3h_50%_P09,67.6,142,9599.2,29,5000,3773.7
12C+18O_3h_50%_P10,175,142,24850,29,5000,3545.3
12C+18O_3h_50%_P13,160,142,22720,29,5000,4174.9
12C+18O_24h_50%_P04,24.6,142,3493.2,,,
12C+18O_24h_50%_P09,98,142,13916,34,5000,3335.5
12C+18O_24h_50%_P10,154,142,21868,27,5000,3467.2
12C+18O_24h_50%_P13,159,142,22578,27,5000,3726.3
12C+18O_48h_50%_P04,60.5,142,8591,,,
12C+18O_48h_50%_P09,125,142,17750,26,5000,2958.8
12C+18O_48h_50%_P10,165,142,23430,26,5000,2379
12C+18O_48h_50%_P13,204,142,28968,26,5000,1980
12C+18O_72h_50%_P04,58.8,142,8349.6,,,
12C+18O_72h_50%_P09,123,142,17466,34,5000,3805.3
12C+18O_72h_50%_P10,197,142,27974,34,5000,2817.7
12C+18O_72h_50%_P13,236,142,33512,26,5000,3134.4
12C+18O_168h_50%_P04,30.3,142,4302.6,,,
12C+18O_168h_50%_P09,78.4,142,11132.8,34,5000,3225.3
12C+18O_168h_50%_P10,156,142,22152,25,5000,4969.6
12C+18O_168h_50%_P13,147,142,20874,34,5000,3405.7
