unique.tube	g.wet.soil.extracted	total.DNA.extracted.ng.ul	total.DNA.extracted.ng	total.DNA.extracted.ug	g.dry.soil.extracted	ug.DNA.added.to.tube	g.dry.soil.tube
rA_t0_16O	1.2	147	22050	22.05	1.177625123	5	0.267035175
rB_t0_16O	1.2	236	35400	35.4	1.177625123	5	0.166331232
rC_t0_16O	1.2	223	33450	33.45	1.177625123	5	0.176027672
rA_t3_16O	1.2	99.6	14940	14.94	0.981354269	5	0.328431817
rB_t3_16O	1.2	187	28050	28.05	0.981354269	5	0.17492946
rC_t3_16O	1.2	169	25350	25.35	0.981354269	5	0.193561
rA_t3_18O	1.2	67.6	10140	10.14	0.981354269	5	0.483902499
rB_t3_18O	1.2	175	26250	26.25	0.981354269	5	0.186924623
rC_t3_18O	1.2	160	24000	24	0.981354269	5	0.204448806
rA_t24_16O	1.2	122	18300	18.3	0.981354269	5	0.268129582
rB_t24_16O	1.2	174	26100	26.1	0.981354269	5	0.187998902
rC_t24_16O	1.2	243	36450	36.45	0.981354269	5	0.134616498
rA_t24_18O	1.2	98	14700	14.7	0.981354269	5	0.333793969
rB_t24_18O	1.2	154	23100	23.1	0.981354269	5	0.212414344
rC_t24_18O	1.2	159	23850	23.85	0.981354269	5	0.205734648
rA_t48_16O	1.2	119	17850	17.85	0.981354269	5	0.274889151
rB_t48_16O	1.2	157	23550	23.55	0.981354269	5	0.208355471
rC_t48_16O	1.2	202	30300	30.3	0.981354269	5	0.161939648
rA_t48_18O	1.2	125	18750	18.75	0.981354269	5	0.261694472
rB_t48_18O	1.2	165	24750	24.75	0.981354269	5	0.198253388
rC_t48_18O	1.2	204	30600	30.6	0.981354269	5	0.160352005
rA_t72_16O	1.2	166	24900	24.9	0.981354269	5	0.19705909
rB_t72_16O	1.2	142	21300	21.3	0.981354269	5	0.230364852
rC_t72_16O	1.2	265	39750	39.75	0.981354269	5	0.123440789
rA_t72_18O	1.2	123	18450	18.45	0.981354269	5	0.265949666
rB_t72_18O	1.2	197	29550	29.55	0.981354269	5	0.166049792
rC_t72_18O	1.2	236	35400	35.4	0.981354269	5	0.13860936
rA_t168_16O	1.2	93.3	13995	13.995	0.981354269	5	0.350608885
rB_t168_16O	1.2	150	22500	22.5	0.981354269	5	0.218078726
rC_t168_16O	1.2	208	31200	31.2	0.981354269	5	0.157268312
rA_t168_18O	1.2	78.4	11760	11.76	0.981354269	5	0.417242461
rB_t168_18O	1.2	156	23400	23.4	0.981354269	5	0.209691083
rC_t168_18O	1.2	147	22050	22.05	0.981354269	5	0.222529313
							
