,source,Isotope,isotopolog,total_dna,Moisture,Replicate,rewet,Time,copies.ul.total.tube
1,rA_t0_16O_100,16O,water,5,100,rA,t0,0,1022024000
2,rA_t0_16O_50,16O,water,5,50,rA,t0,0,280700000
3,rA_t168_16O_100,16O,water,5,100,rA,t168,168,823660000
4,rA_t168_16O_50,16O,water,5,50,rA,t168,168,233308000
5,rA_t168_18O_100,18O,water,5,100,rA,t168,168,233308000
6,rA_t168_18O_50,18O,water,5,50,rA,t168,168,1.53E+09
7,rA_t24_16O_100,16O,water,5,100,rA,t24,24,1047520000
8,rA_t24_16O_50,16O,water,5,50,rA,t24,24,255420000
9,rA_t24_18O_100,18O,water,5,100,rA,t24,24,285420000
10,rA_t24_18O_50,18O,water,5,50,rA,t24,24,1258590000
11,rA_t3_16O_100,16O,water,5,100,rA,t3,3,1.16E+09
12,rA_t3_16O_50,16O,water,5,50,rA,t3,3,285420000
13,rA_t3_18O_100,18O,water,5,100,rA,t3,3,68926000
14,rA_t3_18O_50,18O,water,5,50,rA,t3,3,984521000
15,rA_t48_16O_100,16O,water,5,100,rA,t48,48,862900000
16,rA_t48_16O_50,16O,water,5,50,rA,t48,48,396650000
17,rA_t48_18O_100,18O,water,5,100,rA,t48,48,1258590000
18,rA_t48_18O_50,18O,water,5,50,rA,t48,48,911800000
19,rA_t72_16O_100,16O,water,5,100,rA,t72,72,738400000
20,rA_t72_16O_50,16O,water,5,50,rA,t72,72,68926000
21,rA_t72_18O_100,18O,water,5,100,rA,t72,72,911800000
22,rA_t72_18O_50,18O,water,5,50,rA,t72,72,1377300000
23,rB_t0_16O_100,16O,water,5,100,rB,t0,0,7.41E+08
24,rB_t0_16O_50,16O,water,5,50,rB,t0,0,268033000
25,rB_t168_16O_100,16O,water,5,100,rB,t168,168,703110000
26,rB_t168_16O_50,16O,water,5,50,rB,t168,168,237971000
27,rB_t168_18O_100,18O,water,5,100,rB,t168,168,237971000
28,rB_t168_18O_50,18O,water,5,50,rB,t168,168,1038200000
29,rB_t24_16O_100,16O,water,5,100,rB,t24,24,946920000
30,rB_t24_16O_50,16O,water,5,50,rB,t24,24,324410175
31,rB_t24_18O_100,18O,water,5,100,rB,t24,24,354420000
32,rB_t24_18O_50,18O,water,5,50,rB,t24,24,897500000
33,rB_t3_16O_100,16O,water,5,100,rB,t3,3,1099500000
34,rB_t3_16O_50,16O,water,5,50,rB,t3,3,354420000
35,rB_t3_18O_100,18O,water,5,100,rB,t3,3,447750000
36,rB_t3_18O_50,18O,water,5,50,rB,t3,3,409400000
37,rB_t48_16O_100,16O,water,5,100,rB,t48,48,679780000
38,rB_t48_16O_50,16O,water,5,50,rB,t48,48,268970000
39,rB_t48_18O_100,18O,water,5,100,rB,t48,48,897500000
40,rB_t48_18O_50,18O,water,5,50,rB,t48,48,1158700000
41,rB_t72_16O_100,16O,water,5,100,rB,t72,72,1466300000
42,rB_t72_16O_50,16O,water,5,50,rB,t72,72,447750000
43,rB_t72_18O_100,18O,water,5,100,rB,t72,72,1158700000
44,rB_t72_18O_50,18O,water,5,50,rB,t72,72,1284500000
45,rC_t0_16O_100,16O,water,5,100,rC,t0,0,1061780000
46,rC_t0_16O_50,16O,water,5,50,rC,t0,0,168282200
47,rC_t168_16O_100,16O,water,5,100,rC,t168,168,1813460000
48,rC_t168_16O_50,16O,water,5,50,rC,t168,168,239460000
49,rC_t168_18O_100,18O,water,5,100,rC,t168,168,239460000
50,rC_t168_18O_50,18O,water,5,50,rC,t168,168,1223400000
51,rC_t24_16O_100,16O,water,5,100,rC,t24,24,665988000
52,rC_t24_16O_50,16O,water,5,50,rC,t24,24,359100000
53,rC_t24_18O_100,18O,water,5,100,rC,t24,24,222230000
54,rC_t24_18O_50,18O,water,5,50,rC,t24,24,1450430000
55,rC_t3_16O_100,16O,water,5,100,rC,t3,3,1.10E+09
56,rC_t3_16O_50,16O,water,5,50,rC,t3,3,222230000
57,rC_t3_18O_100,18O,water,5,100,rC,t3,3,326747000
58,rC_t3_18O_50,18O,water,5,50,rC,t3,3,795521000
59,rC_t48_16O_100,16O,water,5,100,rC,t48,48,567500000
60,rC_t48_16O_50,16O,water,5,50,rC,t48,48,320730000
61,rC_t48_18O_100,18O,water,5,100,rC,t48,48,1450430000
62,rC_t48_18O_50,18O,water,5,50,rC,t48,48,578700000
63,rC_t72_16O_100,16O,water,5,100,rC,t72,72,1045500000
64,rC_t72_16O_50,16O,water,5,50,rC,t72,72,326747000
65,rC_t72_18O_100,18O,water,5,100,rC,t72,72,578700000
66,rC_t72_18O_50,18O,water,5,50,rC,t72,72,1.03E+09
