taxonID	comparisonID	group.code.0	group.code.t	net.r.obs	net.r.boot.mean	net.r.boot.median	net.r.boot.CI.L	net.r.boot.CI.U	net.f.obs	net.f.boot.mean	net.f.boot.median	net.f.boot.CI.L	net.f.boot.CI.U	N.T0.obs.mean	N.T0.boot.mean	N.T0.boot.median	N.T0.boot.CI.L	N.T0.boot.CI.U	N.Tt.obs.mean	N.Tt.boot.mean	N.Tt.boot.median	N.Tt.boot.CI.L	N.Tt.boot.CI.U	message
sip1	T0.17	t24_18O	t48_18O	14458004.0429731	14593260.519387	14458004.0429731	-3970139.515209	31182869.7816103	240966.734049552	243221.00865645	240966.734049552	-66168.9919201501	519714.496360172	19066096.1976842	18969340.0134726	19066096.1976842	4036242.30310764	32620446.4841602	33524100.2406573	33562600.5328596	33524100.2406573	20597742.5167009	40720897.9189437	none
sip3	T0.17	t24_18O	t48_18O	6577670.87696728	6647306.66077427	6577670.87696728	-12898052.5269684	26053394.280903	109627.847949455	110788.444346238	109627.847949455	-214967.54211614	434223.23801505	24269305.8198196	24164805.1001991	24269305.8198196	7584986.15264076	38070163.4181541	30846976.6967869	30812111.7609734	30846976.6967869	20632590.3995404	40160974.3455515	none
sip4	T0.17	t24_18O	t48_18O	10079415.5281984	10053164.9565028	10079415.5281984	5577293.45553619	13334889.0990575	167990.258803306	167552.749275046	167990.258803306	92954.8909256032	222248.151650958	39.9560537977802	39.8951961587261	39.9560537977802	28.5817027449049	46.372354354236	10079455.4842522	10053204.8516989	10079455.4842522	5577328.0914074	13334917.6807602	none
sip5	T0.17	t24_18O	t48_18O	3332943.63590844	3343541.73380598	3332943.63590844	1688207.4628724	4562351.14026576	55549.0605984741	55725.695563433	55549.0605984741	28136.7910478733	76039.185671096	1658644.04137647	1656020.07517263	1658644.04137647	1166408.71603046	1940473.74071868	4991587.67728491	4999561.80897861	4991587.67728491	3089425.02996395	6003582.51834768	none
sip7	T0.17	t24_18O	t48_18O	7056649.50755178	7178899.93632381	7056649.50755178	-5016588.51870044	19467711.8369481	117610.825125863	119648.332272064	117610.825125863	-83609.8086450074	324461.863949136	15733641.9646769	15665242.2142309	15733641.9646769	3512302.80376935	22351047.9998469	22790291.4722287	22844142.1505548	22790291.4722287	11487096.9869016	29881538.7790131	none
sip8	T0.17	t24_18O	t48_18O	24527760.2565157	24911798.2403097	24527760.2565157	-14385072.3203829	65679220.6116167	408796.004275261	415196.637338495	408796.004275261	-239751.205339716	1094653.67686028	57646993.836678	57513597.3136096	57646993.836678	28340294.5467837	84210481.9213534	82174754.0931936	82425395.5539193	82174754.0931936	51202013.8094472	118786207.500181	none
sip9	T0.17	t24_18O	t48_18O	7804861.06794789	7898726.91091067	7804861.06794789	-4305059.9087013	17647062.9525399	130081.017799132	131645.448515178	130081.017799132	-71750.998478355	294117.715875665	12137560.4245107	12082270.9667347	12137560.4245107	3602763.91362841	19982705.9511574	19942421.4924586	19980997.8776454	19942421.4924586	10907316.3475154	24865968.1660981	none
sip13	T0.17	t24_18O	t48_18O	103643103.08635	105565905.017875	103643103.08635	-137919840.165821	345112119.694678	1727385.05143916	1759431.75029791	1727385.05143916	-2298664.00276368	5751868.66157797	224937301.227088	224321775.2601	224937301.227088	59028736.8574355	435164927.859891	328580404.313437	329887680.277975	328580404.313437	171772430.716076	520325069.470132	none
sip15	T0.17	t24_18O	t48_18O	2483064.20442866	2560350.34391223	2639708.96462377	-5178872.18756224	9707001.2490044	41384.4034071444	42672.5057318704	43995.1494103961	-86314.5364593706	161783.354150073	7693904.72931025	7652342.82483693	7693904.72931025	1915044.2882927	14773980.1131321	10176968.9337389	10212693.1687492	10176968.9337389	6801344.48336115	15908357.4789102	none
sip16	T0.17	t24_18O	t48_18O	109801461.108953	111891541.028227	109801461.108953	-154303330.286028	371295526.493659	1830024.35181588	1864859.01713711	1830024.35181588	-2571722.1714338	6188258.77489432	243986163.219841	243324312.868699	243986163.219841	64179093.6983646	474070497.077381	353787624.328794	355215853.896926	353787624.328794	180525972.988073	562948943.793999	none
sip17	T0.17	t24_18O	t48_18O	8033898.72346382	8198603.74609128	8033898.72346382	-11365725.3388909	24686187.4057208	133898.31205773	136643.395768188	133898.31205773	-189428.755648182	411436.456762013	19544137.9520049	19446601.4042357	19544137.9520049	3558524.50857193	31657947.743868	27578036.6754687	27645205.1503269	27578036.6754687	12323180.3887703	36230306.4373907	none
sip18	T0.17	t24_18O	t48_18O	15438481.7003551	15642027.4847861	15438481.7003551	-8003362.89510183	38402828.1856322	257308.028339252	260700.458079768	257308.028339252	-133389.381585031	640047.136427204	26480460.3810617	26367548.0479803	26480460.3810617	6706889.6074033	38149114.5505691	41918942.0814168	42009575.5327664	41918942.0814168	17662146.8179121	54402546.918972	none
