taxonID	comparisonID	trt.code.1	trt.code.2	wad1.obs.mean	wad2.obs.mean	wad1.boot.mean	wad1.boot.median	wad1.boot.CI.L	wad1.boot.CI.U	wad2.boot.mean	wad2.boot.median	wad2.boot.CI.L	wad2.boot.CI.U	wad.diff.obs	wad.diff.boot.mean	wad.diff.boot.median	wad.diff.boot.CI.L	wad.diff.boot.CI.U	wad.diff.p.value	ape.obs	ape.boot.mean	ape.boot.median	ape.boot.CI.L	ape.boot.CI.U	r.obs	r.boot.mean	r.boot.median	r.boot.CI.L	r.boot.CI.U	f.obs	f.boot.mean	f.boot.median	f.boot.CI.L	f.boot.CI.U	N1.obs.mean	N2.obs.mean	N1.boot.mean	N1.boot.median	N1.boot.CI.L	N1.boot.CI.U	N2.boot.mean	N2.boot.median	N2.boot.CI.L	N2.boot.CI.U	N.obs.mean	N.boot.mean	N.boot.median	N.boot.CI.L	N.boot.CI.U	message
sip1	3	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t48_18O	1.71133385610239	1.72180129086585	1.71132190975848	1.71129728702121	1.70936124568176	1.71328378439551	1.72171320909657	1.72180129086585	1.71774043291135	1.72520082991585	0.0104674347634561	0.0103912993380912	0.0104227796283342	0.00610962960601774	0.0142791301611601	0.005	0.155711790185521	0.154589192621551	0.155019524479674	0.0908700531430908	0.212581346736116	4152886.83382734	4119918.90197954	4076614.45067422	2191647.79596585	6245967.00515104	69214.7805637889	68665.3150329924	67943.5741779036	36527.4632660975	104099.450085851	31623646.6361415	33524100.2406573	31452480.2399803	31247480.6917424	22239285.4921565	41463426.2283281	33807988.6063453	33524100.2406573	20597742.5167009	42188135.5515599	31940388.9035608	31845064.9677078	31665874.8462252	24082343.6093069	40569472.7821781	none
sip3	3	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t48_18O	1.71001410942526	1.7164164176091	1.7100075351671	1.70998061440716	1.70852243517132	1.71157997042111	1.71635622387205	1.7164164176091	1.71291055755711	1.72125332774187	0.00640230818384158	0.00634868870495307	0.00627238541732789	0.00236496774869348	0.0107505894920088	0.012	0.0953107327573275	0.0945183758084497	0.0933892455112604	0.0351816352613086	0.159997586540536	2106465.02858651	2062554.10983693	2031921.73543157	855032.939610825	3454286.55142725	35107.7504764418	34375.9018306156	33865.3622571929	14250.5489935137	57571.4425237875	25592418.190873	30846976.6967869	25462588.6671658	25283497.7317165	20918715.9253721	31154371.4851022	31292557.9177946	30846976.6967869	20632590.3995404	48574583.3458342	26468177.9418587	26434250.2089372	26438874.3450825	21797244.48856	31548591.664476	none
sip4	3	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t48_18O	1.7124607033634	1.72716334719454	1.71242892016393	1.71214674028543	1.70856436127757	1.71789801529366	1.72714447001501	1.72716334719454	1.72049004158362	1.7375	0.0147026438311386	0.0147155498510772	0.0147200017231379	0.00536919890561454	0.0243373926280414	0.043043043043043	0.218574872912751	0.218822158120371	0.218964821434839	0.079651229537356	0.362556573464265	1722747.17622327	1734291.41643939	1682414.68320228	562881.428868189	3129253.08059955	28712.4529370545	28904.8569406564	28040.244720038	9381.35714780315	52154.2180099925	9311089.56295477	10079455.4842522	9277891.15975156	9213237.78268829	5678007.6112968	13167509.1534442	10192846.5196166	10079455.4842522	5577328.0914074	15343714.6809315	9439150.54983767	9430383.71972907	9406688.70830436	6246187.9216676	12714943.4910323	Warning: no occurrences in rep rA_t24_16O & rA_t3_16O & rC_t3_16O (t48_16O/t3_16O/t24_16O/t72_16O/t168_16O)
sip5	3	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t48_18O	1.71523518521907	1.7203308027477	1.71520290806304	1.71522093381709	1.71312794384698	1.71727513122149	1.72044806304604	1.7203308027477	1.71399240824311	1.7235	0.00509561752863719	0.00524515498299866	0.00534782359882668	-0.000769869935657785	0.00982590219833836	0.052	0.0756348218102819	0.0785838863972625	0.0793900181741974	0	0.14597982780693	287940.739752252	301655.006889325	305911.47642759	-36287.5928482674	592712.442846942	4799.0123292042	5027.58344815542	5098.52460712649	-604.79321413779	9878.5407141157	4472776.4424568	4991587.67728491	4461298.0344021	4466561.17590677	3268906.3906445	5598540.8464608	5025539.1114065	4991587.67728491	3089425.02996395	6003582.51834768	4559244.98159482	4555338.21390284	4566951.27849041	3501528.82126237	5540057.98911395	Warning: no occurrences in rep rC_t48_16O (t72_16O/t48_16O/t24_16O/t168_16O/t3_16O)
sip7	3	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t48_18O	1.71263839776581	1.71962998735096	1.71263949257264	1.71266839433996	1.7111568348986	1.71419370304725	1.71955345401506	1.71962998735096	1.71590244728452	1.72326872487166	0.00699158958515134	0.00691396144242155	0.00693438180582207	0.00305835195171381	0.010528049142809	0.004	0.103929096071937	0.10278069767246	0.103044010419046	0.0454565559014724	0.15659696623602	1815951.53659703	1786125.81926279	1759891.3881587	714841.57829467	3088424.26132194	30265.8589432838	29768.7636543799	29331.5231359783	11914.0263049112	51473.737688699	20552707.1184277	22790291.4722287	20319260.3366856	19799050.1575603	13581059.2872876	29658523.527124	22970127.6855702	22790291.4722287	11487096.9869016	29881538.7790131	20925637.8440612	20761071.5614997	20406070.0399146	14785341.6894046	28521588.100801	none
sip8	3	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t48_18O	1.70030746099496	1.70384501354962	1.7002977964816	1.70029051862039	1.69762004237904	1.70289141392105	1.70383499473187	1.70384501354962	1.70248723481326	1.70625198772274	0.0035375525546586	0.00353719825027042	0.00350712858801605	0.000255384040777978	0.00706489376860811	0.157	0.0529540379256106	0.0530439131198556	0.052517046728381	0.00381579727621498	0.105825298437974	2671580.50588344	2723432.47226342	2613225.48065611	164003.473402626	5761293.41234313	44526.341764724	45390.5412043903	43553.7580109352	2733.3912233771	96021.5568723854	56069059.7814562	82174754.0931936	55699668.277647	55299030.3895882	41456716.8805582	73659224.2612759	82318206.428719	82174754.0931936	51202013.8094472	118786207.500181	60420008.8334125	60136091.3028256	59592021.5844433	46941949.1909503	76388015.0548459	none
sip9	3	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t48_18O	1.71467736533294	1.72138276814886	1.71466662003049	1.71467133446183	1.71336100519379	1.71597660484252	1.72133290267713	1.72138276814886	1.71871259101955	1.72458432086664	0.00670540281591703	0.00666628264663762	0.00660204878127346	0.00369153168400513	0.00992608506706733	0.003	0.099560353346225	0.0989844410180262	0.0980554532970084	0.054777862713549	0.147381982738105	1479724.38685267	1461567.75020082	1443892.11413844	773500.218096378	2286759.74507002	24662.0731142112	24359.462503347	24064.8685689741	12891.6703016063	38112.6624178337	17370827.1715925	19942421.4924586	17224801.0934833	16852935.0715823	13257692.1345845	22778843.1388453	20101315.7242496	19942421.4924586	10907316.3475154	24865968.1660981	17799426.2250702	17704220.198611	17545780.0709032	13999481.0326493	22473810.8076749	none
sip13	3	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t48_18O	1.70388698525905	1.71787409935559	1.70387672539156	1.70386893294608	1.70171155393514	1.70612177939122	1.71787142749503	1.71787409935559	1.71709382560071	1.71910556041479	0.0139871140965369	0.0139947021034706	0.013938959895941	0.0116015959771528	0.0165254390998199	0.002	0.208949314674709	0.209075632711011	0.208265559591535	0.17307188677599	0.247058084054325	30101459.1059721	29961542.3584132	29534984.9700674	18200213.3052732	44585564.7486646	501690.985099534	499359.039306886	492249.749501124	303336.888421221	743092.745811076	141316856.248858	328580404.313437	139535591.216185	135465914.845629	82491628.5039435	220620639.80173	329176758.031709	328580404.313437	171772430.716076	520325069.470132	172527447.592954	171142452.352106	168348963.118144	113802301.620751	246311725.374544	none
sip15	3	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t48_18O	1.71077127931968	1.71455127150931	1.71073518835608	1.71079364262526	1.70689822348844	1.7141670526756	1.71445929263949	1.71455127150931	1.7105	1.71745018112282	0.00377999218962555	0.00372410428341001	0.00375741025372822	-0.00116236606825804	0.0087058442581544	0.226	0.0562484058350894	0.0567486606839316	0.0559070184796928	0	0.129827917487937	538814.591662137	523171.81266127	505888.649751788	-153653.595623236	1241432.71069495	8980.24319436895	8719.53021102117	8431.47749586314	-2560.89326038727	20690.5451782491	11731056.6892781	10176968.9337389	11558926.5765857	11275847.1331186	7728361.24932192	17161142.5370777	10098726.6071778	10176968.9337389	5781484.12777692	15908357.4789102	11472042.0633549	11315559.9150177	11010575.2282653	8133938.86972948	15998331.2749506	none
sip16	3	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t48_18O	1.70353827439848	1.71805365235357	1.70352618103194	1.70350936456049	1.70121893560972	1.70582041807074	1.71804529017305	1.71805365235357	1.71715130088065	1.71973707478341	0.0145153779550902	0.0145191091411067	0.0144711383565386	0.0118749608233058	0.0173251693798588	0.001	0.216883819031189	0.216953551599267	0.216327488552305	0.177242361174443	0.259163249996015	33347930.0439822	33230417.6094855	32600143.9560392	19661850.5706184	50752949.6721943	555798.83406637	553840.293491425	543335.732600654	327697.509510306	845882.494536572	150213116.690455	353787624.328794	148307774.133167	143553225.720667	85805701.4464241	240521205.031938	354501511.504769	353787624.328794	180525972.988073	562948943.793999	184142201.296845	182673397.028434	179709293.903183	119888114.442963	265672770.02206	none
