taxonID	comparisonID	trt.code.1	trt.code.2	wad1.obs.mean	wad2.obs.mean	wad1.boot.mean	wad1.boot.median	wad1.boot.CI.L	wad1.boot.CI.U	wad2.boot.mean	wad2.boot.median	wad2.boot.CI.L	wad2.boot.CI.U	wad.diff.obs	wad.diff.boot.mean	wad.diff.boot.median	wad.diff.boot.CI.L	wad.diff.boot.CI.U	wad.diff.p.value	ape.obs	ape.boot.mean	ape.boot.median	ape.boot.CI.L	ape.boot.CI.U	r.obs	r.boot.mean	r.boot.median	r.boot.CI.L	r.boot.CI.U	f.obs	f.boot.mean	f.boot.median	f.boot.CI.L	f.boot.CI.U	N1.obs.mean	N2.obs.mean	N1.boot.mean	N1.boot.median	N1.boot.CI.L	N1.boot.CI.U	N2.boot.mean	N2.boot.median	N2.boot.CI.L	N2.boot.CI.U	N.obs.mean	N.boot.mean	N.boot.median	N.boot.CI.L	N.boot.CI.U	message
sip1	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	1.71133385610239	1.70175893460027	1.71132190975848	1.71129728702121	1.70936124568176	1.71328378439551	1.70187412260884	1.70175893460027	1.672	1.71884882977354	-0.00957492150212058	-0.00944778714963488	-0.00948356402063855	-0.0387222864113011	0.00760045916559715	0.838	0	0.0243207929291838	0	0	0.113071231039564	-51490771.1576213	-49725543.2183523	-49444273.2407039	-186373386.888635	43968128.9456414	-858179.519293689	-828759.053639205	-824071.220678399	-3106223.11481058	732802.149094024	31623646.6361415	4233080.6849457	31452480.2399803	31247480.6917424	22239285.4921565	41463426.2283281	4326579.86478098	4233080.6849457	1458349.00596093	8301288.02774153	27058552.3109422	26931496.8441137	26721099.2377774	19265505.0276522	35340608.5603482	none
sip3	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	1.71001410942526	1.71030451237272	1.7100075351671	1.70998061440716	1.70852243517132	1.71157997042111	1.71023407274208	1.71030451237272	1.70746277572831	1.71182343063803	0.000290402947463742	0.000226537574978518	0.000233759126555322	-0.00288443136888959	0.00276539082114951	0.403	0.00432320921187741	0.0105093897130652	0.00347990822189961	0	0.0411912178050923	1379263.89393575	871935.481409014	1140850.73585852	-14307224.7454942	12608715.9115445	22987.7315655958	14532.2580234836	19014.1789309753	-238453.745758236	210145.265192409	25592418.190873	15317384.6111641	25462588.6671658	25283497.7317165	20918715.9253721	31154371.4851022	15571938.5522935	15317384.6111641	8089993.30627553	24874385.279461	23879912.5942549	23814146.9813537	23741426.387667	19750082.2742103	28667318.3397542	none
sip5	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	1.71523518521907	1.72016039157337	1.71520290806304	1.71522093381709	1.71312794384698	1.71727513122149	1.72028395708516	1.72016039157337	1.71348117472011	1.7235	0.00492520635430393	0.00508104902211569	0.00517741242449343	-0.0012326029833808	0.00982590219833836	0.071	0.0731053896594702	0.0764874609076843	0.0768602140441001	0	0.14597982780693	3959596.66529505	4097244.97936803	4227379.19099207	-874913.811456428	8255634.93844242	65993.2777549174	68287.4163228005	70456.3198498679	-14581.8968576071	137593.915640707	4472776.4424568	1960645.79671602	4461298.0344021	4466561.17590677	3268906.3906445	5598540.8464608	1957156.64544954	1960645.79671602	1780048.00897739	2163204.03455915	4054088.00150001	4043941.13624334	4045649.41170308	3056074.3691429	4990914.94507323	Warning: no occurrences in rep rC_t48_16O (t72_16O/t48_16O/t24_16O/t168_16O/t3_16O)
sip7	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	1.71263839776581	1.71364751212357	1.71263949257264	1.71266839433996	1.7111568348986	1.71419370304725	1.71362112762911	1.71364751212357	1.71208033162906	1.71587247368925	0.00100911435776441	0.000981635056471327	0.000962762528095462	-0.00128174495714988	0.00337792862774803	0.276	0.0150003574664025	0.0168585719474829	0.0143096814062978	0	0.050244186938821	3693143.49290309	3586355.17896803	3407793.9309375	-4745871.9336606	13030162.3701592	61552.3915483848	59772.5863161339	56796.5655156249	-79097.86556101	217169.372835986	20552707.1184277	7806498.07448459	20319260.3366856	19799050.1575603	13581059.2872876	29658523.527124	7906345.39841886	7806498.07448459	4590048.26672739	11398805.0680728	18428338.9444372	18250441.1803078	17861190.670806	12643958.8949373	26242037.9764298	none
sip8	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	1.70030746099496	1.70057390980949	1.7002977964816	1.70029051862039	1.69762004237904	1.70289141392105	1.7004950812789	1.70057390980949	1.69815465655926	1.70503972422855	0.000266448814535192	0.000197284797300205	0.00013258504139757	-0.00411240919812505	0.0049602478337077	0.478	0.00398850346733547	0.0154027811592571	0.00198445104164031	0	0.0743583448980078	2779046.04115823	2186791.3047308	1417307.64115484	-40078146.8315166	52145332.742504	46317.4340193038	36446.5217455133	23621.7940192473	-667969.11385861	869088.879041733	56069059.7814562	32571325.3577024	55699668.277647	55299030.3895882	41456716.8805582	73659224.2612759	32872418.6969018	32571325.3577024	21636393.0976517	42897664.8838821	52152770.7108306	51895126.6808561	51417404.1049616	39333967.4580723	66816274.520372	none
sip9	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	1.71467736533294	1.7155773112791	1.71466662003049	1.71467133446183	1.71336100519379	1.71597660484252	1.71564944882032	1.7155773112791	1.71150896504929	1.71776526459209	0.000899945946161607	0.000982828789831257	0.00106898431733238	-0.00299828614658025	0.00390164927470716	0.338	0.0133622004303261	0.0199525767022714	0.0158731352961385	0	0.0579584271421553	2761851.29650926	2992161.56462445	3217440.45496495	-9196265.1417635	12282917.5659879	46030.8549418211	49869.3594104076	53624.0075827493	-153271.085696058	204715.292766465	17370827.1715925	5970911.24645397	17224801.0934833	16852935.0715823	13257692.1345845	22778843.1388453	6024691.28855366	5970911.24645397	4498524.29879681	8012394.07608702	15470841.1840694	15358116.125995	15120082.6889452	12008559.0589777	19985327.0687208	none
sip13	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	1.70388698525905	1.70978984580129	1.70387672539156	1.70386893294608	1.70171155393514	1.70612177939122	1.7096882699351	1.70978984580129	1.70504546504505	1.71392141166016	0.00590286054223954	0.00581154454354879	0.00580773213245989	0.000612223854145045	0.0105832666153671	0.026	0.0881810684040023	0.0869150543841002	0.0867096940585261	0.00913355897390313	0.158419467031346	147722242.071595	144128889.993886	138954522.460108	14661323.9197617	301435638.878646	2462037.36785992	2402148.16656476	2315908.70766846	244355.398662696	5023927.3146441	141316856.248858	45754419.2512726	139535591.216185	135465914.845629	82491628.5039435	220620639.80173	45800680.3644163	45754419.2512726	24876144.9159203	72914226.6842096	125389783.415927	123913106.074224	120611031.639541	75887962.4624775	192806023.427177	none
sip16	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	1.70353827439848	1.70959053672951	1.70352618103194	1.70350936456049	1.70121893560972	1.70582041807074	1.70946382601484	1.70959053672951	1.70398285312213	1.71367568257809	0.00605226233103529	0.00593764498289487	0.00604773175260709	4.44870488377383e-05	0.0109053340400697	0.043	0.0904308363306022	0.0890314638959108	0.09043839558349	0.000664554249928884	0.163017261421033	160862644.344413	156385661.94645	152250142.33557	939532.863896967	339033103.416465	2681044.07240688	2606427.6991075	2537502.37225951	15658.8810649494	5650551.72360776	150213116.690455	47814372.413112	148307774.133167	143553225.720667	85805701.4464241	240521205.031938	47879135.6742977	47814372.413112	29334157.650837	70683367.2655442	133146659.310898	131569667.723356	127682559.384052	79468125.3064893	209390175.449562	none
sip17	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	1.71152151085986	1.71073470344753	1.71149902005404	1.71150421822137	1.71000029387679	1.71303049319655	1.71067317050489	1.71073470344753	1.70739362443453	1.71484406213538	-0.000786807412330504	-0.000825849549142665	-0.000892273975181768	-0.00458010543603302	0.00305015419999346	0.643	0	0.00713245086754629	0	0	0.0454046740311552	-2745560.1616883	-2991901.83253836	-3073707.22534399	-16643103.5329073	10631758.8932956	-45759.3360281383	-49865.030542306	-51228.4537557332	-277385.058881788	177195.981554926	19299710.9316204	8860096.95725641	19160767.8493565	18973089.8414936	14736863.8524866	25034083.0851011	8995406.0514819	8860096.95725641	5591945.22469288	14175236.1271313	17559775.2692264	17466540.8830441	17320458.2173618	13506942.3536238	22405362.5199306	none
sip18	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	1.71387295451737	1.71429822392364	1.71386682838878	1.71385467315501	1.7125872539342	1.71521812957225	1.71427808481441	1.71429822392364	1.71145198265767	1.71930140550631	0.000425269406263196	0.000411256425633809	0.000306702681841742	-0.00296576367625186	0.0050196695059711	0.372	0.00631717273145118	0.0165155648785427	0.00455621685096702	0	0.0745469986780708	2335144.06435685	2348151.55933469	1648524.48543648	-16628366.5649115	27326893.1897289	38919.0677392808	39135.8593222449	27475.4080906081	-277139.442748525	455448.219828814	29530421.7597313	18357717.6409294	29352077.1631871	28963264.0754666	23599018.209457	37242212.5927528	18471490.954319	18357717.6409294	11818807.200043	21981100.5548254	27668304.4065977	27538646.1283758	27206769.3901489	22659213.6065098	34304162.6942168	none
