taxon	tube	Replicate	Hour	Isotope	unique.tube	unique.tmt	copies.ul	t.copies.ul	code
sip1	1	rA	t0	16O	rA_t0_16O	t0_16O	1022024000	1799970.916	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t0	16O	rB_t0_16O	t0_16O	7.41e+08	2942458.01	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t0	16O	rC_t0_16O	t0_16O	1061780000	2110778.5062	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rA	t168	16O	rA_t168_16O	t168_16O	889672000	7888814.347	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t168	16O	rB_t168_16O	t168_16O	815530000	6285217.92273	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t168	16O	rC_t168_16O	t168_16O	1057330000	11715632.4895	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rA	t24	16O	rA_t24_16O	t24_16O	823660000	2718376.0222	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t24	16O	rB_t24_16O	t24_16O	703110000	3696273.9415	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t24	16O	rC_t24_16O	t24_16O	1813460000	8688035.36708	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rA	t3	16O	rA_t3_16O	t3_16O	1450280000	4097896.4366	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t3	16O	rB_t3_16O	t3_16O	924740000	3000051.653	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t3	16O	rC_t3_16O	t3_16O	708970000	1846951.571	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rA	t48	16O	rA_t48_16O	t48_16O	1047520000	8314865.03698	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t48	16O	rB_t48_16O	t48_16O	946920000	7253427.4042	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t48	16O	rC_t48_16O	t48_16O	665988000	4534808.4895	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rA	t72	16O	rA_t72_16O	t72_16O	761340000	6639314.27875	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t72	16O	rB_t72_16O	t72_16O	864880000	6601306.72468	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t72	16O	rC_t72_16O	t72_16O	901640000	7359466.0908	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rA	t168	18O	rA_t168_18O	t168_18O	1.161e+09	12049922.034	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t168	18O	rB_t168_18O	t168_18O	1099500000	11453755.8625	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t168	18O	rC_t168_18O	t168_18O	1.102e+09	11657700.462	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rA	t24	18O	rA_t24_18O	t24_18O	542100000	1347273.3382	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t24	18O	rB_t24_18O	t24_18O	1093120000	6929050.74092	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t24	18O	rC_t24_18O	t24_18O	1168400000	4226118.8054	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rA	t3	18O	rA_t3_18O	t3_18O	862900000	1422482.2158	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t3	18O	rB_t3_18O	t3_18O	679780000	1551715.135	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t3	18O	rC_t3_18O	t3_18O	567500000	298157.713	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rA	t48	18O	rA_t48_18O	t48_18O	1164900000	5390315.3523	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
