taxonID	comparisonID	trt.code.1	trt.code.2	ape.obs	ape.boot.mean	ape.boot.median	ape.boot.CI.L	ape.boot.CI.U	b.obs	b.boot.mean	b.boot.median	b.boot.CI.L	b.boot.CI.U	f.gross.obs	f.gross.boot.mean	f.gross.boot.median	f.gross.boot.CI.L	f.gross.boot.CI.U	message	comparisonID.pop	group.code.0	group.code.t	r.net.obs	r.net.boot.mean	r.net.boot.median	r.net.boot.CI.L	r.net.boot.CI.U	f.net.obs	f.net.boot.mean	f.net.boot.median	f.net.boot.CI.L	f.net.boot.CI.U	N.tot.T0.obs.mean	N.tot.T0.boot.mean	N.tot.T0.boot.median	N.tot.T0.boot.CI.L	N.tot.T0.boot.CI.U	N.tot.Tt.obs.mean	N.tot.Tt.boot.mean	N.tot.Tt.boot.median	N.tot.Tt.boot.CI.L	N.tot.Tt.boot.CI.U	message.pop	d.obs	d.boot.mean	d.boot.median	d.boot.CI.L	d.boot.CI.U	f.death.obs	f.death.boot.mean	f.death.boot.median	f.death.boot.CI.L	f.death.boot.CI.U	N.light.Tt.obs	N.light.Tt.boot.mean	N.light.Tt.boot.median	N.light.Tt.boot.CI.L	N.light.Tt.boot.CI.U
sip1	NA	NA	NA	NA	NA	NA	NA	NA	-88395.0206954447	-102279.382796864	-90612.0027854969	-589943.125401923	369432.637345488	-1473.25034492408	-1704.65637994773	-1510.20004642495	-9832.38542336539	6157.2106224248	NA	T0.19	t72_18O	t168_18O	-4484518.69613181	-4474908.22169963	-4484518.69613181	-18693558.5445537	7765574.97526713	-74741.9782688635	-74581.8036949938	-74741.9782688635	-311559.309075895	129426.249587786	63234477.0089469	63103137.1161774	63234477.0089469	17371861.5995555	103654137.736257	45296402.2244196	45203504.2293789	45296402.2244196	28879903.5580418	54622045.4329	none	-4396123.67543636	-4372628.83890276	-4371624.15571127	-18328716.3106759	7829332.94667204	-73268.7279239394	-72877.1473150461	-72860.4025951878	-305478.605177931	130488.882444534	NA	NA	NA	NA	NA
sip3	NA	NA	NA	NA	NA	NA	NA	NA	102257.017529332	108277.473042761	107742.926190993	-18840.3060486208	220049.684303979	1704.28362548886	1804.62455071269	1795.71543651656	-314.005100810346	3667.49473839965	NA	T0.19	t72_18O	t168_18O	-2405500.77048786	-2420547.21715362	-2405500.77048786	-5241031.28361543	588222.388812058	-40091.6795081311	-40342.453619227	-40091.6795081311	-87350.5213935905	9803.70648020096	28883248.174478	28906794.3621038	28883248.174478	16138802.6740368	36779448.3900277	19261245.0925265	19224605.4934893	19261245.0925265	13002172.0032947	23339937.5141765	none	-2507757.7880172	-2528824.69019638	-2541982.88474042	-5306873.91252211	408998.923016149	-41795.9631336199	-42147.0781699397	-42366.3814123403	-88447.8985420351	6816.64871693582	NA	NA	NA	NA	NA
sip4	NA	NA	NA	NA	NA	NA	NA	NA	85853.1352390383	84690.040654229	80405.3802349882	-23772.240346012	242795.0529561	1430.88558731731	1411.50067757048	1340.08967058314	-396.204005766867	4046.58421593499	NA	T0.19	t72_18O	t168_18O	1120880.21221669	1102111.83340929	1120880.21221669	-926868.85825334	3035705.2817311	18681.3368702781	18368.5305568215	18681.3368702781	-15447.8143042223	50595.0880288517	11673746.1668382	11716167.099252	11673746.1668382	5227739.43397244	17669567.1136495	16157267.015705	16124614.4328891	16157267.015705	9384086.40054494	21515247.5665082	none	1035027.07697765	1017421.79275506	1044672.66370903	-925227.610220677	2953366.90280877	17250.4512829608	16957.029879251	17411.211061817	-15420.4601703446	49222.7817134796	NA	NA	NA	NA	NA
sip5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-350207.92555307	-348318.621653432	-350207.92555307	-728388.687445438	4568.46334858669	-5836.79875921783	-5805.31036089054	-5836.79875921783	-12139.811457424	76.1410558097782	2625358.57885125	2623588.6445024	2625358.57885125	1830573.42888334	3297699.76209745	1224526.87663897	1230314.15788868	1224526.87663897	42.8725540531373	2521188.46552389	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip7	NA	NA	NA	NA	NA	NA	NA	NA	152052.438171563	154329.068440512	145253.634365576	4345.53359280978	343049.413282371	2534.20730285938	2572.1511406752	2420.89390609293	72.425559880163	5717.49022137284	NA	T0.19	t72_18O	t168_18O	-305988.822524343	-322256.296484127	-305988.822524343	-2653597.8321736	2143313.41125304	-5099.81370873905	-5370.93827473545	-5099.81370873905	-44226.6305362267	35721.8901875506	17240764.5871677	17283026.2371717	17240764.5871677	8896438.90509718	22893651.9741524	16016809.2970703	15994001.0512352	16016809.2970703	9491415.45783376	24885829.1941071	none	-458041.260695906	-476585.364924639	-477797.712368832	-2804272.72385585	2000957.33433439	-7634.02101159843	-7943.08941541066	-7963.2952061472	-46737.8787309309	33349.2889055731	NA	NA	NA	NA	NA
sip8	NA	NA	NA	NA	NA	NA	NA	NA	-395282.916641558	-407020.86371474	-390271.847684968	-1027845.59806693	145285.658325292	-6588.04861069263	-6783.68106191233	-6504.53079474946	-17130.7599677822	2421.42763875487	NA	T0.19	t72_18O	t168_18O	-4832729.2930545	-4889415.14410451	-4832729.2930545	-12591181.5664669	2178111.95096524	-80545.4882175749	-81490.2524017418	-80545.4882175749	-209853.026107782	36301.8658494207	55008574.3339489	55231481.520487	55008574.3339489	23762271.3577689	86952054.9276037	35677657.1617309	35673820.944069	35677657.1617309	27846683.5807224	48610589.8237326	none	-4437446.37641294	-4482394.28038977	-4448910.88848881	-11688867.5576121	3009929.03045257	-73957.4396068823	-74706.5713398295	-74148.5148081468	-194814.459293535	50165.4838408761	NA	NA	NA	NA	NA
sip9	NA	NA	NA	NA	NA	NA	NA	NA	59001.7915104904	52898.8742456088	59621.9437771981	-150181.519107482	221105.310582704	983.363191841507	881.64790409348	993.699062953302	-2503.02531845803	3685.08850971174	NA	T0.19	t72_18O	t168_18O	-3121023.83796584	-3119858.14145277	-3121023.83796584	-6645298.12233659	475076.413811965	-52017.0639660973	-51997.6356908794	-52017.0639660973	-110754.96870561	7917.94023019941	22032471.0295985	22017858.0325398	22032471.0295985	6458756.40167189	34091986.9863619	9548375.67773512	9538425.46672873	9548375.67773512	7510794.49701549	11105660.0484809	none	-3180025.62947633	-3172757.01569837	-3135035.5953174	-6643083.05786372	430426.735830204	-53000.4271579389	-52879.2835949729	-52250.59325529	-110718.050964396	7173.77893050341	NA	NA	NA	NA	NA
sip11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	76185.7323876537	78983.7912939545	76185.7323876537	-581450.350236599	676361.501791199	1269.76220646089	1316.39652156591	1269.76220646089	-9690.83917060999	11272.69169652	2325846.89835079	2329112.38834826	2325846.89835079	850833.685198161	3209718.10799023	2630589.8279014	2645047.55352408	2630589.8279014	45.4974043889124	4550541.10132861	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip13	NA	NA	NA	NA	NA	NA	NA	NA	-2118973.98414699	-2096482.8213703	-2025669.77372764	-3310497.68044876	-1197029.95123101	-35316.2330691164	-34941.3803561717	-33761.1628954606	-55174.9613408126	-19950.4991871835	NA	T0.19	t72_18O	t168_18O	-34224985.1579991	-34436677.6185817	-34224985.1579991	-64733854.2488322	-7586107.29131964	-570416.419299986	-573944.626976361	-570416.419299986	-1078897.57081387	-126435.121521994	184028531.506377	184876455.68935	184028531.506377	73892185.4137617	306993170.986433	47128590.8743807	47129745.2150235	47128590.8743807	41666200.9371185	55265881.3987351	none	-32106011.1738521	-32340194.7972113	-32011389.1421841	-61814250.5846626	-5442856.2376965	-535100.186230869	-539003.246620189	-533523.152369735	-1030237.50974438	-90714.2706282754	NA	NA	NA	NA	NA
sip15	NA	NA	NA	NA	NA	NA	NA	NA	95088.4903905956	75899.2085907699	93672.9792503745	-223490.870938151	259999.16918046	1584.80817317659	1264.98680984617	1561.21632083957	-3724.84784896918	4333.319486341	NA	T0.19	t72_18O	t168_18O	-3671557.12958991	-3664872.71701605	-3671557.12958991	-9000521.75439567	1750508.77399789	-61192.6188264986	-61081.2119502674	-61192.6188264986	-150008.695906594	29175.1462332982	24414684.8240497	24376641.154808	24414684.8240497	1713257.65831193	42923697.1794017	9728456.30569007	9717150.2867438	9728456.30569007	6921610.16181908	12902580.0254908	none	-3766645.61998051	-3740771.92560682	-3716341.06256256	-9021130.52788432	1674567.83965159	-62777.4269996752	-62346.1987601135	-61939.0177093759	-150352.175464738	27909.4639941931	NA	NA	NA	NA	NA
