taxonID	comparisonID	group.code.0	group.code.t	net.r.obs	net.r.boot.mean	net.r.boot.median	net.r.boot.CI.L	net.r.boot.CI.U	net.f.obs	net.f.boot.mean	net.f.boot.median	net.f.boot.CI.L	net.f.boot.CI.U	N.T0.obs.mean	N.T0.boot.mean	N.T0.boot.median	N.T0.boot.CI.L	N.T0.boot.CI.U	N.Tt.obs.mean	N.Tt.boot.mean	N.Tt.boot.median	N.Tt.boot.CI.L	N.Tt.boot.CI.U	message
sip1	T0.13	t0_16O	t168_16O	1128856.84272723	1134522.50703687	1128856.84272723	568860.371288894	1875185.8151905	18814.2807121205	18908.7084506146	18814.2807121205	9481.00618814823	31253.0969198417	3007128.95036258	3001842.49080126	3007128.95036258	2261683.48945041	3888355.7635165	10909126.8494532	10943500.0400594	10909126.8494532	7531375.6407402	16472432.3784947	none
sip3	T0.13	t0_16O	t168_16O	-217009.945225853	-212299.601404996	-217009.945225853	-752769.720844162	354796.532749747	-3616.83242043088	-3538.32669008326	-3616.83242043088	-12546.1620140694	5913.27554582912	8450740.41512547	8444002.69816886	8450740.41512547	6015083.03072826	11044575.2584758	6931670.7985445	6957905.48833389	6931670.7985445	4712853.08413676	10934316.1443737	none
sip4	T0.13	t0_16O	t168_16O	331676.066773843	331864.819214374	331676.066773843	135557.86533638	588704.927184848	5527.93444623072	5531.08032023957	5527.93444623072	2259.29775560633	9811.74878641413	0	0	0	0	0	2321732.4674169	2323053.73450062	2321732.4674169	948905.057354657	4120934.49029394	Warning: no occurrences in rep rA_t0_16O & rB_t0_16O & rC_t0_16O (t0_16O)
sip5	T0.13	t0_16O	t168_16O	-239297.992798013	-241281.148662676	-239297.992798013	-519863.476487802	17375.3526268239	-3988.29987996689	-4021.35247771126	-3988.29987996689	-8664.3912747967	289.589210447065	2379428.64916919	2391108.91202733	2379428.64916919	886473.888605424	4654002.24408638	704342.699583101	702140.871388597	704342.699583101	163472.06676956	1622611.89844062	Warning: no occurrences in rep rB_t168_16O (t168_16O)
sip7	T0.13	t0_16O	t168_16O	-136344.440979453	-132111.991988786	-136344.440979453	-533094.511505708	262489.391518379	-2272.40734965755	-2201.86653314644	-2272.40734965755	-8884.90852509513	4374.82319197298	7282654.95622123	7274157.05639809	7282654.95622123	5996565.35585621	8536159.90832077	6328243.86936506	6349373.11247658	6328243.86936506	3550993.37568128	9386909.30567119	none
sip8	T0.13	t0_16O	t168_16O	-676829.880793872	-681172.122254609	-676829.880793872	-1650800.32499473	324420.278036511	-11280.4980132312	-11352.8687042435	-11280.4980132312	-27513.3387499122	5407.00463394185	15688782.2014077	15717766.4180689	15688782.2014077	8017198.54307907	22721468.981006	10950973.0358506	10949561.5622867	10950973.0358506	9697435.95226954	12795214.6564968	none
sip9	T0.13	t0_16O	t168_16O	-85607.0424767085	-81082.0141791476	-85607.0424767085	-487728.324203506	368913.248828794	-1426.78404127847	-1351.36690298579	-1426.78404127847	-8128.80540339177	6148.55414714656	4896494.02663231	4876805.06868134	4896494.02663231	1669122.45849259	7340928.8076457	4297244.72929535	4309230.96942731	4297244.72929535	3372997.87359214	6142117.31667852	none
sip13	T0.13	t0_16O	t168_16O	349106.403373626	349743.161923279	349106.403373626	-433315.617047669	1118696.9491205	5818.44005622709	5829.05269872132	5818.44005622709	-7221.92695079448	18644.9491520084	10541591.3726499	10534605.3923868	10541591.3726499	5966645.58513277	14563203.1740136	12985336.1962653	12982807.5258497	12985336.1962653	9564016.30209685	15596771.1429208	none
sip15	T0.13	t0_16O	t168_16O	162916.890737175	167611.738299877	162916.890737175	-251277.452406619	579580.112117211	2715.28151228625	2793.52897166462	2715.28151228625	-4187.95754011031	9659.66853528685	2267781.26600538	2254950.40929795	2267781.26600538	0	3555126.07517992	3408199.5011656	3428232.57739709	3408199.5011656	874978.567642403	6324842.05082585	Warning: no occurrences in rep rA_t0_16O (t0_16O)
sip16	T0.13	t0_16O	t168_16O	-34609.9083337446	-35057.2695933827	-34609.9083337446	-650791.17207287	548417.554589372	-576.83180556241	-584.287826556378	-576.83180556241	-10846.5195345478	9140.29257648952	13081484.5612302	13077868.0153228	13081484.5612302	9270361.90480324	16101196.1740294	12839215.202894	12832467.1281691	12839215.202894	10538772.2112918	14875539.2926592	none
