taxonID	comparisonID	trt.code.1	trt.code.2	ape.obs	ape.boot.mean	ape.boot.median	ape.boot.CI.L	ape.boot.CI.U	b.obs	b.boot.mean	b.boot.median	b.boot.CI.L	b.boot.CI.U	f.gross.obs	f.gross.boot.mean	f.gross.boot.median	f.gross.boot.CI.L	f.gross.boot.CI.U	message	comparisonID.pop	group.code.0	group.code.t	r.net.obs	r.net.boot.mean	r.net.boot.median	r.net.boot.CI.L	r.net.boot.CI.U	f.net.obs	f.net.boot.mean	f.net.boot.median	f.net.boot.CI.L	f.net.boot.CI.U	N.tot.T0.obs.mean	N.tot.T0.boot.mean	N.tot.T0.boot.median	N.tot.T0.boot.CI.L	N.tot.T0.boot.CI.U	N.tot.Tt.obs.mean	N.tot.Tt.boot.mean	N.tot.Tt.boot.median	N.tot.Tt.boot.CI.L	N.tot.Tt.boot.CI.U	message.pop	d.obs	d.boot.mean	d.boot.median	d.boot.CI.L	d.boot.CI.U	f.death.obs	f.death.boot.mean	f.death.boot.median	f.death.boot.CI.L	f.death.boot.CI.U	N.light.Tt.obs	N.light.Tt.boot.mean	N.light.Tt.boot.median	N.light.Tt.boot.CI.L	N.light.Tt.boot.CI.U
sip1	2	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t24_18O	0.162551876440546	0.163244548760637	0.163808226350291	0.125222128071133	0.206303023942933	3961835.61122464	3940223.4078244	3873674.24315291	2780742.7262049	5277137.87337171	66030.5935204108	65670.3901304066	64561.2373858819	46345.7121034149	87952.2978895284	none	T0.5	t0_16O	t24_18O	32523364.6432827	32277593.2555428	32503992.0852749	18962996.2055881	57499658.2454975	542056.077388046	537959.88759238	541733.201421248	316049.936759801	958327.637424958	3007128.95036258	3001842.49080126	3007128.95036258	2261683.48945041	3888355.7635165	35530493.5936453	35279435.7463441	35530493.5936453	21989497.7139585	61043930.7529765	none	28561529.0320581	28337369.8477184	28496639.3423379	14514250.9690844	53323561.1052022	476025.483867635	472289.497461974	474943.989038966	241904.182818073	888726.018420036	31568657.9824207	31339212.3385197	31505438.2809969	17640911.1619857	56763337.4785031
sip2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip3	2	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t24_18O	0.0764664638654246	0.0772008546642841	0.0777968519889163	0.0397956147904719	0.114714525316914	1727822.23258558	1724799.49889858	1716277.74827496	948370.420225202	2542081.15987942	28797.0372097597	28746.6583149763	28604.629137916	15806.17367042	42368.0193313237	none	T0.5	t0_16O	t24_18O	24711658.0482341	24633237.2844991	24711658.0482341	16421983.5953346	35602919.6037828	411860.967470569	410553.954741652	411860.967470569	273699.726588909	593381.993396381	8450740.41512547	8444002.69816886	8450740.41512547	6015083.03072826	11044575.2584758	33162398.4633596	33077239.982668	33162398.4633596	25871647.2978276	45711178.4287788	none	22983835.8156486	22908437.7856006	22823021.8384665	14647114.5131776	34196600.3475729	383063.93026081	381807.296426676	380383.697307775	244118.575219626	569943.339126214	31434576.230774	31352440.4837694	31365118.2590629	24073805.287994	43767127.8368396
sip4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip7	2	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t24_18O	0.0842263960412288	0.0843418641389245	0.0839713255132175	0.0456433914871635	0.122370799512693	1253936.74124958	1230429.09793008	1226651.72756733	735252.192535324	1709727.80965028	20898.945687493	20507.1516321679	20444.1954594555	12254.2032089221	28495.4634941713	none	T0.5	t0_16O	t24_18O	11639792.1491022	11554940.4915369	11639792.1491022	3644746.65775808	24521190.5906724	193996.535818371	192582.341525614	193996.535818371	60745.7776293013	408686.509844541	7282654.95622123	7274157.05639809	7282654.95622123	5996565.35585621	8536159.90832077	18922447.1053235	18829097.5479349	18922447.1053235	10961975.0295728	32640202.7285166	none	10385855.4078526	10324511.3936068	10301829.8663349	2343900.89617035	23201375.1137012	173097.590130878	172075.189893446	171697.164438916	39065.0149361727	386689.585228354	17668510.3640739	17598668.4500049	17632622.5928483	9857975.88694097	31324165.853693
sip8	2	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t24_18O	0.120495250661732	0.122268373730965	0.124062754666345	0.0360325610558426	0.201881477133605	4110562.28772548	4143655.62965608	4163563.74807583	1173177.92279928	6832077.90790013	68509.3714620913	69060.9271609347	69392.7291345971	19552.9653799879	113867.965131669	none	T0.5	t0_16O	t24_18O	27003768.2737223	26473007.7231201	26364871.3949919	9147502.0949108	47157935.7995603	450062.804562039	441216.795385334	439414.523249865	152458.368248513	785965.596659339	15688782.2014077	15717766.4180689	15688782.2014077	8017198.54307907	22721468.981006	42692550.47513	42190774.141189	42692550.47513	24836284.2963185	63485614.8796984	none	22893205.9859968	22329352.093464	21777115.4919002	4723264.13418301	42400590.7955689	381553.433099947	372155.8682244	362951.924865004	78721.0689030506	706676.513259482	38581988.1874046	38047118.5115329	37474580.4837819	20786117.5398467	58736049.2320891
sip9	2	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t24_18O	0.0842745061465922	0.0845399387187779	0.0852102304816368	0.0510426941762374	0.116139534580443	1422043.09945197	1409635.05156097	1414112.40916628	941963.951483066	1982722.5430378	23700.7183241995	23493.9175260162	23568.5401527714	15699.3991913844	33045.3757172967	none	T0.5	t0_16O	t24_18O	15513413.9443729	15508880.5571626	15457255.2321925	8776032.64349945	23261469.814073	258556.899072882	258481.342619377	257620.920536542	146267.210724991	387691.163567884	4896494.02663231	4876805.06868134	4896494.02663231	1669122.45849259	7340928.8076457	20409907.9710052	20385685.6258439	20409907.9710052	14226359.3347608	28935173.0247693	none	14091370.844921	14099245.5056016	13907816.3199343	7554288.7433662	21638070.550165	234856.180748683	234987.42509336	231796.938665573	125904.812389436	360634.509169417	18987864.8715533	18976050.574283	18952670.0449633	12842285.0849501	27348271.7448147
sip13	2	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t24_18O	0.238516328421736	0.238657091175481	0.238892579418422	0.178725065454263	0.304330178784756	23030155.1411755	23021583.2437162	22558882.7565911	14765300.0344042	32903463.9110397	383835.919019592	383693.054061937	375981.379276518	246088.333906736	548391.065183995	none	T0.5	t0_16O	t24_18O	164553524.949795	162867003.382877	163409932.587307	103653284.333622	226031523.69972	2742558.74916324	2714450.05638128	2723498.87645511	1727554.73889369	3767192.061662	10541591.3726499	10534605.3923868	10541591.3726499	5966645.58513277	14563203.1740136	175095116.322444	173401608.775263	175095116.322444	113038783.101202	236573115.07237	none	141523369.808619	139845420.13916	139970084.574543	80337000.7681779	201436648.833297	2358722.83014365	2330757.00231934	2332834.74290905	1338950.01280297	3357277.48055496	152064961.181269	150380025.531547	150977364.882398	91218274.3746211	212475134.292867
sip15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
