taxonID	comparisonID	trt.code.1	trt.code.2	ape.obs	ape.boot.mean	ape.boot.median	ape.boot.CI.L	ape.boot.CI.U	b.obs	b.boot.mean	b.boot.median	b.boot.CI.L	b.boot.CI.U	f.gross.obs	f.gross.boot.mean	f.gross.boot.median	f.gross.boot.CI.L	f.gross.boot.CI.U	message	comparisonID.pop	group.code.0	group.code.t	r.net.obs	r.net.boot.mean	r.net.boot.median	r.net.boot.CI.L	r.net.boot.CI.U	f.net.obs	f.net.boot.mean	f.net.boot.median	f.net.boot.CI.L	f.net.boot.CI.U	N.tot.T0.obs.mean	N.tot.T0.boot.mean	N.tot.T0.boot.median	N.tot.T0.boot.CI.L	N.tot.T0.boot.CI.U	N.tot.Tt.obs.mean	N.tot.Tt.boot.mean	N.tot.Tt.boot.median	N.tot.Tt.boot.CI.L	N.tot.Tt.boot.CI.U	message.pop	d.obs	d.boot.mean	d.boot.median	d.boot.CI.L	d.boot.CI.U	f.death.obs	f.death.boot.mean	f.death.boot.median	f.death.boot.CI.L	f.death.boot.CI.U	N.light.Tt.obs	N.light.Tt.boot.mean	N.light.Tt.boot.median	N.light.Tt.boot.CI.L	N.light.Tt.boot.CI.U
sip1	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	0.078522575848521	0.0806595154172689	0.0786641952211526	0.0214027613360601	0.150506207783801	10084147.1697775	10025147.4885384	9832489.07239189	3033074.95315867	17859350.6302101	168069.119496292	167085.79147564	163874.817873198	50551.2492193112	297655.843836835	none	T0.3	t0_16O	t3_16O.t3_18O	10630192.4444807	10336472.9827521	9173055.14355542	-4870020.99894048	30906643.0725155	177169.874074679	172274.549712534	152884.25239259	-81167.0166490079	515110.717875258	3007128.95036258	3001842.49080126	3007128.95036258	2261683.48945041	3888355.7635165	4335903.00592266	4293901.61364527	4186035.51812764	2526531.40248763	6716298.81651388	none	546045.274703167	311325.494213673	-68141.4925500639	-16964361.8197775	21797884.4205737	9100.75457838614	5188.75823689456	-1135.69154250099	-282739.363662958	363298.073676227	3075384.60970047	3040758.17757797	2972788.94340751	922944.33913019	5511179.1361193
sip2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip3	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	0	0.00969356401187111	0	0	0.0687177058460676	-5449564.10002007	-5316797.39030788	-5065010.55708281	-21746923.8427933	11007818.0697917	-90826.0683336678	-88613.2898384646	-84416.8426180468	-362448.730713222	183463.634496528	none	T0.3	t0_16O	t3_16O.t3_18O	29712983.0200219	28841802.9003027	26635838.9500212	-9532664.39868062	82256230.704068	495216.383667031	480696.715005045	443930.649167021	-158877.73997801	1370937.17840113	8450740.41512547	8444002.69816886	8450740.41512547	6015083.03072826	11044575.2584758	12164863.2926282	12049228.0607067	11916319.9179228	8039793.15340066	18117504.111027	none	35162547.1200419	34158600.2906106	32409252.7321976	-8767896.33799225	89489411.8896785	586042.452000699	569310.00484351	540154.212203294	-146131.605633205	1491490.19816131	12846058.8051307	12713827.7344952	12450084.5837953	7935411.80853378	19131876.1179207
sip4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	0.0339867001938012	0.0390394257737505	0.0365183871177271	0	0.110503427817994	904836.997658932	900580.651481138	957950.460673598	-1134894.57132269	2596099.87090454	15080.6166276489	15009.6775246856	15965.8410112266	-18914.9095220449	43268.3311817423	Warning: no occurrences in rep rB_t168_16O (t72_16O/t48_16O/t24_16O/t168_16O/t3_16O)	T0.3	t0_16O	t3_16O.t3_18O	3613318.05373857	3482015.29424377	3611063.38599998	-13995009.8150148	18640954.2169197	60221.9675623095	58033.5882373961	60184.3897666663	-233250.16358358	310682.570281996	2379428.64916919	2391108.91202733	2379428.64916919	886473.888605424	4654002.24408638	2831093.40588652	2826360.8238078	2831093.40588652	1665005.76930812	3928138.17645223	none	2708481.05607964	2581434.64276263	2807079.30778489	-14848512.8072967	18542438.6406537	45141.3509346606	43023.9107127105	46784.6551297481	-247475.213454945	309040.644010894	2717988.78117915	2713788.24237266	2713856.5343067	1521813.08851693	3904256.97848492
sip7	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	0	0.0087852012737705	0	0	0.0514047928252079	-1969364.25713063	-2020004.94879688	-1798729.76916728	-10650594.4900906	5215558.52877106	-32822.7376188438	-33666.7491466146	-29978.8294861213	-177509.908168176	86925.9754795177	none	T0.3	t0_16O	t3_16O.t3_18O	-8055270.85529929	-8825251.06154185	-9489792.67313512	-31868597.5295229	25561215.0841704	-134254.514254988	-147087.517692364	-158163.211218919	-531143.292158715	426020.251402841	7282654.95622123	7274157.05639809	7282654.95622123	5996565.35585621	8536159.90832077	6275746.09930882	6171000.67370536	6170586.01949184	3863165.86529311	10265523.6005334	none	-6085906.59816866	-6805246.11274498	-7912952.79529347	-32067116.6556036	29236202.4935352	-101431.776636144	-113420.76854575	-131882.546588224	-534451.944260061	487270.04155892	6521916.63145015	6423501.29230497	6290039.1179004	3671195.64480237	10606753.5921618
sip8	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	0.00127064679016517	0.0361435709634175	0.00304114911243945	0	0.150998678353988	297439.087903767	242490.881667841	709506.79250097	-41173359.6477738	36914078.219409	4957.31813172945	4041.51469446402	11825.1132083495	-686222.660796229	615234.63699015	none	T0.3	t0_16O	t3_16O.t3_18O	40321050.5923645	40386110.006485	38965713.7710489	-35760812.191382	118172177.523156	672017.509872742	673101.833441417	649428.562850815	-596013.536523033	1969536.2920526	15688782.2014077	15717766.4180689	15688782.2014077	8017198.54307907	22721468.981006	20728913.5254533	20766030.1688796	20649478.1266561	13772716.5046236	28002042.9467987	none	40023611.5044607	40143619.1248171	39702829.0925522	-47741946.4867441	132715017.313298	667060.191741012	669060.318746952	661713.818209204	-795699.108112401	2211916.95522162	20691733.6394653	20735718.8086711	20598920.8898943	12108656.8125757	30546941.6509719
sip9	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	0	0.00300096590274384	0	0	0.0356036956893451	-6374009.42447232	-6342729.4875532	-6025771.3349302	-17436135.7344388	4411048.7185482	-106233.490407872	-105712.158125887	-100429.522248837	-290602.262240647	73517.47864247	none	T0.3	t0_16O	t3_16O.t3_18O	29564796.451017	29090125.2299367	27709767.4419032	-4641799.22075649	69179519.6409022	492746.60751695	484835.420498945	461829.457365053	-77363.3203459415	1152991.99401504	4896494.02663231	4876805.06868134	4896494.02663231	1669122.45849259	7340928.8076457	8592093.58300944	8513070.72242343	8387427.70122813	5488681.20117596	12698967.7731862	none	35938805.8754893	35432854.7174899	34449279.0529262	-703005.069171871	79444465.7927122	598980.097924822	590547.578624832	574154.650882104	-11716.7511528646	1324074.42987853	9388844.76106848	9305911.90836758	9132326.96397354	5835261.29793514	13708387.457433
sip13	1	t168_16O_t24_16O_t3_16O_t48_16O_t72_16O	t3_18O	0.068825105924685	0.0770876122525705	0.0690991737091504	0	0.197239078714838	32885885.7485809	32364176.3796873	32491269.04216	-47152975.7149311	103475497.96222	548098.095809681	539402.939661454	541521.150702667	-785882.928582185	1724591.63270366	none	T0.3	t0_16O	t3_16O.t3_18O	172946035.43222	172377307.630867	171268474.101862	70956306.3044241	283448240.264155	2882433.92387033	2872955.12718111	2854474.56836436	1182605.10507374	4724137.33773592	10541591.3726499	10534605.3923868	10541591.3726499	5966645.58513277	14563203.1740136	32159845.8016774	32081768.8462451	31822364.7034729	19664650.4187831	44992079.4547462	none	140060149.683639	140013131.251179	135593523.883981	9954113.01197385	289260715.185275	2334335.82806065	2333552.18751966	2259892.06473302	165901.883532896	4821011.91975457	28049110.0831048	28036246.7987842	27592700.189739	12350977.582579	46081726.9489518
sip15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
