"","KO","Level1","Level2","Level3","Level4"
"1","K00011"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00040 Pentose and glucuronate interconversions","    K00011  AKR1B; aldehyde reductase"
"2","K00026"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00020 Citrate cycle (TCA cycle)","    K00026  MDH2; malate dehydrogenase"
"3","K00028"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00620 Pyruvate metabolism","    K00028  E1.1.1.39; malate dehydrogenase (decarboxylating)"
"4","K00032"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00030 Pentose phosphate pathway","    K00032  E1.1.1.43; phosphogluconate 2-dehydrogenase"
"5","K00044"," 09100 Metabolism","  09103 Lipid metabolism","   00140 Steroid hormone biosynthesis","    K00044  HSD17B1; 17beta-estradiol 17-dehydrogenase"
"6","K00049"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00620 Pyruvate metabolism","    K00049  GRHPR; glyoxylate/hydroxypyruvate reductase"
"7",NA,NA,NA,NA,NA
"8","K00051"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00620 Pyruvate metabolism","    K00051  E1.1.1.82; malate dehydrogenase (NADP+)"
"9","K00062"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00053 Ascorbate and aldarate metabolism","    K00062  ARA2; D-arabinose 1-dehydrogenase"
"10","K00069"," 09100 Metabolism","  09103 Lipid metabolism","   00590 Arachidonic acid metabolism","    K00069  HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD)"
"11","K00070"," 09100 Metabolism","  09103 Lipid metabolism","   00140 Steroid hormone biosynthesis","    K00070  HSD3B; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase"
"12","K00072"," 09100 Metabolism","  09108 Metabolism of cofactors and vitamins","   00790 Folate biosynthesis","    K00072  SPR; sepiapterin reductase"
"13","K00082"," 09100 Metabolism","  09108 Metabolism of cofactors and vitamins","   00740 Riboflavin metabolism","    K00082  ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase"
"14","K00083"," 09100 Metabolism","  09110 Biosynthesis of other secondary metabolites","   00940 Phenylpropanoid biosynthesis","    K00083  CAD; cinnamyl-alcohol dehydrogenase"
"15","K00086"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00640 Propanoate metabolism","    K00086  dhaT; 1,3-propanediol dehydrogenase"
"16","K00100"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00650 Butanoate metabolism","    K00100  bdhAB; butanol dehydrogenase"
"17","K00105"," 09100 Metabolism","  09103 Lipid metabolism","   00564 Glycerophospholipid metabolism","    K00105  E1.1.3.21; alpha-glycerophosphate oxidase"
"18","K00107"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00053 Ascorbate and aldarate metabolism","    K00107  ALO; D-arabinono-1,4-lactone oxidase"
"19","K00115"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00030 Pentose phosphate pathway","    K00115  GLD; glucose 1-dehydrogenase (FAD, quinone)"
"20","K00120"," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00120  fgd2; F420-dependent hydroxymycolic acid dehydrogenase"
"21","K00129"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00010 Glycolysis / Gluconeogenesis","    K00129  ALDH3; aldehyde dehydrogenase (NAD(P)+)"
"22","K00139"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00650 Butanoate metabolism","    K00139  ALDH5A1; succinate-semialdehyde dehydrogenase"
"23","K00149"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00010 Glycolysis / Gluconeogenesis","    K00149  ALDH9A1; aldehyde dehydrogenase family 9 member A1"
"24","K00150"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00010 Glycolysis / Gluconeogenesis","    K00150  gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating)"
"25","K00155"," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00155  LNAA, LNBA; L-tyrosine reductase"
"26","K00185"," 09100 Metabolism","  09102 Energy metabolism","   00920 Sulfur metabolism","    K00185  dmsC; dimethyl sulfoxide reductase membrane subunit"
"27","K00186"," 09100 Metabolism","  09105 Amino acid metabolism","   00280 Valine, leucine and isoleucine degradation","    K00186  vorA; 2-oxoisovalerate ferredoxin oxidoreductase alpha subunit"
"28","K00188"," 09100 Metabolism","  09105 Amino acid metabolism","   00280 Valine, leucine and isoleucine degradation","    K00188  vorD; 2-oxoisovalerate ferredoxin oxidoreductase delta subunit"
"29","K00195"," 09100 Metabolism","  09102 Energy metabolism","   00680 Methane metabolism","    K00195  cdhB; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon"
"30","K00198"," 09100 Metabolism","  09102 Energy metabolism","   00720 Carbon fixation pathways in prokaryotes","    K00198  cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit"
"31","K00205"," 09100 Metabolism","  09102 Energy metabolism","   00680 Methane metabolism","    K00205  fwdF, fmdF; 4Fe-4S ferredoxin"
"32","K00211"," 09100 Metabolism","  09105 Amino acid metabolism","   00400 Phenylalanine, tyrosine and tryptophan biosynthesis","    K00211  TYR1; prephenate dehydrogenase (NADP+)"
"33","K00214"," 09100 Metabolism","  09108 Metabolism of cofactors and vitamins","   00860 Porphyrin metabolism","    K00214  BLVRA, bvdR; biliverdin reductase"
"34","K00218"," 09100 Metabolism","  09108 Metabolism of cofactors and vitamins","   00860 Porphyrin metabolism","    K00218  por; protochlorophyllide reductase"
"35","K00223"," 09100 Metabolism","  09103 Lipid metabolism","   00100 Steroid biosynthesis","    K00223  ERG4; Delta24(24(1))-sterol reductase"
"36","K00224"," 09100 Metabolism","  09103 Lipid metabolism","   00592 alpha-Linolenic acid metabolism","    K00224  CEQORH; chloroplastic oxoene reductase"
"37","K00257"," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00257  mbtN, fadE14; acyl-ACP dehydrogenase"
"38","K00264"," 09100 Metabolism","  09102 Energy metabolism","   00910 Nitrogen metabolism","    K00264  GLT1; glutamate synthase (NADH)"
"39","K00270"," 09100 Metabolism","  09105 Amino acid metabolism","   00350 Tyrosine metabolism","    K00270  pdh; phenylalanine dehydrogenase"
"40","K00280"," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00280  LOXL2_3_4; lysyl oxidase-like protein 2/3/4"
"41","K00288"," 09100 Metabolism","  09108 Metabolism of cofactors and vitamins","   00670 One carbon pool by folate","    K00288  MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase"
"42","K00289"," 09100 Metabolism","  09108 Metabolism of cofactors and vitamins","   00670 One carbon pool by folate","    K00289  ALDH1L; formyltetrahydrofolate dehydrogenase"
"43","K00298"," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00298  ceo; N5-(carboxyethyl)ornithine synthase"
"44","K00306"," 09100 Metabolism","  09105 Amino acid metabolism","   00260 Glycine, serine and threonine metabolism","    K00306  PIPOX; sarcosine oxidase / L-pipecolate oxidase"
"45","K00310"," 09100 Metabolism","  09106 Metabolism of other amino acids","   00480 Glutathione metabolism","    K00310  SE; pyrimidodiazepine synthase"
"46","K00314"," 09100 Metabolism","  09105 Amino acid metabolism","   00260 Glycine, serine and threonine metabolism","    K00314  SARDH; sarcosine dehydrogenase"
"47","K00323"," 09100 Metabolism","  09108 Metabolism of cofactors and vitamins","   00760 Nicotinate and nicotinamide metabolism","    K00323  NNT; proton-translocating NAD(P)+ transhydrogenase"
"48","K00327"," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00327  POR; NADPH-ferrihemoprotein reductase"
"49","K00347"," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00347  nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B"
"50","K00348"," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00348  nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C"
"51","K00350"," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00350  nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E"
"52","K00351"," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00351  nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F"
"53","K00361"," 09100 Metabolism","  09102 Energy metabolism","   00910 Nitrogen metabolism","    K00361  nasB; nitrite reductase [NAD(P)H]"
"54","K00378"," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00378  hox; hydroxylamine oxidase"
"55","K00400"," 09100 Metabolism","  09102 Energy metabolism","   00680 Methane metabolism","    K00400  K00400; methyl coenzyme M reductase system, component A2"
"56","K00402"," 09100 Metabolism","  09102 Energy metabolism","   00680 Methane metabolism","    K00402  mcrG; methyl-coenzyme M reductase gamma subunit"
"57","K00414"," 09100 Metabolism","  09102 Energy metabolism","   00190 Oxidative phosphorylation","    K00414  QCR1, UQCRC1; ubiquinol-cytochrome c reductase core subunit 1"
"58","K00419"," 09100 Metabolism","  09102 Energy metabolism","   00190 Oxidative phosphorylation","    K00419  QCR9, UCRC; ubiquinol-cytochrome c reductase subunit 9"
"59","K00420"," 09100 Metabolism","  09102 Energy metabolism","   00190 Oxidative phosphorylation","    K00420  QCR10, UQCR; ubiquinol-cytochrome c reductase subunit 10"
"60","K00421"," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00421  lccA; laccase"
"61","K00422"," 09100 Metabolism","  09105 Amino acid metabolism","   00350 Tyrosine metabolism","    K00422  E1.10.3.1; polyphenol oxidase"
"62","K00423"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00053 Ascorbate and aldarate metabolism","    K00423  E1.10.3.3; L-ascorbate oxidase"
"63","K00430"," 09100 Metabolism","  09110 Biosynthesis of other secondary metabolites","   00940 Phenylpropanoid biosynthesis","    K00430  E1.11.1.7; peroxidase"
"64","K00437"," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00437  hydB; [NiFe] hydrogenase large subunit"
"65","K00440"," 09100 Metabolism","  09102 Energy metabolism","   00680 Methane metabolism","    K00440  frhA; coenzyme F420 hydrogenase subunit alpha"
"66","K00442"," 09100 Metabolism","  09102 Energy metabolism","   00680 Methane metabolism","    K00442  frhD; coenzyme F420 hydrogenase subunit delta"
"67","K00443"," 09100 Metabolism","  09102 Energy metabolism","   00680 Methane metabolism","    K00443  frhG; coenzyme F420 hydrogenase subunit gamma"
"68","K00454"," 09100 Metabolism","  09103 Lipid metabolism","   00591 Linoleic acid metabolism","    K00454  LOX2S; lipoxygenase"
"69","K00461"," 09100 Metabolism","  09103 Lipid metabolism","   00590 Arachidonic acid metabolism","    K00461  ALOX5; arachidonate 5-lipoxygenase"
"70","K00465"," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K00465  CCD1; carotenoid 9,10(9',10')-cleavage dioxygenase 1"
"71","K00466"," 09100 Metabolism","  09105 Amino acid metabolism","   00380 Tryptophan metabolism","    K00466  iaaM; tryptophan 2-monooxygenase"
"72","K00475"," 09100 Metabolism","  09110 Biosynthesis of other secondary metabolites","   00941 Flavonoid biosynthesis","    K00475  F3H; naringenin 3-dioxygenase"
"73","K00484"," 09100 Metabolism","  09105 Amino acid metabolism","   00350 Tyrosine metabolism","    K00484  hpaC; flavin reductase (NADH)"
"74","K00487"," 09100 Metabolism","  09108 Metabolism of cofactors and vitamins","   00130 Ubiquinone and other terpenoid-quinone biosynthesis","    K00487  CYP73A; trans-cinnamate 4-monooxygenase"
"75","K00494"," 09130 Environmental Information Processing","  09132 Signal transduction","   02020 Two-component system","    K00494  luxA; alkanal monooxygenase alpha chain"
"76","K00503"," 09100 Metabolism","  09105 Amino acid metabolism","   00350 Tyrosine metabolism","    K00503  DBH; dopamine beta-monooxygenase"
"77","K00509"," 09100 Metabolism","  09103 Lipid metabolism","   00590 Arachidonic acid metabolism","    K00509  PTGS1, COX1; prostaglandin-endoperoxide synthase 1"
"78","K00512"," 09100 Metabolism","  09103 Lipid metabolism","   00140 Steroid hormone biosynthesis","    K00512  CYP17A; steroid 17alpha-monooxygenase / 17alpha-hydroxyprogesterone deacetylase"
"79","K00513"," 09100 Metabolism","  09103 Lipid metabolism","   00140 Steroid hormone biosynthesis","    K00513  CYP21A; steroid 21-monooxygenase"
"80","K00514"," 09100 Metabolism","  09109 Metabolism of terpenoids and polyketides","   00906 Carotenoid biosynthesis","    K00514  ZDS, crtQ; zeta-carotene desaturase"
"81","K00515"," 09100 Metabolism","  09108 Metabolism of cofactors and vitamins","   00830 Retinol metabolism","    K00515  BCMO1, BCDO1; beta-carotene 15,15'-dioxygenase"
