Mass,C,H,O,N,S,P,NeutralMass,Error_ppm,MolecularFormula,El_comp,Class,OC,HC,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,X0h100pctP08a_26_1_11402,X0h100pctP14a_4_1_11374,X0h100pctP16b_8_1_11378,X0h50pctP09b_15_1_11389,X0h50pctP10b_40_1_11420,X0h50pctP13b_25_1_11401,X168h100pctP08a.DI_x_x_000001,X168h100pctP08a_17_1_11391,X168h100pctP14a_10_1_11380,X168h100pctP16a_34_1_11412,X168h50pctP09a_18_1_11392,X168h50pctP10a_37_1_11415,X168h50pctP13a_6_1_11376,X24h100pctP08a_21_1_11397,X24h100pctP14a_33_1_11411,X24h100pctP16a_5_1_11375,X24h50pctP09a_22_1_11398,X24h50pctP10a_30_1_11408,X24h50pctP13a_3_1_11373,X3h100pctP08a_38_1_11416,X3h100pctP14a_36_1_11414,X3h100pctP16a_24_1_11400,X3h50pctP09a_19_1_11395,X3h50pctP10a_1_1_11371,X3h50pctP13a_9_1_11379,X48h100pctP08a_13_1_11385,X48h100pctP14a.DI_x_x_000001,X48h100pctP14a_27_1_11403,X48h100pctP16a_32_1_11410,X48h50pctP09a_14_1_11386,X48h50pctP10a_20_1_11396,X48h50pctP13a_35_1_11413,X72h100pctP08a_16_1_11390,X72h100pctP14a_12_1_11384,X72h100pctP16a_11_1_11383,X72h50pctP09a_23_1_11399
200.0200803,7.0,7.0,6.0,1.0,0.0,0.0,201.0273567,-0.098406123,C7H7O6N,CHON,Tannin,0.8571428571428571,1.0,1.1428571428571428,27.728571428571428,5.0,-1.0,0.0,0.3333333333333333,-2.0,0.0,0.0,2002237.0,0.0,2206267.0,1878022.0,2274853.0,0.0,0.0,0.0,0.0,2042731.0,0.0,1900924.0,2184523.0,0.0,2094192.0,0.0,0.0,1927491.0,0.0,0.0,0.0,2235211.0,2116253.0,1765808.0,1871850.0,0.0,0.0,2426861.0,0.0,0.0,1892663.0,0.0,0.0,1997666.0
200.0564381,8.0,11.0,5.0,1.0,0.0,0.0,201.0637146,0.039299489,C8H11O5N,CHON,Lignin,0.625,1.375,0.25,53.175,4.0,-1.0,-1.0,0.1111111111111111,-2.0,4451076.0,2268975.0,3732811.0,3479684.0,4438601.0,4020244.0,2214451.0,1978983.0,3239795.0,2067375.0,3238946.0,3080057.0,2128972.0,3473802.0,3375450.0,2410743.0,10429566.0,6475903.0,2608025.0,2965842.0,2685158.0,2803217.0,2969788.0,3686232.0,2546347.0,2535870.0,2262008.0,2424969.0,2232056.0,3696635.0,1742042.0,2331233.0,2005316.0,2130745.0,3297397.0,4052848.0
200.0928332,9.0,15.0,4.0,1.0,0.0,0.0,201.1001097,-0.008659696,C9H15O4N,CHON,Protein,0.4444444444444444,1.6666666666666667,-0.44444444444444464,72.96666666666667,3.0,-1.0,-0.5,0.0,-2.0,4176658.0,3577660.0,3663192.0,3425426.0,3350103.0,4462627.0,2485825.0,3595894.0,4315010.0,2751933.0,5133361.0,3637127.0,3030619.0,4203929.0,3983720.0,3140869.0,6134925.0,3717261.0,3858343.0,4219232.0,3920116.0,2455071.0,3094730.0,3286886.0,2973370.0,4423117.0,2336774.0,3996823.0,3033863.0,4794377.0,3279080.0,3794543.0,2674002.0,2944839.0,3913858.0,4841343.0
200.1292187,10.0,19.0,3.0,1.0,0.0,0.0,201.1364952,-0.008574622,C10H19O3N,CHON,Lipid,0.3,1.9,-1.0,88.8,2.0,-1.0,-0.3333333333333333,0.0,-2.0,2034464.0,2124617.0,0.0,1946785.0,2559589.0,1989681.0,2397775.0,1827460.0,2136976.0,1837515.0,1753151.0,1876885.0,0.0,2194855.0,2494838.0,0.0,1904795.0,1957019.0,2406325.0,2111855.0,0.0,0.0,0.0,2470771.0,3454663.0,2143707.0,1845267.0,2088101.0,1781525.0,2276375.0,1827062.0,3169917.0,0.0,0.0,2392208.0,0.0
201.0193248,11.0,6.0,4.0,0.0,0.0,0.0,202.0266013,0.036548587,C11H6O4,CHO,Cond. HC,0.36363636363636365,0.5454545454545454,0.18181818181818166,55.11818181818182,9.0,5.0,0.7142857142857143,0.7777777777777778,5.0,1776757.0,2012803.0,2260653.0,2019841.0,3324846.0,2414984.0,0.0,0.0,0.0,0.0,1944980.0,1862885.0,1974200.0,2184959.0,1817799.0,0.0,2716145.0,0.0,1942789.0,1928397.0,1898055.0,2137989.0,2992666.0,2426036.0,2365461.0,0.0,0.0,2171385.0,2023524.0,1893736.0,1803844.0,0.0,1878695.0,0.0,1817038.0,0.0
201.0516912,7.0,10.0,5.0,2.0,0.0,0.0,202.0589677,0.018584088,C7H10O5N2,CHON,Tannin,0.7142857142857143,1.4285714285714286,0.8571428571428572,35.87142857142857,4.0,-1.0,0.0,0.0,-3.0,0.0,1857678.0,1820345.0,0.0,0.0,1975700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2367997.0,1853941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201.0557167,12.0,10.0,3.0,0.0,0.0,0.0,202.0629932,0.004829739,C12H10O3,CHO,Lignin,0.25,0.8333333333333334,-0.33333333333333304,69.79999999999998,8.0,5.0,0.5555555555555556,0.6190476190476191,5.0,1949826.0,0.0,2055866.0,2518543.0,3077051.0,2209173.0,1739692.0,0.0,2130162.0,0.0,2410913.0,1792242.0,2030534.0,1756941.0,3181269.0,1831543.0,2620927.0,2090487.0,2481426.0,2117339.0,2586196.0,0.0,3240486.0,2418880.0,1974306.0,1857339.0,0.0,3234310.0,1996914.0,1975669.0,0.0,0.0,0.0,2468012.0,2267611.0,1935600.0
201.0669453,11.0,10.0,2.0,2.0,0.0,0.0,202.0742218,0.02874651,C11H10O2N2,CHON,Lignin,0.18181818181818182,0.9090909090909091,0.0,60.3,8.0,6.0,0.5714285714285714,0.625,4.0,0.0,0.0,0.0,0.0,2054079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800368.0,0.0,0.0
201.0880874,8.0,14.0,4.0,2.0,0.0,0.0,202.0953639,-0.034220236,C8H14O4N2,CHON,Protein,0.5,1.75,0.0,60.3,3.0,-1.0,-1.5,0.0,-3.0,0.0,1750171.0,0.0,2221596.0,2666439.0,1887650.0,2187192.0,2615281.0,3033342.0,1853232.0,3020205.0,2765054.0,0.0,2826009.0,2383585.0,2300548.0,19494410.0,4239875.0,2145566.0,2988776.0,2505312.0,0.0,1898034.0,2654412.0,2177070.0,2335559.0,2180466.0,2061842.0,1864830.0,3081601.0,0.0,0.0,1936063.0,1964215.0,1895910.0,2994428.0
201.092115,13.0,14.0,2.0,0.0,0.0,0.0,202.0993915,-0.05822746,C13H14O2,CHO,Lignin,0.15384615384615385,1.0769230769230769,-0.7692307692307692,82.22307692307692,7.0,5.0,0.45454545454545453,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1832423.0,0.0
201.1244722,9.0,18.0,3.0,2.0,0.0,0.0,202.1317486,-0.030612666,C9H18O3N2,CHON,Protein,0.3333333333333333,2.0,-0.666666666666667,79.30000000000001,2.0,-1.0,-0.75,0.0,-3.0,4422812.0,3122343.0,3823315.0,4718122.0,3703764.0,4770223.0,4931525.0,5746687.0,6246668.0,5011261.0,0.0,4657420.0,4521951.0,5476135.0,8098542.0,7667345.0,5625369.0,7733776.0,6209835.0,8000246.0,6058605.0,6016941.0,3221055.0,6351064.0,5439547.0,4579156.0,6290815.0,5461536.0,4079755.0,5464463.0,3351146.0,3756018.0,5493453.0,6828229.0,4307442.0,5511434.0
201.1284978,14.0,18.0,1.0,0.0,0.0,0.0,202.1357743,-0.04498929,C14H18O,CHO,Unsat. HC,0.07142857142857142,1.2857142857142858,-1.1428571428571432,92.87142857142858,6.0,5.0,0.38461538461538464,0.4074074074074074,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3662583.0,0.0,0.0,0.0,0.0,3278909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2755060.0,0.0
