SampleID,Amino sugar,Carbohydrate,Cond. HC,Lignin,Lipid,Other,Protein,Tannin,Unsat. HC
X0h100pctP08a_26_1_11402,12.02,17.71,10.96,34.0,5.1,0.03,17.13,2.68,0.36
X0h100pctP14a_4_1_11374,11.39,15.92,16.28,33.18,4.75,0.04,16.35,1.81,0.29
X0h100pctP16b_8_1_11378,9.09,13.37,13.67,42.37,5.02,0.03,13.4,2.78,0.27
X0h50pctP09b_15_1_11389,9.09,13.88,15.36,39.99,4.99,0.03,13.64,2.72,0.28
X0h50pctP10b_40_1_11420,9.58,13.32,18.32,37.23,4.69,0.03,13.99,2.53,0.31
X0h50pctP13b_25_1_11401,9.02,13.15,16.51,37.23,6.1,0.08,15.01,2.52,0.38
X168h100pctP08a.DI_x_x_000001,10.17,13.9,17.57,35.9,5.44,,14.9,1.76,0.35
X168h100pctP08a_17_1_11391,8.15,11.1,16.8,40.73,5.99,,15.2,1.73,0.3
X168h100pctP14a_10_1_11380,8.26,10.42,17.8,38.38,6.43,,16.55,1.9,0.27
X168h100pctP16a_34_1_11412,8.61,11.73,19.83,39.62,5.34,,13.44,1.24,0.18
X168h50pctP09a_18_1_11392,8.9,11.04,17.69,35.49,6.93,,17.46,1.97,0.51
X168h50pctP10a_37_1_11415,8.63,11.81,19.42,38.09,4.61,0.03,14.61,2.35,0.44
X168h50pctP13a_6_1_11376,7.65,10.29,15.23,41.97,7.16,,15.61,1.77,0.3
X24h100pctP08a_21_1_11397,8.83,11.03,17.63,36.74,7.06,,16.6,1.77,0.34
X24h100pctP14a_33_1_11411,8.47,11.0,16.21,41.08,5.2,,15.61,2.13,0.3
X24h100pctP16a_5_1_11375,7.86,10.8,18.62,41.72,5.08,,14.41,1.23,0.28
X24h50pctP09a_22_1_11398,10.22,15.13,14.5,36.76,4.12,0.05,15.69,3.26,0.28
X24h50pctP10a_30_1_11408,8.61,12.34,15.42,39.97,4.77,0.13,15.58,2.94,0.24
X24h50pctP13a_3_1_11373,7.77,10.74,16.18,39.99,6.48,,16.68,1.83,0.32
X3h100pctP08a_38_1_11416,8.58,10.9,15.67,37.1,7.91,,17.51,1.77,0.55
X3h100pctP14a_36_1_11414,9.04,13.02,15.81,39.59,5.46,,14.2,2.67,0.21
X3h100pctP16a_24_1_11400,8.32,11.6,16.12,42.14,5.35,,14.69,1.5,0.28
X3h50pctP09a_19_1_11395,7.42,10.47,19.38,40.21,6.24,,12.84,3.16,0.27
X3h50pctP10a_1_1_11371,7.95,11.24,18.4,39.58,5.6,0.09,14.09,2.69,0.35
X3h50pctP13a_9_1_11379,8.01,10.25,15.11,42.08,6.63,,15.95,1.54,0.44
X48h100pctP08a_13_1_11385,9.11,11.0,16.93,36.34,6.96,,17.67,1.64,0.35
X48h100pctP14a.DI_x_x_000001,8.84,11.94,18.58,38.51,5.54,,13.98,2.44,0.16
X48h100pctP14a_27_1_11403,7.93,9.53,17.93,39.24,6.44,,16.87,1.83,0.23
X48h100pctP16a_32_1_11410,8.48,13.32,20.78,39.03,4.16,,11.65,2.31,0.26
X48h50pctP09a_14_1_11386,8.82,10.56,17.39,37.4,5.71,0.06,17.41,2.28,0.37
X48h50pctP10a_20_1_11396,7.54,9.74,15.77,41.95,6.73,,15.4,2.61,0.26
X48h50pctP13a_35_1_11413,8.76,11.81,20.03,37.51,5.42,,14.39,1.79,0.29
X72h100pctP08a_16_1_11390,7.94,10.53,16.58,41.67,5.79,,15.39,1.84,0.26
X72h100pctP14a_12_1_11384,7.68,10.27,18.69,42.47,5.08,,13.76,1.78,0.26
X72h100pctP16a_11_1_11383,8.88,11.96,19.65,38.0,5.26,,14.04,1.89,0.32
X72h50pctP09a_23_1_11399,8.61,11.08,18.66,37.8,5.46,0.12,15.61,2.29,0.36
