"","cazy","VIP","coef","VIP_signed","class"
"1","GH127 beta-L-arabinofuranosidase (EC 3.2.1.185)",1.84912442820302,-0.0125598220970351,-1.84912442820302,"GH"
"2","GH138 rhamnogalacturonan alpha-1,2-galacturonohydrolase (EC 3.2.1.173)",1.66130057940614,0.011284064722091,1.66130057940614,"GH"
"3","GH146 beta-L-arabinofuranosidase (EC 3.2.1.185)",2.12109373808773,0.0144071213354778,2.12109373808773,"GH"
"4","GH147 beta-galactosidase (EC 3.2.1.23)",1.67867877228788,0.0114021027554616,1.67867877228788,"GH"
"5","GH159 beta-D-galactofuranosidase (EC 3.2.1.146)",1.79986736213477,-0.0122252529477646,-1.79986736213477,"GH"
"6","GH17 glucan endo-1,3-beta-glucosidase (EC 3.2.1.39)",1.72500951593146,-0.0117167954223862,-1.72500951593146,"GH"
"7","GH2 beta-galactosidase (EC 3.2.1.23) ",2.09436708708849,-0.0142255856980269,-2.09436708708849,"GH"
"8","GH30 endo-beta-1,4-xylanase (EC 3.2.1.8)",1.8739164892035,-0.0127282174039358,-1.8739164892035,"GH"
"9","GH38 alpha-mannosidase (EC 3.2.1.24)",1.82798905659158,-0.0124162641496381,-1.82798905659158,"GH"
"10","GH65 alpha,alpha-trehalase (EC 3.2.1.28)",2.25267449271186,-0.0153008583086456,-2.25267449271186,"GH"
"11","GH67 alpha-glucuronidase (EC 3.2.1.139)",2.12573464904559,-0.0144386438307247,-2.12573464904559,"GH"
"12","GH76 alpha-1,6-mannanase (EC 3.2.1.101)",2.70151582324139,0.0183495267353159,2.70151582324139,"GH"
"13","GH8 chitosanase (EC 3.2.1.132)",1.71344379015091,-0.0116382374540791,-1.71344379015091,"GH"
"14","GH81 endo-beta-1,3-glucanase (EC 3.2.1.39)",1.69003848282339,-0.011479261404833,-1.69003848282339,"GH"
"15","GH87 mycodextranase (EC 3.2.1.61)",2.29391174115417,-0.0155809543888807,-2.29391174115417,"GH"
"16","GH93 exo-alpha-L-1,5-arabinanase (EC 3.2.1.-)",2.42074254121859,0.0164424282091047,2.42074254121859,"GH"
"17","GH95 alpha-L-fucosidase (EC 3.2.1.51)",1.87852673825866,-0.0127595316341048,-1.87852673825866,"GH"
"18","GH99 glycoprotein endo-alpha-1,2-mannosidase (EC 3.2.1.130)",1.84364405595117,0.0125225977223748,1.84364405595117,"GH"
"19","GT10 galactoside alpha-1,3/1,4-L-fucosyltransferase (EC 2.4.1.65)",2.28473507993649,-0.0155186236822063,-2.28473507993649,"GT"
"20","GT12 [N-acetylneuraminyl]-galactosylglucosylceramide N-acetylgalactosaminyltransferase (EC 2.4.1.92).",3.55924491035986,0.0241754866206274,3.55924491035986,"GT"
"21","GT22 Dol-P-Man: Man6GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.259)",1.76404588169325,0.0119819424302376,1.76404588169325,"GT"
"22","GT33 GDP-Man: chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142).",1.8434994608789,0.0125216155881517,1.8434994608789,"GT"
"23","GT76 Dol-P-Man: alpha-1,6-mannosyltransferase (EC 2.4.1.-)",1.95728399495057,0.0132944751553811,1.95728399495057,"GT"
"24","PL12 heparin-sulfate lyase (EC 4.2.2.8)",2.38859238157532,0.016224054432115,2.38859238157532,"PL"
"25","PL42 L-rhamnose-alpha-1,4-D-glucuronate lyase (EC 4.2.2.-)",2.65443872330886,-0.0180297645868208,-2.65443872330886,"PL"
"26","PL6 alginate lyase (EC 4.2.2.3)",2.00317401895441,0.0136061743189019,2.00317401895441,"PL"
