"","Query","VIP","Comp1","coefficient","Level1","Level2","Level3","Level4","VIP.sign","fct_reorder(Query, VIP.sign)"
"1","K07394",1.59329483408197,0.0447358832134959,0.00407632844685125," 09190 Not Included in Pathway or Brite","  09192 Unclassified: genetic information processing","   99975 Protein processing","    K07394  K07394; SM-20-related protein",1.59329483408197,"K07394"
"2","K00374",1.58515013401214,0.0398256174631063,0.00405549082667229," 09100 Metabolism","  09102 Energy metabolism","   00910 Nitrogen metabolism","    K00374  narI, narV; nitrate reductase gamma subunit",1.58515013401214,"K00374"
"3","K14584",1.58310496247992,0.0437137969670079,0.00405025840470168," 09100 Metabolism","  09111 Xenobiotics biodegradation and metabolism","   00626 Naphthalene degradation","    K14584  nahD; 2-hydroxychromene-2-carboxylate isomerase",1.58310496247992,"K14584"
"4","K02591",1.58229170816531,0.0542088155696033,0.00404817775294391," 09100 Metabolism","  09102 Energy metabolism","   00910 Nitrogen metabolism","    K02591  nifK; nitrogenase molybdenum-iron protein beta chain",1.58229170816531,"K02591"
"5","K11710",1.57793532139209,0.0246663949674185,0.00403703225560766," 09130 Environmental Information Processing","  09131 Membrane transport","   02010 ABC transporters","    K11710  troB, mntB, znuC; manganese/zinc/iron transport system ATP- binding protein",1.57793532139209,"K11710"
"6","K19231",1.55256785823894,0.0225491943967287,0.00397213145415917," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   02000 Transporters","    K19231  bmaC; fibronectin-binding autotransporter adhesin",1.55256785823894,"K19231"
"7","K20528",1.52044907912267,0.0540555774398147,0.00388995790398557," 09140 Cellular Processes","  09145 Cellular community - prokaryotes","   02024 Quorum sensing","    K20528  trbC; type IV secretion system protein TrbC",1.52044907912267,"K20528"
"8","K06163",1.48870880119606,0.0500644156386578,0.00380875272145714," 09100 Metabolism","  09106 Metabolism of other amino acids","   00440 Phosphonate and phosphinate metabolism","    K06163  phnJ; alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase",1.48870880119606,"K06163"
"9","K05778",1.47627270203637,0.0203070554345209,0.00377693587018258," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   02000 Transporters","    K05778  ynjC; putative thiamine transport system permease protein",1.47627270203637,"K05778"
"10","K19622",1.47124528430673,0.0504543997772593,0.00376407358916144," 09130 Environmental Information Processing","  09132 Signal transduction","   02020 Two-component system","    K19622  phcR; two-component system, response regulator PhcR",1.47124528430673,"K19622"
"11","K12426",1.46131467283754,0.0587474185249825,0.00373866684512348," 09180 Brite Hierarchies","  09181 Protein families: metabolism","   01004 Lipid biosynthesis proteins","    K12426  fadD26; long-chain fatty acid adenylase/transferase FadD26",1.46131467283754,"K12426"
"12","K01655",1.44961733909888,0.0578918627858645,0.00370874007121369," 09100 Metabolism","  09101 Carbohydrate metabolism","   00620 Pyruvate metabolism","    K01655  LYS21, LYS20; homocitrate synthase",1.44961733909888,"K01655"
"13","K23016",1.44366888594321,0.0416392515199248,0.00369352138833435," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   02000 Transporters","    K23016  lgoT; MFS transporter, ACS family, L-galactonate transporter",1.44366888594321,"K23016"
"14","K09975",1.44318278181402,0.0398266055937634,0.00369227772642847," 09190 Not Included in Pathway or Brite","  09194 Poorly characterized","   99997 Function unknown","    K09975  K09975; uncharacterized protein",1.44318278181402,"K09975"
"15","K25034",1.41278958115967,0.0326551192349274,0.00361451894270055," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   02000 Transporters","    K25034  btuF; cobalamin transport system substrate-binding protein",1.41278958115967,"K25034"
"16","K20971",1.39675498307432,0.0297646685896234,0.00357349559478591," 09140 Cellular Processes","  09145 Cellular community - prokaryotes","   02025 Biofilm formation - Pseudomonas aeruginosa","    K20971  ladS; two-component system, sensor histidine kinase LadS",1.39675498307432,"K20971"
"17","K07814",1.39501417038416,0.0365128644946149,0.0035690418526801," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K07814  K07814; cyclic di-GMP phosphodiesterase",1.39501417038416,"K07814"
"18","K21298",1.37963746805139,0.036151752715847,0.00352970168299081," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K21298  E2.4.1.333; 1,2-beta-oligoglucan phosphorylase",1.37963746805139,"K21298"
"19","K06914",1.37584822638001,0.076405525618477,0.00352000718496909," 09100 Metabolism","  09102 Energy metabolism","   00680 Methane metabolism","    K06914  mfnD; tyramine---L-glutamate ligase",1.37584822638001,"K06914"
"20","K09736",1.33526898340497,0.0670624392147413,0.00341618815602826," 09190 Not Included in Pathway or Brite","  09194 Poorly characterized","   99997 Function unknown","    K09736  K09736; uncharacterized protein",1.33526898340497,"K09736"
"21","K06965",1.33428478265374,0.0652104619985411,0.00341367015029961," 09120 Genetic Information Processing","  09122 Translation","   03015 mRNA surveillance pathway","    K06965  PELO, DOM34, pelA; protein pelota",1.33428478265374,"K06965"
"22","K00662",1.33016640202003,0.046616912343667,0.00340313357428551," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   01504 Antimicrobial resistance genes","    K00662  aacC; aminoglycoside 3-N-acetyltransferase",1.33016640202003,"K00662"
