"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"...1",361.737651947606,0.203194544908171,0.680856224752253,0.298439725629458,0.76536757299147,0.959363148817073
"AA1 Laccase / p-diphenol:oxygen oxidoreductase / ferroxidase (EC 1.10.3.2)",4443.63283355016,-0.119985485318768,0.249793685523852,-0.480338344290574,0.630986827769829,0.930784145009184
"AA10 (formerly CBM33) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs)",158.726866730057,-0.626391958399627,0.454798228029401,-1.37729639166301,0.16842063038215,0.742192608463712
"AA12 The pyrroloquinoline quinone-dependent oxidoreductase activity was demonstrated for the CC1G_09525 protein of Coprinopsis cinerea.",204.659575652529,-0.131481221702973,0.241173890892282,-0.54517187252951,0.585635314739656,0.930784145009184
"AA2 manganese peroxidase (EC 1.11.1.13)",3373.09901346387,-0.0890298289626196,0.185919684761727,-0.478861768062479,0.632036970952052,0.930784145009184
"AA3 cellobiose dehydrogenase (EC 1.1.99.18)",5482.62356786666,-0.0643301659005592,0.171650649899707,-0.374773797466811,0.707828702916842,0.948636405971026
"AA4 vanillyl-alcohol oxidase (EC 1.1.3.38)",845.327459044199,0.131097966316614,0.169860491659682,0.771797873865043,0.440234151199294,0.930784145009184
"AA5 Oxidase with oxygen as acceptor (EC 1.1.3.-)",624.512816796891,0.138117802888831,0.263291291405888,0.524581736643577,0.599873985540804,0.930784145009184
"AA6 1,4-benzoquinone reductase (EC. 1.6.5.6)",456.304538784458,-0.118513300523717,0.42818678663321,-0.276779443512435,0.781949466467266,0.959363148817073
"AA7 glucooligosaccharide oxidase (EC 1.1.3.-)",2918.08422154889,-0.0242131601784154,0.228244226122843,-0.106084436788266,0.915515359105381,0.997934936377768
"CBM11 Modules of approx. 180-200 residues. The CBM11 of Clotridium thermocellum Cel26A-Cel5E has been shown to bind both beta-1,4-glucan and beta-1,3-1,4-mixed linked glucans.",47.511314371466,-0.531402940397355,0.681649748897184,-0.779583563636739,0.435636033611041,0.930784145009184
"CBM13 Modules of approx. 150 residues which always appear as a threefold internal repeat. The only apparent exception to this, xylanase II of Actinomadura sp. FC7 (GenBank U08894), is in fact not completely sequenced. These modules were first identified in several plant lectins such as ricin or agglutinin of Ricinus communis which bind galactose residues. The three-dimensional structure of a plant lectin has been determined and displays a pseudo-threefold symmetry in accord with the observed sequence threefold repeat. These modules have since been found in a number of other proteins of various functions including glycoside hydrolases and glycosyltransferases. While in the plant lectins this module binds mannose, binding to xylan has been demonstrated in the Streptomyces lividans xylanase A and arabinofuranosidase B. Binding to GalNAc has been shown for the corresponding module of GalNAc transferase 4. For the other proteins, the binding specificity of these modules has not been established. The pseudo three-fold symmetry of the CBM13 module has now been confirmed in the 3-D structure of the intact, two-domain, xylanase of Streptomyces olivaceoviridis.",2069.5171453071,-0.999043185606938,0.41785145944942,-2.39090510039937,0.0168068964652118,0.388548430580361
"CBM16 Carbohydrate-binding module 16. Binding to cellulose and glucomannan demonstrated [B. Bae et al (2008) J Biol Chem. 283:12415-25 (PMID: 18025086)]",77.6554970434612,-0.228584909853445,0.501280116323404,-0.456002347609519,0.64838829005795,0.930784145009184
"CBM2 Modules of approx. 100 residues and which are found in a large number of bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. Several of these modules have been shown to also bind chitin or xylan.",2094.06622306815,-0.848505878535716,0.411470814932267,-2.06212894753031,0.0391954610406156,0.509540993528003
"CBM20 The granular starch-binding function has been demonstrated in several cases. Interact strongly with cyclodextrins. Often designated as starch-binding domains (SBD).",111.13770815963,0.355154267534293,0.451279835345046,0.78699343449003,0.431285709557915,0.930784145009184
"CBM22 A xylan binding function has been demonstrated in several cases and affinity with mixed beta-1,3/beta-1,4-glucans in one. In several cases a thermostabilizing effect has also been seen.",161.248245606083,-0.896744208729229,0.610018413364505,-1.47002809928853,0.141554143838176,0.721648576429916
"CBM23 Mannan-binding function demonstrated in one case.",16.9712095345268,-3.07929026523349,1.63255243519788,-1.8861815393147,0.0592704953296136,0.571987757444284
"CBM3 Modules of approx. 150 residues found in bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. In one instance binding to chitin has been reported.",9.48445482067373,0.0397718349540435,1.15740464553558,0.0343629473991261,0.972587729703016,0.997934936377768
"CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278).",450.555857076811,-0.405167524007191,0.293728892977887,-1.37939281321464,0.167773673895785,0.742192608463712
"CBM34 Modules of approx. 120 residues. Granular starch-binding function has been demonstrated in the case of Thermoactinomyces vulgaris R-47 alpha-amylase 1 (TVAI).",10.1313219156331,-2.32063173293021,0.992715850659031,-2.33765959452508,0.0194049137939397,0.388548430580361
"CBM35 Modules of approx. 130 residues. A module that is conserved in three Cellvibrio xylan-degrading enzymes binds to xylan and the interaction is calcium dependent, while a module from a Cellvibrio mannanase binds to decorated soluble mannans and mannooligosaccharides. A module in a Phanerochaete chrysosporium galactan 1,3-beta-galactosidase binds to beta-galactan.",292.943790408412,0.202838193050278,0.377516887843117,0.53729568022549,0.5910633888561,0.930784145009184
"CBM37 Modules of approx. 100 residues, conserved in numerous R. albus polysaccharide-degrading enzymes and other proteins from this bacterium. Several members of CBM37 have been shown to exhibit rather broad binding specificity to xylan, chitin, microcrystalline and phosphoric-acid swollen cellulose, as well as more heterogeneous substrates, such as alfalfa cell walls, banana stem and wheat straw.",4.39092558144135,0.760240203446195,2.00480172825722,0.379209670827187,0.704532170671808,0.948636405971026
"CBM38 The inulin-binding function has been demonstrated in the case of the cycloinulo-oligosaccharide fructanotransferase from Paenibacillus macerans (Bacillus macerans) by Lee et al. (2004) FEMS Microbiol Lett 234:105-10. (PMID:15109727).",389.991735859615,-0.251219353096522,0.343285839518811,-0.73180808578839,0.4642857131083,0.930784145009184
"CBM4 Modules of approx. 150 residues found in bacterial enzymes. Binding of these modules has been demonstrated with xylan, beta-1,3-glucan, beta-1,3-1,4-glucan, beta-1,6-glucan and amorphous cellulose but not with crystalline cellulose.",36.3251160732117,-0.237075831293929,0.744936161727991,-0.318249862839248,0.75029541227106,0.959363148817073
"CBM40 Modules of approx. 200 residues, found at the N-terminus of GH33 sialidases. Can also be found inserted in the beta-propeller of GH33 sialidases. The sialic acid binding function has been demonstrated for the N-terminal CBM40 of Vibrio cholerae sialidase (Moustafa et al. (2004) J Biol Chem 279:40819-26) (PMID: 15226294).",6.6677767807116,-0.942873303522841,1.37381079793421,-0.686319619077557,0.492511579884952,0.930784145009184
"CBM41 Modules of approx. 100 residues found in primarily in bacterial pullulanases. The N-terminal module from Thermotoga maritima Pul13 has been shown to bind to the alpha-glucans amylose, amylopectin, pullulan, and oligosaccharide fragments derived from these polysaccharides (Lammerts van Bueren et al. (2004) Biochemistry 43:15633-42) (PMID: 15581376).",139.036887599714,0.0260786715664901,0.392139842566073,0.0665034988432628,0.946976972204461,0.997934936377768
"CBM42 Modules of approx. 160 residues found mostly at the C-terminus of GH54 catalytic domains. Binding to arabinofuranose (present in arabinoxylan) has been demonstrated.",118.089503100787,-0.100943596151686,0.425652857122469,-0.237150049535888,0.812540385682249,0.968439238444377
"CBM44 The C-terminal CBM44 module of the Clostridium thermocellum enzyme has been demonstrated to bind equally well cellulose and xyloglucan",66.5438260314366,-0.0260958482509383,0.602845378962078,-0.0432877967744692,0.965472118868273,0.997934936377768
"CBM46 Modules of approx. 100 residues, found at the C-terminus of several GH5 cellulases. Cellulose-binding function demonstrated in one case.",5.89615007436409,-1.22794014995791,1.75079178670542,-0.701362754430443,0.483076659638758,0.930784145009184
