"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"...1",361.737651947606,-0.19774025174669,0.642395468351277,-0.307817009130209,0.758221578189584,0.961646879655082
"AA1 Laccase / p-diphenol:oxygen oxidoreductase / ferroxidase (EC 1.10.3.2)",4443.63283355016,0.0599063523303663,0.146988709240098,0.407557509961614,0.683598564308388,0.925706389167608
"AA10 (formerly CBM33) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs)",158.726866730057,-0.758182479409985,0.430814342817012,-1.75988216746076,0.078427787474561,0.425835966822809
"AA12 The pyrroloquinoline quinone-dependent oxidoreductase activity was demonstrated for the CC1G_09525 protein of Coprinopsis cinerea.",204.659575652529,-0.133432228314058,0.156364375384191,-0.853341613051004,0.393469889823928,0.786939779647856
"AA2 manganese peroxidase (EC 1.11.1.13)",3373.09901346387,-0.0387024182288968,0.132227107995677,-0.292696549259493,0.769754107734417,0.964918402270623
"AA3 cellobiose dehydrogenase (EC 1.1.99.18)",5482.62356786666,-0.0267553454929826,0.171142543427941,-0.156333690951881,0.875770001274692,0.985969369207976
"AA4 vanillyl-alcohol oxidase (EC 1.1.3.38)",845.327459044199,0.0913896688805871,0.0882260211866209,1.03585844234406,0.30026818782964,0.748888388427418
"AA5 Oxidase with oxygen as acceptor (EC 1.1.3.-)",624.512816796891,0.0478036151903933,0.213259353357487,0.224157179686557,0.822635001320193,0.985969369207976
"AA6 1,4-benzoquinone reductase (EC. 1.6.5.6)",456.304538784458,0.860110386878476,0.323773957048669,2.65651504129218,0.00789529287786702,0.15790585755734
"AA7 glucooligosaccharide oxidase (EC 1.1.3.-)",2918.08422154889,-0.194163641842165,0.21783679682995,-0.891326188539832,0.372754203061216,0.769651111185487
"CBM11 Modules of approx. 180-200 residues. The CBM11 of Clotridium thermocellum Cel26A-Cel5E has been shown to bind both beta-1,4-glucan and beta-1,3-1,4-mixed linked glucans.",47.511314371466,-0.244239916037142,0.345108282910168,-0.707719658240476,0.47911936713539,0.836047217820143
"CBM13 Modules of approx. 150 residues which always appear as a threefold internal repeat. The only apparent exception to this, xylanase II of Actinomadura sp. FC7 (GenBank U08894), is in fact not completely sequenced. These modules were first identified in several plant lectins such as ricin or agglutinin of Ricinus communis which bind galactose residues. The three-dimensional structure of a plant lectin has been determined and displays a pseudo-threefold symmetry in accord with the observed sequence threefold repeat. These modules have since been found in a number of other proteins of various functions including glycoside hydrolases and glycosyltransferases. While in the plant lectins this module binds mannose, binding to xylan has been demonstrated in the Streptomyces lividans xylanase A and arabinofuranosidase B. Binding to GalNAc has been shown for the corresponding module of GalNAc transferase 4. For the other proteins, the binding specificity of these modules has not been established. The pseudo three-fold symmetry of the CBM13 module has now been confirmed in the 3-D structure of the intact, two-domain, xylanase of Streptomyces olivaceoviridis.",2069.5171453071,-0.910766589004415,0.352619852807837,-2.5828568123779,0.00979859807596316,0.169842366650028
"CBM16 Carbohydrate-binding module 16. Binding to cellulose and glucomannan demonstrated [B. Bae et al (2008) J Biol Chem. 283:12415-25 (PMID: 18025086)]",77.6554970434612,-0.394799783479689,0.312598365917799,-1.26296176347738,0.206602921477157,0.697765051347262
"CBM2 Modules of approx. 100 residues and which are found in a large number of bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. Several of these modules have been shown to also bind chitin or xylan.",2094.06622306815,-0.964811610494053,0.379255796152543,-2.54396009311349,0.0109603605822019,0.17810585946078
"CBM20 The granular starch-binding function has been demonstrated in several cases. Interact strongly with cyclodextrins. Often designated as starch-binding domains (SBD).",111.13770815963,-0.0117995464874956,0.298942972837371,-0.0394708943164042,0.968514958397342,0.985969369207976
"CBM22 A xylan binding function has been demonstrated in several cases and affinity with mixed beta-1,3/beta-1,4-glucans in one. In several cases a thermostabilizing effect has also been seen.",161.248245606083,0.614685202461901,0.424522277191397,1.44794569210503,0.147632239502373,0.599755972978391
"CBM23 Mannan-binding function demonstrated in one case.",16.9712095345268,1.27208592183368,0.792529485694054,1.60509601825054,0.108472675442127,0.503623135981305
"CBM3 Modules of approx. 150 residues found in bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. In one instance binding to chitin has been reported.",9.48445482067373,-0.494196014543299,0.583726300926231,-0.846622832925517,0.397205382974232,0.788346561628248
