"","P16_x100_t72","P16_x100_t48","P16_x100_t3","P16_x100_t24","P16_x100_t168","P14_x100_t72","P14_x100_t48","P14_x100_t3","P14_x100_t24","P14_x100_t168","P13_x50_t72","P13_x50_t48","P13_x50_t3","P13_x50_t24","P13_x50_t168","P10_x50_t72","P10_x50_t48","P10_x50_t3","P10_x50_t24","P10_x50_t168","P09_x50_t72","P09_x50_t48","P09_x50_t3","P09_x50_t24","P09_x50_t168","P08_x100_t72","P08_x100_t48","P08_x100_t24","P08_x100_t168","P04_x50_t72","P04_x50_t48","P04_x50_t3","P04_x50_t24","P04_x50_t168","P03_x100_t72","P03_x100_t48","P03_x100_t3","P03_x100_t24","P03_x100_t168"
"...1",9.2342088964529,9.21388812127251,5.7457495155582,6.56476854066299,10.1152305021105,9.34464087499067,8.77132329690867,3.72473665077607,7.52162517455346,9.24366926559885,7.71815173904688,7.41007659704649,4.41635207908855,3.72473665077607,8.6425587513379,9.07484496823468,8.75184895366929,4.80434664697008,7.32587807470626,9.73801877190281,10.013176497375,7.75632954243436,4.7163226018265,6.30150301195099,10.1444919816286,9.52046878841576,8.65873859878656,7.29557060309878,10.2793735509952,9.2301088499016,8.26378364652173,4.59251269707887,5.95194576811038,9.36021923164048,8.21706920348816,8.02532991998404,3.72473665077607,6.62018454744283,9.04713845719533
"AA1 Laccase / p-diphenol:oxygen oxidoreductase / ferroxidase (EC 1.10.3.2)",12.0317297293619,11.8616520501395,11.9110145537081,12.0181354402835,11.3995276950727,12.0818186754172,12.3717854471644,13.3731277202274,11.8180148072219,12.1107945191479,11.9479173913721,11.4244916686224,12.1524900472607,11.844816487162,11.4505719975186,11.9971550478181,11.797280732815,12.1942678850167,11.7482426751227,12.032922090289,12.1915159658156,11.7217752046313,12.5927982301565,12.0910453906776,11.9458841993448,11.5308239538937,11.8879679858696,12.2090527289134,11.592250235689,12.5161231162748,11.9855250332676,12.7449344948225,12.5876912813627,12.0548938972683,12.1534774516615,12.1186152572003,12.7197846223471,12.5338528605162,11.8813558964435
"AA10 (formerly CBM33) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs)",7.14183068008422,7.26954303662152,5.30092877156922,5.98872580050565,8.26338081379107,7.99607794806092,7.41677945831073,5.34228125556834,6.49810773163091,8.81412896433357,8.20252118477932,7.98801266707978,5.348102307794,6.72080957688338,9.4753656007977,8.42892424845189,7.86495874737906,5.16944218707634,7.2933235360298,8.92459311768709,7.72120460892188,6.6437665899258,4.7163226018265,5.69169924660335,8.3851671349407,7.49502201582612,6.65242511606038,6.0216972909087,7.83651559542513,6.81159203837412,7.37619326608517,5.39219613929636,5.35266945762947,8.43639916921877,7.63004586715863,7.6496023761714,5.69916837326018,5.45240346805614,8.08334266505979
"AA12 The pyrroloquinoline quinone-dependent oxidoreductase activity was demonstrated for the CC1G_09525 protein of Coprinopsis cinerea.",8.27577175529236,8.30190031015961,7.04195727457727,7.79136634103808,8.36055326361966,7.86174877609178,7.74629931512217,7.41976474471044,7.53848044996658,8.23125530057227,8.17012398815126,8.08381860407855,7.35037644700151,8.00328583618035,8.15264201311703,7.90735596328568,7.73288038972423,7.54895946981741,7.31201723568699,8.45806837952873,8.20917552836768,8.0055856121173,7.44082667810215,7.61795142814627,8.21348728832259,8.07974109884383,7.51212303651925,7.84879175386434,7.8752643264277,8.07747267398298,7.60635357109698,6.85955998374996,7.39109264134696,8.04593912445228,8.17873572945863,7.45088659369468,6.77150433890063,7.51765634252651,7.93795667108321
"AA2 manganese peroxidase (EC 1.11.1.13)",11.4947807889935,11.427879763485,12.0677310268725,11.110149973647,11.0933890451782,11.8659542974749,11.591273858717,12.4799939265963,12.0883370721661,11.6552971045056,11.5327750423463,11.5395239535289,12.2111476453703,12.1273413192539,11.4496086509374,11.4437737706905,11.2829381804839,12.0096786666004,11.5398688040807,11.5949266430863,11.6900485204311,11.8387289239939,12.4849564475981,11.6803399614145,11.4287954645292,11.3129960867088,11.4286212836674,11.6195340107684,11.3236326982964,11.6699401888911,11.3737268885005,12.3359626897496,11.9264174145734,11.4143722037977,11.6104227547303,11.6472499317061,12.308049191311,11.6100990588851,11.4160371732813
"AA3 cellobiose dehydrogenase (EC 1.1.99.18)",12.8020285901873,13.2917454810494,11.309688208626,12.220403445276,12.4076882894637,12.424650150467,12.4328352287667,11.7898678831481,12.2260386601575,12.5935561893214,12.2532842399543,12.6655094817449,11.3874489372769,12.0022530352259,12.5260358214789,12.5700383628682,12.8825419532369,11.4651883171743,12.0790930618188,12.7889959202799,12.6645808641418,12.4360132730507,11.5837559422425,11.9319935028779,12.5887910367289,12.3290621540255,12.9909708915199,12.0377048561393,12.5923024984696,12.9297990408221,12.8737838641829,11.4852479973493,12.2483714522782,12.5928761555987,12.6352338903686,13.1582329976889,11.337361995486,12.2608997455426,12.6488831052953
"AA4 vanillyl-alcohol oxidase (EC 1.1.3.38)",9.64808993254737,9.55956862207253,9.87394332312427,10.2201463782883,9.57658751366146,9.82451618102471,9.65340685408433,10.2098950682757,9.89295289652605,10.0454216313869,9.61371161404631,9.50221948332944,9.97729794154038,9.55906266456784,9.37742033356457,9.5042298009769,9.4490396003127,10.0007428122017,9.75434325556966,9.71846027017991,9.88630771244539,9.82844476211399,9.75872023810903,9.96137872396773,9.41455892669242,9.61214554337874,9.65628072318027,9.95023460228091,9.38103740848077,9.92968102890518,9.77227574507522,9.95297471231116,10.1045252954124,9.50047829232328,9.74306448162926,9.67200795388613,9.71292138586477,9.98246028146138,9.46537746572676
"AA5 Oxidase with oxygen as acceptor (EC 1.1.3.-)",9.47635904490613,9.71332550070412,8.23990406762521,8.09506767828816,9.75076842357147,9.40553826138694,9.72955446887593,8.35568426013988,9.70764492438359,10.3571748845954,9.2118597436111,9.23703915693954,8.13607637612492,9.4929460960875,9.83547614753426,9.34705247197806,9.56706950678906,7.4421207466144,9.13287990025949,10.0052175530657,9.30021077988462,9.43580093685539,8.32350286199469,8.78361883110063,9.85162762780988,9.47499011708702,9.46874639231052,9.37599776853964,9.87882742194426,9.22598192740889,9.49658789664983,8.57321789025391,8.57790855872228,9.88111524101227,9.0119289815431,9.33967958512312,8.61658889743461,8.68654804190978,10.0609468204037
"AA6 1,4-benzoquinone reductase (EC. 1.6.5.6)",8.27577175529236,7.63941550054568,9.642012780356,11.2249867616792,7.79158491969268,7.24199922743941,7.86396029734156,7.94811457018291,8.07292939720188,7.93926886628461,8.32526595154947,7.59361928877119,8.71198326311753,9.98226694385395,8.18083845429333,7.50010229790995,7.94120949829173,8.24246015230678,9.23737903786257,8.14246127213922,8.54646721593711,7.92853781739951,9.97127029421423,9.31088854333539,7.92185086584023,7.82534463871761,8.34363321151591,9.96923822543189,8.03529724343636,8.04966697523517,7.99704636354108,8.93132283387866,10.5264348940147,7.88799996325776,8.56855754317133,8.06970928751917,9.43583574085024,10.2998784184506,7.95425727314607
"AA7 glucooligosaccharide oxidase (EC 1.1.3.-)",11.6833999403491,11.294781290455,10.0939484605719,10.0266497121548,12.0547874356759,11.9330978314971,11.6926230320789,10.9878107037599,11.5629575837436,12.3180573411777,11.4515959900584,11.323177210194,10.3364769600608,11.0284277099872,12.0387096076636,11.5832075000751,11.4425679615553,10.1559297654411,10.9251678310272,12.2035974816464,11.8061784857053,11.7594212190525,10.5230979782299,11.2702941446733,12.28730008096,11.5106882623419,11.2101300499794,10.9511840414118,12.3669323108142,11.7169921721607,11.9139444938531,10.6449547041095,11.0238876522524,12.536678276954,11.5289306758886,11.267176129174,10.3894391675105,10.6607183689884,12.2543979188165
