"","P16_x100_t72","P16_x100_t48","P16_x100_t3","P16_x100_t24","P16_x100_t168","P16_x100_t0","P14_x100_t72","P14_x100_t48","P14_x100_t3","P14_x100_t24","P14_x100_t168","P14_x100_t0","P13_x50_t72","P13_x50_t48","P13_x50_t3","P13_x50_t24","P13_x50_t168","P13_x50_t0","P10_x50_t72","P10_x50_t48","P10_x50_t3","P10_x50_t24","P10_x50_t168","P10_x50_t0","P09_x50_t72","P09_x50_t48","P09_x50_t3","P09_x50_t24","P09_x50_t168","P09_x50_t0","P08_x100_t72","P08_x100_t48","P08_x100_t24","P08_x100_t168","P08_x100_t0","P04_x50_t72","P04_x50_t48","P04_x50_t3","P04_x50_t24","P04_x50_t168","P03_x100_t72","P03_x100_t48","P03_x100_t3","P03_x100_t24","P03_x100_t168","P03_x100_t0"
"...1",8.70501224069069,8.67352240717851,5.43858672446993,6.19651391421,9.68501570080399,6.51162524618277,8.85504619122768,8.19417279165292,3.96892073334278,7.03701039099351,8.71257743410511,3.96892073334278,7.3413986913191,7.03768921020369,4.46474320680822,3.96892073334278,8.26268908428662,5.48360956837399,8.57364115539868,8.2351173322972,4.76920593147598,6.90699690973159,9.24589535453721,5.2635437573542,9.43475194670044,7.2426959724206,4.63355255409206,5.8762333456523,9.55856831160744,5.51424877884186,9.03680082713876,8.18824641569435,6.81172295775286,9.74667708379539,6.67098072175453,8.62079770450625,7.79979063310835,4.57997744119734,5.70798772824129,8.88246090627148,7.8010878098993,7.60634020824526,3.96892073334278,6.22408672115428,8.57085327652148,6.31704668837604
"AA1 Laccase / p-diphenol:oxygen oxidoreductase / ferroxidase (EC 1.10.3.2)",11.4631519012962,11.2813588146473,11.1377313669933,11.3984739353991,10.957155745648,9.87486039280984,11.5584470467619,11.7308580778981,12.6782326531001,11.1912989596453,11.5401377576425,10.7196505313453,11.4715575971789,10.92878273818,11.4310102253667,11.1879577795195,11.0248786531975,10.284702534963,11.4532887164579,11.2246398877905,11.551431314484,11.1824709445631,11.516768351749,10.3422289682234,11.5907266334362,11.0848494374083,11.6593365215783,11.3096218201332,11.3410971070879,10.4952036575583,11.0211398564823,11.3613685996102,11.5527241182388,11.0463960867549,10.4940715467397,11.8595869126193,11.444978113049,11.9610471971524,12.0143497314059,11.5445947625313,11.6641502779026,11.6140389403306,11.9380091846834,11.881528139111,11.3638296772707,10.4377219092019
"AA10 (formerly CBM33) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs)",6.73983107476171,6.84525371062085,5.09940290054878,5.71191578672992,7.88343592737226,7.12024186887261,7.56256305856215,6.93305965965826,5.16343743359356,6.13414913461048,8.2981156344769,7.75942391606317,7.79791459309228,7.57575313668766,5.15567492312084,6.3052130188611,9.07263153848913,8.14224756490137,7.95364560875537,7.39700789209992,5.04821697033404,6.87748511234692,8.4542857912819,6.09078658633822,7.24222264615953,6.25180728016008,4.63355255409206,5.39349562407374,7.85783810318093,5.51424877884186,7.10519681316266,6.33454442455331,5.719465850753,7.39205491965162,6.26269652574992,6.38618065286791,6.97352376090286,5.16558830939914,5.21963641273852,7.99094746282868,7.2492509046539,7.25477998562217,5.40057599385098,5.26554072250578,7.64894262431152,3.96892073334278
"AA12 The pyrroloquinoline quinone-dependent oxidoreductase activity was demonstrated for the CC1G_09525 protein of Coprinopsis cinerea.",7.78671388378039,7.80034516524816,6.50108126866202,7.29063433288842,7.97629867945644,9.28940538545294,7.43667495421687,7.23303294916055,6.89634318373173,7.05233766206828,7.7431887432244,9.28857818441057,7.76714807181062,7.66610506646044,6.81059954601415,7.45456143170703,7.79287192420556,9.12990858252876,7.4616678993721,7.27454995048919,7.05061576186487,6.89442545168159,8.00630672264468,8.71980774950245,7.69647891179643,7.47294650472586,6.7312524149114,7.00227826661355,7.69600816346332,8.95120395860804,7.65068343185542,7.10888483561819,7.31395586322636,7.42816974411277,8.3867026605211,7.52655911196964,7.18482070114474,6.34062777617439,6.96322518404533,7.62060763299537,7.76470896174038,7.07100740682816,6.26738659587981,7.01583909189031,7.51221265667417,8.25319887942536
"AA2 manganese peroxidase (EC 1.11.1.13)",10.9292942869768,10.8503434275125,11.2934060505902,10.4970395192788,10.6530410464377,11.8138197619481,11.3435771354865,10.9546948505455,11.7879156628731,11.460127429392,11.0870598353123,12.4757402355739,11.058491828054,11.0431040727227,11.489350463234,11.4688853049413,11.0239206719079,12.0437268162247,10.9030607526666,10.7137720720605,11.3677827085917,10.9753894613395,11.0810036033897,12.1463115633098,11.0919453973432,11.2010647489302,11.552097725822,10.9018823670425,10.827328549663,12.3322234180472,10.8047476261495,10.9046732757262,10.9667103974172,10.7796131250884,12.1916942024207,11.0178809513662,10.8367499852357,11.5539614718223,11.3558113423313,10.9074963561714,11.1236202542868,11.1449191306168,11.5282022289996,10.962713932246,10.9011740565359,12.4491209119459
"AA3 cellobiose dehydrogenase (EC 1.1.99.18)",12.2305979928929,12.7064722851134,10.5416107453524,11.59975717189,11.9609816243159,10.7097035525073,11.8999722841684,11.7916557656716,11.1015113744212,11.5971678104981,12.0210382895788,10.949625392958,11.7757322982011,12.164422829791,10.6715115265014,11.3444663853919,12.0961019214129,11.0564664928601,12.0239497640575,12.3055797871473,10.8268683548477,11.5116118505228,12.2702645476426,10.8851369117253,12.0619770384069,11.7953744820145,10.6581160159274,11.1516213134961,11.9812182958494,11.2531653412716,11.8156149893552,12.4605673090767,11.3822540776128,12.0419378186624,11.3896643242751,12.2718562247697,12.3301086800477,10.7093438621265,11.6762791112467,12.0806600597736,12.1443318480191,12.6506563602394,10.5649108772754,11.609725918551,12.128453885312,10.8932188010806
"AA4 vanillyl-alcohol oxidase (EC 1.1.3.38)",9.10773068476319,9.009368538451,9.13123637495502,9.61879836133725,9.15549513851272,9.39386179055292,9.32393190152685,9.04540510313306,9.54062012093163,9.29012004277366,9.49516315062091,10.0454899066982,9.16193799697819,9.03170894807961,9.28315201784571,8.9359053111425,8.97679047221235,9.6435811743691,8.99074824353115,8.90867298251122,9.3820132862706,9.21283116487064,9.22673872441275,10.2006655945384,9.31046019604407,9.21665220171797,8.87120120453229,9.20967374769374,8.84547569393791,9.9498208696944,9.1263981488152,9.15522632152712,9.31966333832775,8.86677909537928,9.80528422329346,9.3006498948927,9.2558142815459,9.20228798786708,9.55239651306914,9.01925839411701,9.27706684637345,9.19269192249134,8.97092928786411,9.35638626463423,8.97737449833343,10.2057826698231
"AA5 Oxidase with oxygen as acceptor (EC 1.1.3.-)",8.94027530945075,9.15940491607952,7.57470099609852,7.57253166612352,9.32636719223871,9.09648754509191,8.91435349333854,9.1196128324368,7.75564578047383,9.10914036091838,9.80178428112574,7.67919631137304,8.7695901083018,8.77321254362265,7.52420627178015,8.87171339178867,9.42606097012932,7.85749999149973,8.83768097310582,9.02363580093721,6.9538238020162,8.60812460988418,9.5080888285285,8.97323546852914,8.73944879966812,8.83441768631826,7.51824343670126,8.07751395995776,9.27152014059659,8.21495991896347,8.9924003099598,8.97206387764335,8.76075742898231,9.35303959454921,8.33316788327264,8.61681514975319,8.98640033482888,7.88006911456408,8.07130309462474,9.39194087202102,8.56409272931333,8.86811054998573,7.92257867832231,8.10367430537488,9.56087042835924,7.04920601654445
"AA6 1,4-benzoquinone reductase (EC. 1.6.5.6)",7.78671388378039,7.18237032432257,8.90613562246243,10.6108086489145,7.43642681175545,9.35987740085201,6.86497872637755,7.34133943519376,7.37670156109556,7.54485705944195,7.46923336797698,9.84061517430196,7.91475581383468,7.20718415142898,8.06402350485078,9.348555602529,7.81974516648145,9.20890706131041,7.08437473259701,7.46801661309041,7.69122887079079,8.70932199898607,7.7065453571006,9.71382573316692,8.01540865793865,7.40149700745902,9.07665084294689,8.58020355626332,7.42350176288135,8.21495991896347,7.41180573951078,7.88742518218886,9.3382506192983,7.57791147713933,8.53628674190799,7.50070803451704,7.5484091077777,8.21827358188108,9.96784869081815,7.47218977838186,8.13658208156895,7.64818899450435,8.70307281715871,9.6676677162569,7.52750670213618,9.52089900595103
"AA7 glucooligosaccharide oxidase (EC 1.1.3.-)",11.1166965802451,10.7182672850385,9.34564367912672,9.42891628448923,11.6092726032017,10.8011409425478,11.4103954780746,11.0553404137266,10.306662121281,10.9379273824481,11.7465256626834,11.0079523089803,10.9777921711424,10.8281422007744,9.63472619857808,10.3783514488631,11.6103190592369,10.6554874915302,11.0415846537067,10.8721908533388,9.53411417670444,10.3657619524047,11.686740009151,10.767347187948,11.2073691165219,11.1222513152211,9.61401682740547,10.4957491011643,11.6808822239435,10.7145758834467,11.0011281340454,10.6877651930591,10.3044636279431,11.8173330353839,10.6980076749213,11.0646104285246,11.3737425075109,9.87971512382734,10.4596920632772,12.0246309677524,11.0425944357193,10.7672620676578,9.63076794303552,10.0229298333422,11.7352706149218,11.2182388235567
