"","P16_x100_t72","P16_x100_t48","P16_x100_t3","P16_x100_t24","P16_x100_t168","P14_x100_t72","P14_x100_t48","P14_x100_t3","P14_x100_t24","P14_x100_t168","P13_x50_t72","P13_x50_t48","P13_x50_t3","P13_x50_t24","P13_x50_t168","P10_x50_t72","P10_x50_t48","P10_x50_t3","P10_x50_t24","P10_x50_t168","P09_x50_t72","P09_x50_t48","P09_x50_t3","P09_x50_t24","P09_x50_t168","P08_x100_t72","P08_x100_t48","P08_x100_t24","P08_x100_t168","P04_x50_t72","P04_x50_t48","P04_x50_t3","P04_x50_t24","P04_x50_t168","P03_x100_t72","P03_x100_t48","P03_x100_t3","P03_x100_t24","P03_x100_t168"
"K00001",3.46790205272922,4.16746186952719,4.80717727645373,4.15862306661291,3.46790205272922,4.70022135251831,3.46790205272922,4.17388538063437,5.04280377781472,4.78748281039448,4.39392243217572,4.13474374038043,3.46790205272922,4.48110140504748,4.13670026339014,3.46790205272922,4.40234618704047,4.32321832872754,3.90765112698609,3.99818090600135,5.59171496873571,4.93026543325031,4.45643336198514,5.33600087741488,5.43222199649887,4.3782180984952,4.98305114059748,5.06700237230477,3.91780215451117,4.52618701666977,5.61444529302293,3.46790205272922,4.51155479389486,4.5119017805005,4.5209816817064,4.10044774592717,5.02572753155117,3.92023070226595,4.72504041724582
"K00003",9.43197634620717,9.75651702167415,10.1438376800274,11.4758635049803,9.34633907724123,9.48506137993463,9.53006725294332,10.2031904249647,9.68901362995626,9.18593947228341,9.51087891988712,9.63082533639112,10.2491547381702,9.50571273392186,9.25877608288237,9.60938619573253,9.57700410284134,10.8281418515312,9.69076953043522,9.43708483903922,9.77126007828137,9.7079025835664,9.99175869685834,10.0269973672367,9.23798400005904,9.64769722692357,9.53882580431264,9.75650332048505,9.02784892490449,9.23953201585066,9.88182856306235,10.2901978294696,10.0383283669294,9.46306943623302,9.54215642013307,9.54445345742243,10.1375317128231,10.166601181838,9.24779453470485
"K00004",5.92892304697571,5.33330958559621,7.28699645048536,6.3581404304258,5.79619592721692,5.94962112885526,6.69937807840882,5.2407755169728,6.2746016224748,6.36897099140463,5.96879442351328,6.11460927461401,6.64714679447089,5.90407070429403,5.30798769662947,5.77239879872394,5.69515736731495,6.37010580244657,6.25687952527577,5.3882925476321,4.76383337405309,7.1299397121938,6.44431478977268,7.15937285238312,6.54779055298814,6.47664724337441,6.78625364679207,5.95837680966445,5.50690314163551,6.18832619222108,6.90590344317061,7.6715700487263,6.34150570957686,6.10352234947793,6.11302825421236,5.8997441763605,6.57622288515069,5.60510139583172,5.96978203112249
"K00005",5.53478257675967,4.55870300311051,3.46790205272922,4.64297345026641,5.14765807427382,5.31787363201548,4.03448193324546,4.66803371984036,4.44659220060637,3.46790205272922,4.8980518943144,4.99690151048388,4.64632006815693,4.30067237129348,5.04163175779489,5.01078057695088,5.18542998128173,3.46790205272922,5.1620602864669,5.73015357871371,4.39913382554598,5.05764655273219,4.74550349966141,4.21594127545469,3.46790205272922,4.3782180984952,4.69115265002606,4.08788335996012,5.26579103512071,6.05609355635372,4.80247833138091,4.07242493252753,5.23983650245909,4.5119017805005,5.27718454778857,5.52770272302114,3.46790205272922,4.36189688932093,5.19715513629969
"K00007",4.50523804678207,3.46790205272922,3.46790205272922,3.46790205272922,3.46790205272922,4.5180184251552,3.46790205272922,3.46790205272922,4.44659220060637,3.46790205272922,3.93683450517525,4.54161719131443,3.46790205272922,3.46790205272922,5.52675820381628,4.88658104412339,3.46790205272922,4.07706308337275,4.33758105568836,3.46790205272922,4.39913382554598,3.8082860898629,3.46790205272922,4.21594127545469,5.26641429097803,5.36329817319791,4.4762221398505,3.90796813605718,4.10163076379342,5.11270033952528,4.73078934729668,4.41371575337149,4.21373951626037,5.44369315425753,4.74442912010861,4.7523764409422,3.46790205272922,3.46790205272922,3.46790205272922
"K00008",6.08961636364011,6.15961001506155,5.93275517875869,7.1900480812389,6.52488461900663,6.68686789409383,6.41818742137196,6.57248336492111,6.57853430852095,6.71824254608254,6.37784741549473,6.73889627902161,7.85145566191781,6.75720775207125,7.14045363747685,7.37735942123069,6.82238184793965,8.78890752332124,6.84981022866426,7.62112246275407,6.28216349894524,7.0643130325943,5.66030729399472,6.30633231202666,7.18037840457343,6.76871239238404,6.20838520700001,6.1110624759682,6.82343073793434,7.09650008418556,6.95968058403965,6.76458897990949,6.22730454787235,6.95440728022084,7.13023191367903,7.01401371125715,6.37148245309348,6.80808236439452,6.63197269614437
"K00009",6.54642510786414,5.72740723053043,5.89042306648312,5.5006939671473,5.4770292815958,6.540683120314,5.58815098980356,5.44794315045189,6.74979754570111,5.05909488362178,6.37784741549473,6.62489216984672,4.81706368977242,6.56601642204699,6.10357798615155,6.5701062488346,6.06088269192302,4.32321832872754,5.94443226753357,3.46790205272922,5.86307768332551,5.98908414112656,4.69422177187721,5.8977555750698,6.82435662198067,6.59626190872654,6.41658396026095,5.71364887107815,6.42272677246599,6.30896833210335,6.68382673002977,5.70919957065287,6.03603472239813,6.54592917746986,6.11302825421236,5.98700505183409,5.63977096521639,6.24594743864086,5.88762028788638
"K00010",8.93846500131054,9.41337815397972,10.9347449357503,12.5703895880142,9.40106591537439,8.88111317160655,9.0216077156096,9.97228411244724,8.93683247443969,8.88647421006216,8.71173852378661,8.82972921693271,10.3802155646589,8.44971491232893,8.48977409772404,8.97735765270276,8.97997413020296,10.8423715084354,9.15996198333805,8.16880169016362,9.34320864933697,9.13948813258505,10.4750244838888,9.96686671317975,8.7001569695416,8.87068838077736,9.90562439357668,10.3295318821514,8.61769962482677,10.1947517319866,9.48925795144241,11.5088152211804,11.1705133953387,9.30637916363751,9.64410041243263,9.35741219613239,11.3305493426007,11.6958535429031,9.22909007844999
"K00012",10.9276193221933,11.0964309791347,10.7878886260908,10.8761064100618,11.0897641809867,11.1211084283246,10.9981510536343,11.3632837380362,11.2196720516964,11.2586425574351,11.0042560268403,11.0270160350102,11.1025210321338,11.477514707432,10.869050693214,10.9568971792,11.2699439210464,11.1969680407321,11.2490580969028,10.779369075183,11.249423032058,11.339122213945,11.1634718652834,11.3540376738038,11.1369635208691,11.0204169887792,10.9822973869761,11.15101659586,10.8507072575109,10.8412679623404,10.9637091072179,11.0549269984684,10.9994124788854,10.8647669471229,10.9074981554037,11.0703045416623,11.0849955925641,11.1039820923274,10.9068207214818
"K00013",8.08996176740184,7.81508286350971,9.13241972421845,8.6104364809742,7.9048755465276,8.0853889812125,7.87706238690483,8.57987441710984,8.30383460937865,8.00711875513784,7.95458501675967,8.14560812415552,8.94427720509237,7.73445889384367,8.26387032984372,8.18286256811514,7.51791328487295,8.98131281307438,8.03636676629938,7.69687955618267,8.02391324981081,8.31635484875425,9.32714659373758,8.73870402927987,8.12965441080905,7.85211040239895,7.97562280786673,8.12140218293407,8.01199689796795,8.07581783187402,8.41031563415527,9.14467444814354,8.59306821731124,8.74927407116121,8.26387452564794,8.23139036512974,9.24338414830956,8.38736725211062,8.28775384406526
