"","moist_time","SampleID","plot","moisture","timepoint","CO2_ppm","CO2_ppm_h","copies.ul.total.tube.corr","b.boot.median","d.boot.median","sm_t0","sm_rewet","timepoint.num","b.boot.median.dry","d.boot.median.dry","net.growth.copies.dry.g","dead.copies.total.dry.g","soil.g.dry.vial","soil.g.dry.jar","dry.weight.tube","copies.ul.total.g.dry","headspace.jar","n.headspace.air.2","CO2.moles.headspace","CO2.moles.g.dry","CUE.g.dry","biomass.C.g.dry.g","CO2.g.g.dry","CUE.real.g.dry","CUE.metric"
"1","x100_t168","P03_x100_t168","P03","x100","t168",1817,8.3125,NA,138491655.771798,-172014243.595612,2.3,22.761,168,170013741.542017,-211166405.580409,1190096190.79412,-1478164839.06286,4.07295476576437,8.14590953152874,0.977509143783449,NA,0.488211742057059,0.0217702721667637,3.95565845270097e-05,4.85600587312024e-06,245077172863759,2.38019238158824e-06,5.8320630536174e-05,0.0392118634835137,0.448177914693151
"2","x100_t168","P08_x100_t168","P08","x100","t168",1739,8.072916667,355277504.4,138491655.771798,-172014243.595612,1.7,22.121,168,169127394.945077,-210065514.421397,1183891764.61554,-1470458600.94978,4.09429991565742,8.18859983131484,0.982631979757781,361557034.29027,0.488176166807238,0.021768685800021,3.78557446062365e-05,4.62298138705821e-06,256088369278272,2.36778352923108e-06,5.55220064585691e-05,0.0409015740034655,0.468314327194028
"3","x100_t168","P14_x100_t168","P14","x100","t168",1984,10.29166667,377991936,138491655.771798,-172014243.595612,2.5,23.099,168,170481843.338526,-211747813.723762,1193372903.36968,-1482234696.06634,4.06177141975158,8.12354283950316,0.97482514074038,387753577.7472,0.488230380967081,0.021771103310526,4.31938689680835e-05,5.31712207610211e-06,224439628484987,2.38674580673936e-06,6.38586361339864e-05,0.03602886324778,0.410437591936909
"4","x100_t168","P16_x100_t168","P16","x100","t168",2581,9.333333333,1320416495.2,138491655.771798,-172014243.595612,1.6,21.967,168,168914117.795189,-209800612.48626,1182398824.56632,-1468604287.40382,4.09946952864299,8.19893905728599,0.983872686874318,1342060322.25049,0.488167550785595,0.0217683015955458,5.61839864181036e-05,6.85259227145684e-06,172547669221672,2.36479764913264e-06,8.22996331801967e-05,0.0279314184949724,0.315541646222279
"5","x100_t24","P03_x100_t24","P03","x100","t24",487,14.61904762,NA,185013654.683229,-275936997.72629,2.3,22.761,24,227124612.625679,-338743017.778771,227124612.625679,-338743017.778771,4.07295476576437,8.14590953152874,0.977509143783449,NA,0.488211742057059,0.0217702721667637,1.06021225452139e-05,1.30152716577301e-06,174506240513838,4.54249225251357e-07,1.56313412609338e-05,0.028239511980706,0.319123327809527
"6","x100_t24","P08_x100_t24","P08","x100","t24",533,16.95238095,954709728,185013654.683229,-275936997.72629,1.7,22.121,24,225940525.235706,-336977020.993323,225940525.235706,-336977020.993323,4.09429991565742,8.18859983131484,0.982631979757781,971584222.4424,0.488176166807238,0.021768685800021,1.16027095314112e-05,1.41693449068547e-06,159457283820089,4.51881050471412e-07,1.70173832331324e-05,0.0258672055751961,0.291602975952598
"7","x100_t24","P14_x100_t24","P14","x100","t24",441,12.14285714,491413603.2,185013654.683229,-275936997.72629,2.5,23.099,24,227749958.778508,-339675684.831086,227749958.778508,-339675684.831086,4.06177141975158,8.12354283950316,0.97482514074038,504104359.50264,0.488230380967081,0.021771103310526,9.60105655994195e-06,1.18188046147229e-06,192701348573607,4.55499917557016e-07,1.41943843422823e-05,0.0310923901839764,0.35239711456231
"8","x100_t24","P16_x100_t24","P16","x100","t24",648,20.57142857,845578324.08,185013654.683229,-275936997.72629,1.6,21.967,24,225655604.207494,-336552078.016824,225655604.207494,-336552078.016824,4.09946952864299,8.19893905728599,0.983872686874318,859438762.108878,0.488167550785595,0.0217683015955458,1.41058594339137e-05,1.72044935757615e-06,131160852374875,4.51311208414988e-07,2.06625967844895e-05,0.0213750674942154,0.239856681141928
"9","x100_t3","P08_x100_t3","P08","x100","t3",177,10.33333333,985536000,1685574197.62584,-7832094034.68314,1.7,22.121,3,2058440065.88265,-9564631556.0954,257305008.235331,-1195578944.51192,4.09429991565742,8.18859983131484,0.982631979757781,1002955348.8,0.488176166807238,0.021768685800021,3.85305738660371e-06,4.70539221109432e-07,546830097666802,5.14610016470663e-07,5.65117604552428e-06,0.0834621914053503,1
"10","x100_t3","P16_x100_t3","P16","x100","t3",216,27.33333333,670582000,1685574197.62584,-7832094034.68314,1.6,21.967,3,2055844281.61831,-9552570131.28199,256980535.202289,-1194071266.41025,4.09946952864299,8.19893905728599,0.983872686874318,681573956.616667,0.488167550785595,0.0217683015955458,4.70195314463788e-06,5.73483119192049e-07,448104794373608,5.13961070404577e-07,6.88753226149651e-06,0.0694401855621973,0.819458907411221
