"","genus","time_moisture","b.boot.median","d.boot.median"
"1","g_Acidipila","x100_t72",29870.9155504307,-2946.61759219645
"2","g_Actinoplanes","x100_t48",54298.3582260651,-492012.033533071
"3","g_Adhaeribacter","x100_t168",723484.95815511,-36782.087321121
"4","g_Adhaeribacter","x100_t48",2957987.35871962,-239921.833258795
"5","g_Adhaeribacter","x100_t72",1595936.11823795,-209638.057591164
"6","g_Ammoniphilus","x100_t72",50719.7987475108,-14461.6960606456
"7","g_Amycolatopsis","x100_t168",217667.139979392,-904504.954872933
"8","g_Amycolatopsis","x100_t3",3828999.46798177,-44847853.7574422
"9","g_Amycolatopsis","x100_t48",336300.923063725,-3037258.30730958
"10","g_Amycolatopsis","x100_t72",20099.5979793458,-1991302.24268452
"11","g_Amycolatopsis","x50_t168",132264.360799894,-115780.224004079
"12","g_Amycolatopsis","x50_t48",96185.9192035674,-135478.518561262
"13","g_Anaeromyxobacter","x100_t168",96796.2288121531,-724932.07253969
"14","g_Anaeromyxobacter","x100_t48",255137.799403541,-1174643.77342499
"15","g_Aquisphaera","x100_t168",29248.5672003666,-511386.252238056
"16","g_Aquisphaera","x100_t3",4886991.98848463,-31126251.8275161
"17","g_Aquisphaera","x100_t48",220731.425545014,-1610499.17441302
"18","g_Arenimonas","x100_t24",710093.071844601,-218158.550654545
"19","g_Arthrobacter","x100_t3",5692075.62984896,-14206837.7037722
"20","g_Blastococcus","x100_t168",511391.364622824,-994265.581861949
"21","g_Blastococcus","x100_t3",3217440.45496495,-38150469.0379206
"22","g_Bradyrhizobium","x100_t168",845982.297124932,-1634582.21361883
"23","g_Bradyrhizobium","x100_t3",1140850.73585852,-67100556.7161172
"24","g_Bradyrhizobium","x100_t48",2537810.38518336,-3300314.49858135
"25","g_Bradyrhizobium","x100_t72",565484.204267795,-560850.469978527
"26","g_Candidatus Solibacter","x100_t168",38841.5376163959,-69045.2658575722
"27","g_Caulobacter","x100_t3",271440.975889116,-1871899.655714
"28","g_Cellulomonas","x100_t24",234514.127167251,-108842.89633078
"29","g_Cellulomonas","x100_t48",307877.882625748,-1033013.28510889
"30","g_Cellulomonas","x100_t72",66025.4538500524,-475032.363458197
"31","g_Cellulomonas","x50_t168",98254.7432290945,-142690.343959035
"32","g_Chryseolinea","x100_t168",214441.579932967,-140254.313658001
"33","g_Corynebacterium","x100_t168",1350658.66269962,-826049.612574525
"34","g_Corynebacterium","x100_t24",1030443.58142829,-1389295.04321783
"35","g_Corynebacterium","x100_t3",14779340.877577,-52039007.5387326
"36","g_Corynebacterium","x100_t48",2334651.63665235,-973671.758184705
"37","g_Deinococcus","x100_t168",228197.289567461,-138657.22691263
"38","g_Deinococcus","x100_t3",2030037.98493819,-7183832.79875741
"39","g_Deinococcus","x100_t48",358550.268186526,-500711.04794678
"40","g_Devosia","x100_t168",124499.954277473,-116665.86136747
"41","g_Devosia","x100_t48",128080.503201445,-315036.056399742
"42","g_Dongia","x100_t168",89674.3045063727,-121895.170635841
"43","g_Gaiella","x100_t168",849458.892894311,-11240233.0516259
"44","g_Gaiella","x100_t24",1296183.45544405,-32376339.7507439
"45","g_Gaiella","x100_t3",35125517.6099141,-531764877.703701
"46","g_Gaiella","x100_t48",5861620.89265897,-29126529.6787973
"47","g_Gaiella","x100_t72",77593.9306577732,-15394617.2154672
"48","g_Gaiella","x50_t168",638598.419723247,-490060.299647472
"49","g_Gaiella","x50_t3",5060179.24430161,-7405590.60631828
"50","g_Gaiella","x50_t48",679167.726730318,-460015.737566864
"51","g_Gemmatimonas","x100_t168",1594754.94425105,-1605967.09240475
"52","g_Gemmatimonas","x100_t3",2328607.5357055,-402911.69389111
"53","g_Gemmatimonas","x100_t72",719146.181659721,-121629.405828377
"54","g_Gemmatimonas","x50_t168",862341.637609738,-84909.9787518598
"55","g_Geobacillus","x100_t168",667644.126304172,-645096.011598686
"56","g_Geobacillus","x100_t3",8894133.47524465,-37750565.2278056
"57","g_Geobacillus","x100_t48",1229595.66762559,-2007323.00034288
"58","g_Geobacillus","x100_t72",604299.093828837,-848455.606251615
"59","g_Geobacter","x100_t168",22947.640135457,-1115021.75291571
"60","g_Geobacter","x100_t48",773075.515301926,-1816060.38444639
"61","g_Geodermatophilus","x100_t168",255588.736859387,-107778.60863156
"62","g_Geodermatophilus","x100_t72",444517.984487139,-256887.602371723
"63","g_Gp1","x100_t168",1260584.74339546,-1519714.81992428
"64","g_Gp1","x100_t24",1278413.12798394,-3707299.87313536
"65","g_Gp1","x100_t3",18976466.7198083,-78914838.8090651
"66","g_Gp1","x100_t48",1786171.75836762,-1940270.7184723
"67","g_Gp1","x100_t72",1479492.25253446,-786064.762169133
