"","taxonID","trt.code.2","moisture","taxonomy","type","median"
"1","sip1","t3_18O","50","d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae","b.boot.median",9832489.07239189
"2","sip1","t24_18O","50","d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae","b.boot.median",3873674.24315291
"3","sip1","t72_18O","50","d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae","b.boot.median",2484028.16580947
"4","sip1","t168_18O","50","d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae","b.boot.median",1054032.65456257
"5","sip1","t48_18O","50","d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae","b.boot.median",1535010.94028049
"6","sip1004","t72_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp6;o_Gp6;f_Gp6;g_Gp6","b.boot.median",59731.0569127241
"7","sip1005","t48_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Geodermatophilaceae;g_Modestobacter","b.boot.median",137205.515708716
"8","sip1005","t72_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Geodermatophilaceae;g_Modestobacter","b.boot.median",152902.78436263
"9","sip1005","t24_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Geodermatophilaceae;g_Modestobacter","b.boot.median",160740.489308355
"10","sip1016","t24_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp3;o_Gp3;f_Gp3;g_Gp3","b.boot.median",0
"11","sip1016","t168_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp3;o_Gp3;f_Gp3;g_Gp3","b.boot.median",132101.78272555
"12","sip1016","t72_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp3;o_Gp3;f_Gp3;g_Gp3","b.boot.median",667947.441881327
"13","sip1016","t48_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp3;o_Gp3;f_Gp3;g_Gp3","b.boot.median",257183.665222186
"14","sip1028","t48_18O","50","d_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Adhaeribacter","b.boot.median",891640.055446789
"15","sip1028","t24_18O","50","d_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Adhaeribacter","b.boot.median",2053707.74609473
"16","sip1028","t72_18O","50","d_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Adhaeribacter","b.boot.median",482664.31480086
"17","sip103","t168_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp16;o_Gp16;f_Gp16;g_Gp16","b.boot.median",115670.178467038
"18","sip103","t72_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp16;o_Gp16;f_Gp16;g_Gp16","b.boot.median",0
"19","sip103","t48_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp16;o_Gp16;f_Gp16;g_Gp16","b.boot.median",0
"20","sip1030","t72_18O","50","d_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Chitinophagaceae;g_Segetibacter","b.boot.median",559313.377961391
