"","taxonID","trt.code.2","moisture","taxonomy","b.boot.median","d.boot.median"
"1","sip1","t3_18O","50","d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae",9832489.07239189,-68141.4925500639
"2","sip1","t24_18O","50","d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae",3873674.24315291,0
"3","sip1","t72_18O","50","d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae",2484028.16580947,0
"4","sip1","t168_18O","50","d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae",1054032.65456257,0
"5","sip1","t48_18O","50","d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae",1535010.94028049,0
"6","sip1004","t72_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp6;o_Gp6;f_Gp6;g_Gp6",59731.0569127241,0
"7","sip1005","t48_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Geodermatophilaceae;g_Modestobacter",137205.515708716,0
"8","sip1005","t72_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Geodermatophilaceae;g_Modestobacter",152902.78436263,-44763.1286086531
"9","sip1005","t24_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Geodermatophilaceae;g_Modestobacter",160740.489308355,0
"10","sip1016","t24_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp3;o_Gp3;f_Gp3;g_Gp3",0,0
"11","sip1016","t168_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp3;o_Gp3;f_Gp3;g_Gp3",132101.78272555,0
"12","sip1016","t72_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp3;o_Gp3;f_Gp3;g_Gp3",667947.441881327,0
"13","sip1016","t48_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp3;o_Gp3;f_Gp3;g_Gp3",257183.665222186,0
"14","sip1028","t48_18O","50","d_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Adhaeribacter",891640.055446789,0
"15","sip1028","t24_18O","50","d_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Adhaeribacter",2053707.74609473,0
"16","sip1028","t72_18O","50","d_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Adhaeribacter",482664.31480086,0
"17","sip103","t168_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp16;o_Gp16;f_Gp16;g_Gp16",115670.178467038,0
"18","sip103","t72_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp16;o_Gp16;f_Gp16;g_Gp16",0,0
"19","sip103","t48_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp16;o_Gp16;f_Gp16;g_Gp16",0,0
"20","sip1030","t72_18O","50","d_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Chitinophagaceae;g_Segetibacter",559313.377961391,0
"21","sip1030","t24_18O","50","d_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Chitinophagaceae;g_Segetibacter",471402.64405263,0
"22","sip1030","t48_18O","50","d_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Chitinophagaceae;g_Segetibacter",340921.821954241,0
"23","sip1036","t48_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Gaiellales;f_Gaiellaceae;g_Gaiella",0,0
