"","phylum","time_moisture","b.boot.median","d.boot.median"
"1","p_Acidobacteria","x100_t168",NA,-16781935.4031178
"2","p_Acidobacteria","x100_t24",11107142.4993089,-47784158.304599
"3","p_Acidobacteria","x100_t3",97681162.0194551,-653768572.238075
"4","p_Acidobacteria","x100_t48",21836080.9662638,-31715567.346504
"5","p_Acidobacteria","x100_t72",NA,-17676059.9717637
"6","p_Acidobacteria","x50_t168",4058463.81163657,-852482.073166777
"7","p_Acidobacteria","x50_t24",6988617.07345952,-275859.781989786
"8","p_Acidobacteria","x50_t3",5790049.04575393,-12842826.1510154
"9","p_Acidobacteria","x50_t48",2875012.36611307,-900866.872474951
"10","p_Acidobacteria","x50_t72",6958307.27256927,-278651.170807144
"11","p_Actinobacteria","x100_t168",12573030.0188017,-49424701.3413221
"12","p_Actinobacteria","x100_t24",15954047.7799349,-129351137.047871
"13","p_Actinobacteria","x100_t3",250615837.397444,-2292116991.09403
"14","p_Actinobacteria","x100_t48",42652136.1751719,-127022257.098118
"15","p_Actinobacteria","x100_t72",16241401.5347283,-71285952.0999507
"16","p_Actinobacteria","x50_t168",6599897.9283324,-4167097.58099031
"17","p_Actinobacteria","x50_t24",24954704.2200579,-1611571.20531943
"18","p_Actinobacteria","x50_t3",36012715.5468447,-73272528.7915816
"19","p_Actinobacteria","x50_t48",11462953.9013979,-3371445.15559841
"20","p_Actinobacteria","x50_t72",16100986.8280709,-788400.05144438
"21","p_Bacteroidetes","x100_t168",9004600.72908033,-3824234.87215499
"22","p_Bacteroidetes","x100_t24",9370569.88287451,-8513626.17689105
"23","p_Bacteroidetes","x100_t3",77942513.6810432,-239420220.521489
"24","p_Bacteroidetes","x100_t48",17500851.2148187,-8684240.55085208
"25","p_Bacteroidetes","x100_t72",12914973.0859835,-594015.003939627
"26","p_Bacteroidetes","x50_t168",2769299.92988733,0
"27","p_Bacteroidetes","x50_t24",10688564.2359367,0
"28","p_Bacteroidetes","x50_t3",676964.180678805,0
"29","p_Bacteroidetes","x50_t48",5573735.019022,0
"30","p_Bacteroidetes","x50_t72",5905696.86202539,0
"31","p_Chloroflexi","x100_t168",257416.025729286,-191287.748158419
"32","p_Chloroflexi","x100_t24",54620.3140168974,-191098.256370523
"33","p_Chloroflexi","x100_t3",4495148.03603854,-6577842.54751708
"34","p_Chloroflexi","x100_t48",1424883.22313879,-1160442.40099764
"35","p_Chloroflexi","x100_t72",322224.791185676,-372688.226907312
"36","p_Chloroflexi","x50_t168",12806.7505890102,-29991.2194819267
"37","p_Chloroflexi","x50_t24",39650.1093724153,0
"38","p_Chloroflexi","x50_t3",0,-1210626.54668969
"39","p_Chloroflexi","x50_t48",51380.1603544764,0
"40","p_Chloroflexi","x50_t72",0,0
"41","p_Deinococcus-Thermus","x100_t168",758313.19729614,-989410.663646448
"42","p_Deinococcus-Thermus","x100_t24",1018827.4874869,-2378229.1459008
"43","p_Deinococcus-Thermus","x100_t3",9342774.51999011,-50628441.1703929
"44","p_Deinococcus-Thermus","x100_t48",1577198.57370092,-2251967.34196595
"45","p_Deinococcus-Thermus","x100_t72",1065226.52291469,-904639.95249038
"46","p_Deinococcus-Thermus","x50_t168",185039.379164096,0
"47","p_Deinococcus-Thermus","x50_t24",543838.74399224,0
"48","p_Deinococcus-Thermus","x50_t3",0,0
"49","p_Deinococcus-Thermus","x50_t48",132516.075340286,0
"50","p_Deinococcus-Thermus","x50_t72",300402.726476311,0
"51","p_Firmicutes","x100_t168",13101288.3048089,-13459268.3861179
"52","p_Firmicutes","x100_t24",78648025.6171313,-7420155.1875101
"53","p_Firmicutes","x100_t3",359156354.766362,-548665488.659328
"54","p_Firmicutes","x100_t48",82894885.1646554,-11434744.3289973
"55","p_Firmicutes","x100_t72",35884941.4107508,-5472910.09955101
"56","p_Firmicutes","x50_t168",6033402.58958707,0
"57","p_Firmicutes","x50_t24",60647969.3142103,0
"58","p_Firmicutes","x50_t3",76179201.1624849,0
"59","p_Firmicutes","x50_t48",16070900.574652,0
"60","p_Firmicutes","x50_t72",21441210.3577609,0
"61","p_Gemmatimonadetes","x100_t168",1594754.94425105,-1605967.09240475
"62","p_Gemmatimonadetes","x100_t24",241322.935719031,0
"63","p_Gemmatimonadetes","x100_t3",2328607.5357055,-402911.69389111
"64","p_Gemmatimonadetes","x100_t48",1059317.20126706,0
"65","p_Gemmatimonadetes","x100_t72",719146.181659721,-121629.405828377
"66","p_Gemmatimonadetes","x50_t168",862341.637609738,-84909.9787518598
"67","p_Gemmatimonadetes","x50_t24",1151787.57907386,0
"68","p_Gemmatimonadetes","x50_t3",3098572.73096955,0
"69","p_Gemmatimonadetes","x50_t48",840155.032903226,0
"70","p_Gemmatimonadetes","x50_t72",615206.935319475,0
"71","p_Nitrospirae","x100_t168",5019.57870792681,-186503.156136926
"72","p_Nitrospirae","x100_t24",79021.7042390919,0
"73","p_Nitrospirae","x100_t3",109471.585883518,-7761770.30982003
"74","p_Nitrospirae","x100_t48",165873.221456643,-452974.446808772
"75","p_Nitrospirae","x100_t72",73082.3990504106,-158049.148067879
"76","p_Nitrospirae","x50_t168",8850.5075505968,0
"77","p_Nitrospirae","x50_t24",19263.9932574003,0
"78","p_Nitrospirae","x50_t3",229578.253713114,0
"79","p_Nitrospirae","x50_t48",65611.4802340486,0
"80","p_Nitrospirae","x50_t72",12435.1181104364,0
"81","p_Planctomycetes","x100_t168",413066.059333874,-1671497.76789473
"82","p_Planctomycetes","x100_t24",237793.706637088,-4618089.92683595
"83","p_Planctomycetes","x100_t3",9717059.3081042,-42302026.6408685
"84","p_Planctomycetes","x100_t48",815246.156582377,-3867248.99181698
"85","p_Planctomycetes","x100_t72",259706.864716424,-2895385.21218763
"86","p_Planctomycetes","x50_t168",135474.448926528,-63747.3722769602
"87","p_Planctomycetes","x50_t24",338816.402108853,0
"88","p_Planctomycetes","x50_t3",0,0
"89","p_Planctomycetes","x50_t48",241107.272171073,-249805.307921087
"90","p_Planctomycetes","x50_t72",259002.727913441,0
"91","p_Proteobacteria","x100_t168",82849133.4030897,-68510779.3209269
"92","p_Proteobacteria","x100_t24",63257524.3559052,-41766364.8168716
"93","p_Proteobacteria","x100_t3",773072229.816253,-3336461843.56983
"94","p_Proteobacteria","x100_t48",202278820.242925,-97960441.5093354
"95","p_Proteobacteria","x100_t72",122654552.117131,-17369324.6549776
