"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K00001",4.18108908534331,1.85736551700614,1.43185898154607,1.29717069972954,0.194572459803891,0.999431561618104
"K00003",992.282102363007,-0.239351906808706,0.264845818656704,-0.90374055374065,0.366132989909889,0.999431561618104
"K00004",71.1383533089829,-0.384984804106972,0.629389941359067,-0.611679308499368,0.540749954409895,0.999431561618104
"K00005",3.13097682804108,-0.767930883059216,1.88648319152619,-0.40707009026566,0.683956510232075,0.999431561618104
"K00007",0.804681605367595,-2.58174776390948,3.55555850425968,-0.726115956414851,0.46776768792744,0.999431561618104
"K00008",107.954702124817,-1.69142185577005,0.70492526368212,-2.39943429880077,0.0164204262808728,0.999431561618104
"K00009",17.1055682448568,1.15544185153133,0.756610046376574,1.52712993577705,0.126728704328761,0.999431561618104
"K00010",1483.37505486904,-0.0503364756968066,0.390353656170397,-0.128950952299608,0.897396459087764,0.999431561618104
"K00012",1775.12185143768,-0.0522581641345337,0.214700432003233,-0.243400367884434,0.807695258845871,0.999431561618104
"K00013",414.896908458467,-0.123418222508863,0.252923770351342,-0.487966086925794,0.625573862481794,0.999431561618104
"K00014",221.946374483285,0.24520459318069,0.323777735520643,0.757323825204952,0.448855880443116,0.999431561618104
"K00015",186.936867447172,-0.212978373341602,0.307844103760747,-0.691838403723745,0.489038816289538,0.999431561618104
"K00016",69.8577060358223,0.0609967956697454,0.60268538085592,0.101208354486912,0.919385064853228,0.999431561618104
"K00018",15.865342583837,0.347389128465008,0.793434598409193,0.43782956926949,0.661509834290808,0.999431561618104
"K00019",575.178343912334,-0.0486736594603129,0.216193982012811,-0.225138826747863,0.821871276850567,0.999431561618104
"K00020",201.066661513153,-0.175140315217186,0.257134713644086,-0.68112279643272,0.495793793614006,0.999431561618104
"K00021",115.352599363514,-0.075882585354664,0.439905089504407,-0.172497629977759,0.863046324438354,0.999431561618104
"K00023",482.670032209338,-0.0348072730068264,0.194254603927083,-0.179183773785315,0.857793404175156,0.999431561618104
"K00024",1367.31982018765,-0.0444808193791434,0.224768385119313,-0.197896244863493,0.843126242242646,0.999431561618104
"K00027",1169.51358172813,0.126138362429607,0.389109757924438,0.324171676142088,0.745808064363007,0.999431561618104
"K00029",474.374077040317,0.0917316324464094,0.20588678821559,0.44554404506206,0.655926637183724,0.999431561618104
"K00030",137.381516198242,0.0855372648958955,0.33256060278406,0.257208052246155,0.797018168280558,0.999431561618104
"K00031",4244.20256029357,-0.261669593563679,0.264050356207836,-0.990983679483156,0.32169354958854,0.999431561618104
"K00032",2.5407481925955,0.219235474290108,2.01880879554745,0.108596452905119,0.913522574287523,0.999431561618104
"K00033",1708.67581031314,0.0934793599263947,0.28646989141322,0.326314781163354,0.744186206016478,0.999431561618104
"K00034",121.307057944649,0.0249036691176261,0.40812358569978,0.0610199213920105,0.95134334364077,0.999431561618104
