"","KO","VIP","coefficient","VIP_signed","Metabolism","Pathway","Subpathway","Level1","Level2","Level3","Level4"
"1","K17662",3.44878844992558,-0.000888796220021221,-3.44878844992558,NA,NA,NA," 09180 Brite Hierarchies","  09182 Protein families: genetic information processing","   03029 Mitochondrial biogenesis","    K17662  CBP3, UQCC; cytochrome b pre-mRNA-processing protein 3"
"2","K00008",3.33580666425479,-0.000859679390881523,-3.33580666425479,NA,NA,NA," 09100 Metabolism","  09101 Carbohydrate metabolism","   00040 Pentose and glucuronate interconversions","    K00008  SORD, gutB; L-iditol 2-dehydrogenase"
"3","K12503",3.26229178756246,-0.000840733681259677,-3.26229178756246,NA,NA,NA," 09100 Metabolism","  09109 Metabolism of terpenoids and polyketides","   00900 Terpenoid backbone biosynthesis","    K12503  E2.5.1.68; short-chain Z-isoprenyl diphosphate synthase"
"4","K01808",3.24140884104935,-0.000835351882928684,-3.24140884104935,"Energy","Central metabolism","Central C metabolism: PPP"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00030 Pentose phosphate pathway","    K01808  rpiB; ribose 5-phosphate isomerase B"
"5","K01779",3.1849618234773,-0.000820804775566794,-3.1849618234773,"Degradation","Amino acid degradation","Amino acid degradation: Alanine/aspartate/asparagine/glutamate/glutamine"," 09100 Metabolism","  09105 Amino acid metabolism","   00250 Alanine, aspartate and glutamate metabolism","    K01779  racD; aspartate racemase"
"6","K22319",3.17008080946647,-0.000816969750834213,-3.17008080946647,NA,NA,NA," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K22319  oleC; olefin beta-lactone synthetase"
"7","K04793",2.97253017447938,-0.00076605846410594,-2.97253017447938,NA,NA,NA," 09100 Metabolism","  09109 Metabolism of terpenoids and polyketides","   01053 Biosynthesis of siderophore group nonribosomal peptides","    K04793  mbtG; mycobactin lysine-N-oxygenase"
"8","K13599",2.9273501076999,-0.000754414991867225,-2.9273501076999,NA,NA,NA," 09130 Environmental Information Processing","  09132 Signal transduction","   02020 Two-component system","    K13599  ntrX; two-component system, NtrC family, nitrogen regulation response regulator NtrX"
"9","K15629",2.8119753099258,-0.000724681453369221,-2.8119753099258,NA,NA,NA," 09180 Brite Hierarchies","  09181 Protein families: metabolism","   00199 Cytochrome P450","    K15629  CYP152A; fatty-acid peroxygenase"
"10","K02030",2.80901137855551,-0.000723917610925255,-2.80901137855551,NA,NA,NA," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   02000 Transporters","    K02030  ABC.PA.S; polar amino acid transport system substrate-binding protein"
"11","K00647",2.80293758325191,-0.000722352317377851,-2.80293758325191,"Biosynthesis","Lipid biosynthesis","Lipid biosynthesis: Fatty acid"," 09100 Metabolism","  09103 Lipid metabolism","   00061 Fatty acid biosynthesis","    K00647  fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I"
"12","K15510",2.79180461873554,-0.000719483212205572,-2.79180461873554,NA,NA,NA," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K15510  fgd1; coenzyme F420-dependent glucose-6-phosphate dehydrogenase"
"13","K00854",2.63956800889532,-0.000680249920474455,-2.63956800889532,NA,NA,NA," 09100 Metabolism","  09101 Carbohydrate metabolism","   00040 Pentose and glucuronate interconversions","    K00854  xylB, XYLB; xylulokinase"
"14","K00158",2.63403855080136,-0.000678824909481747,-2.63403855080136,NA,NA,NA," 09100 Metabolism","  09101 Carbohydrate metabolism","   00620 Pyruvate metabolism","    K00158  spxB, poxL; pyruvate oxidase"
"15","K01776",2.62200354902809,-0.00067572333794747,-2.62200354902809,NA,NA,NA," 09100 Metabolism","  09106 Metabolism of other amino acids","   00470 D-Amino acid metabolism","    K01776  murI; glutamate racemase"
"16","K02398",2.60082768419466,-0.000670266050876109,-2.60082768419466,NA,NA,NA," 09130 Environmental Information Processing","  09132 Signal transduction","   02020 Two-component system","    K02398  flgM; negative regulator of flagellin synthesis FlgM"
"17","K05939",2.58467333839963,-0.0006661028725055,-2.58467333839963,"Degradation","Lipid degradation","Lipid degradation: other"," 09100 Metabolism","  09103 Lipid metabolism","   00071 Fatty acid degradation","    K05939  aas; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase"
"18","K01829",2.55807556603855,-0.000659248291576937,-2.55807556603855,NA,NA,NA," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K01829  dsbH; disulfide reductase"
"19","K18553",2.55092499702015,-0.000657405499881582,-2.55092499702015,NA,NA,NA," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   02000 Transporters","    K18553  cmlR, cmx; MFS transporter, DHA1 family, chloramphenicol resistance protein"
"20","K12369",2.535942955614,-0.000653544439116815,-2.535942955614,NA,NA,NA," 09130 Environmental Information Processing","  09131 Membrane transport","   02010 ABC transporters","    K12369  dppB; dipeptide transport system permease protein"
"21","K02483",2.51922474146115,-0.000649235944768639,-2.51922474146115,NA,NA,NA," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   02022 Two-component system","    K02483  K02483; two-component system, OmpR family, response regulator"
"22","K17818",2.50304846669852,-0.000645067115026891,-2.50304846669852,NA,NA,NA," 09100 Metabolism","  09101 Carbohydrate metabolism","   00040 Pentose and glucuronate interconversions","    K17818  ARD1; D-arabinitol dehydrogenase (NADP+)"
"23","K02405",2.49415352158189,-0.000642774775641119,-2.49415352158189,NA,NA,NA," 09130 Environmental Information Processing","  09132 Signal transduction","   02020 Two-component system","    K02405  fliA, whiG; RNA polymerase sigma factor FliA"
"24","K05342",2.47490332872329,-0.000637813758490946,-2.47490332872329,NA,NA,NA," 09100 Metabolism","  09101 Carbohydrate metabolism","   00500 Starch and sucrose metabolism","    K05342  treP; alpha,alpha-trehalose phosphorylase"
"25","K10439",2.47090188034122,-0.000636782534845822,-2.47090188034122,NA,NA,NA," 09130 Environmental Information Processing","  09131 Membrane transport","   02010 ABC transporters","    K10439  rbsB; ribose transport system substrate-binding protein"
"26","K01627",2.44948283956167,-0.000631262578270417,-2.44948283956167,NA,NA,NA," 09100 Metabolism","  09107 Glycan biosynthesis and metabolism","   00540 Lipopolysaccharide biosynthesis","    K01627  kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)"
"27","K24725",2.4441862499649,-0.000629897580422342,-2.4441862499649,NA,NA,NA," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   04990 Domain-containing proteins not elsewhere classified","    K24725  AAMP; angio-associated migratory cell protein"
"28","K00657",2.42476171438369,-0.000624891632956757,-2.42476171438369,"Degradation","Amino acid degradation","Amino acid degradation: Arginine/Proline"," 09100 Metabolism","  09105 Amino acid metabolism","   00330 Arginine and proline metabolism","    K00657  speG, SAT; diamine N-acetyltransferase"
"29","K04117",2.38697069290186,-0.000615152410754098,-2.38697069290186,"Degradation","Xenobiotics degradation","Xenobiotics degradation: Benzoate"," 09100 Metabolism","  09111 Xenobiotics biodegradation and metabolism","   00362 Benzoate degradation","    K04117  aliB; cyclohexanecarboxyl-CoA dehydrogenase"
"30","K10117",2.38049498935708,-0.000613483540391026,-2.38049498935708,NA,NA,NA," 09130 Environmental Information Processing","  09131 Membrane transport","   02010 ABC transporters","    K10117  msmE; raffinose/stachyose/melibiose transport system substrate-binding protein"
"31","K11604",2.3804309974051,-0.000613467048859041,-2.3804309974051,NA,NA,NA," 09130 Environmental Information Processing","  09131 Membrane transport","   02010 ABC transporters","    K11604  sitA; manganese/iron transport system substrate-binding protein"
"32","K06162",2.37604729013291,-0.000612337312283496,-2.37604729013291,NA,NA,NA," 09100 Metabolism","  09106 Metabolism of other amino acids","   00440 Phosphonate and phosphinate metabolism","    K06162  phnM; alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase"
"33","K00558",2.36717588975014,-0.000610051040672181,-2.36717588975014,"Degradation","Amino acid degradation","Amino acid degradation: Cysteine/methionine"," 09100 Metabolism","  09105 Amino acid metabolism","   00270 Cysteine and methionine metabolism","    K00558  DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1"
"34","K00558",2.36717588975014,-0.000610051040672181,-2.36717588975014,"Biosynthesis","Amino acid biosynthesis","Amino acid biosynthesis: Cysteine"," 09100 Metabolism","  09105 Amino acid metabolism","   00270 Cysteine and methionine metabolism","    K00558  DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1"
"35","K12537",2.36503299715556,-0.000609498790261454,-2.36503299715556,NA,NA,NA," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   02000 Transporters","    K12537  hasE, prtE, rsaE, prsE, eexE; membrane fusion protein, type I secretion system"
"36","K03953",2.36288826647201,-0.000608946066152052,-2.36288826647201,"Energy","Electron transport chain","ETC: NADH reductase"," 09100 Metabolism","  09102 Energy metabolism","   00190 Oxidative phosphorylation","    K03953  NDUFA9; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9"
"37","K07343",2.3572467219498,-0.000607492169075086,-2.3572467219498,NA,NA,NA," 09190 Not Included in Pathway or Brite","  09193 Unclassified: signaling and cellular processes","   99993 Cell motility","    K07343  tfoX; DNA transformation protein and related proteins"
"38","K01235",2.35589231795754,-0.00060714312210796,-2.35589231795754,NA,NA,NA," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99980 Enzymes with EC numbers","    K01235  aguA; alpha-glucuronidase"
"39","K18189",2.35302319786964,-0.000606403713725586,-2.35302319786964,NA,NA,NA," 09180 Brite Hierarchies","  09182 Protein families: genetic information processing","   03029 Mitochondrial biogenesis","    K18189  TACO1; translational activator of cytochrome c oxidase 1"
"40","K01191",2.35127924101274,-0.000605954274078941,-2.35127924101274,NA,NA,NA," 09100 Metabolism","  09107 Glycan biosynthesis and metabolism","   00511 Other glycan degradation","    K01191  MAN2C1; alpha-mannosidase"
"41","K01834",2.34629863359219,-0.00060467070881738,-2.34629863359219,"Energy","Central metabolism","Central C metabolism: Glycolysis/Gluconeogenesis"," 09100 Metabolism","  09101 Carbohydrate metabolism","   00010 Glycolysis / Gluconeogenesis","    K01834  PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
"42","K16841",2.32868462746191,-0.000600131357594385,-2.32868462746191,"Degradation","Nucleotide degradation","Nucleotide degradation: purine"," 09100 Metabolism","  09104 Nucleotide metabolism","   00230 Purine metabolism","    K16841  hpxA; allantoin racemase"
"43","K09781",2.32078675977353,-0.00059809597761977,-2.32078675977353,NA,NA,NA," 09190 Not Included in Pathway or Brite","  09194 Poorly characterized","   99997 Function unknown","    K09781  K09781; uncharacterized protein"
"44","K06997",2.3133801477167,-0.000596187200408625,-2.3133801477167,NA,NA,NA," 09190 Not Included in Pathway or Brite","  09191 Unclassified: metabolism","   99985 Amino acid metabolism","    K06997  yggS, PROSC; PLP dependent protein"
"45","K09937",2.30860799183492,-0.000594957355733992,-2.30860799183492,NA,NA,NA," 09190 Not Included in Pathway or Brite","  09194 Poorly characterized","   99997 Function unknown","    K09937  K09937; uncharacterized protein"
"46","K09795",2.30607872145018,-0.000594305530900429,-2.30607872145018,NA,NA,NA," 09190 Not Included in Pathway or Brite","  09194 Poorly characterized","   99997 Function unknown","    K09795  K09795; uncharacterized protein"
"47","K07460",2.30173690373673,-0.000593186589791756,-2.30173690373673,NA,NA,NA," 09190 Not Included in Pathway or Brite","  09192 Unclassified: genetic information processing","   99976 Replication and repair","    K07460  yraN; putative endonuclease"
"48","K03090",2.29145505680258,-0.00059053682833999,-2.29145505680258,NA,NA,NA," 09180 Brite Hierarchies","  09182 Protein families: genetic information processing","   03021 Transcription machinery","    K03090  sigB; RNA polymerase sigma-B factor"
