"","ko_id","X","P14_x100_t0","P16_x100_t0","P03_x100_t0","P08_x100_t0","P10_x50_t0","P13_x50_t0","P09_x50_t0","P14_x100_t168","P16_x100_t168","P03_x100_t168","P08_x100_t168","P10_x50_t168","P13_x50_t168","P04_x50_t168","P09_x50_t168","P14_x100_t24","P16_x100_t24","P03_x100_t24","P08_x100_t24","P10_x50_t24","P13_x50_t24","P04_x50_t24","P09_x50_t24","P14_x100_t3","P16_x100_t3","P03_x100_t3","P08_x100_t3","P10_x50_t3","P04_x50_t3","P09_x50_t3","P14_x100_t48","P16_x100_t48","P03_x100_t48","P08_x100_t48","P10_x50_t48","P13_x50_t48","P04_x50_t48","P09_x50_t48","P14_x100_t72","P16_x100_t72","P03_x100_t72","P08_x100_t72","P10_x50_t72","P13_x50_t72","P04_x50_t72","P09_x50_t72","P13_x50_t3","Level1","Level2","Level3","Level4"
"1","K00001",1,2,2,2,0,0,4,2,4,0,8,1,1,2,2,22,22,4,2,29,2,3,8,28,2,6,8,0,4,0,7,0,4,3,19,6,3,52,20,7,0,14,6,0,4,7,12,0," 09100 Metabolism","  09101 Carbohydrate metabolism","   00010 Glycolysis / Gluconeogenesis","    K00001  E1.1.1.1, adh; alcohol dehydrogenase"
"2","K00003",2,45,29,42,19,45,93,73,226,300,524,461,444,488,226,536,1215,4373,2056,1625,1553,372,1362,1343,856,650,622,0,1794,1248,1291,830,1271,1006,1026,926,961,1632,1316,567,672,1644,1028,655,600,655,357,919," 09100 Metabolism","  09105 Amino acid metabolism","   00260 Glycine, serine and threonine metabolism","    K00003  hom; homoserine dehydrogenase"
"3","K00004",3,14,2,2,0,0,0,12,25,17,38,24,15,17,16,67,86,95,53,81,108,21,80,160,14,79,42,0,62,185,86,96,32,55,127,40,61,175,192,34,41,111,90,30,36,59,4,61," 09100 Metabolism","  09101 Carbohydrate metabolism","   00650 Butanoate metabolism","    K00004  BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase"
"4","K00005",4,0,0,0,3,4,2,2,0,8,16,18,22,12,2,0,8,12,8,4,33,2,25,4,6,0,0,0,0,2,12,2,10,37,12,22,17,18,24,17,27,45,6,12,10,52,2,6," 09100 Metabolism","  09101 Carbohydrate metabolism","   00640 Propanoate metabolism","    K00005  gldA; glycerol dehydrogenase"
"5","K00007",5,0,0,0,0,0,0,0,0,0,0,2,0,22,8,18,8,0,0,2,8,0,4,4,0,0,0,0,2,5,0,0,0,13,8,0,8,16,1,5,6,21,29,10,1,18,2,0," 09100 Metabolism","  09101 Carbohydrate metabolism","   00040 Pentose and glucuronate interconversions","    K00007  dalD; D-arabinitol 4-dehydrogenase"
"6","K00008",6,8,0,5,2,4,19,8,34,34,70,85,116,99,34,114,113,193,166,94,182,46,72,77,55,24,35,0,420,89,40,75,77,150,76,115,107,183,182,67,48,270,116,125,53,130,24,161," 09100 Metabolism","  09101 Carbohydrate metabolism","   00040 Pentose and glucuronate interconversions","    K00008  SORD, gutB; L-iditol 2-dehydrogenase"
"7","K00009",7,3,4,0,2,0,14,5,6,12,35,60,0,40,24,85,131,40,101,63,80,39,60,52,18,23,17,0,4,33,11,33,50,60,92,58,97,145,70,59,73,111,100,64,53,66,16,8," 09100 Metabolism","  09101 Carbohydrate metabolism","   00051 Fructose and mannose metabolism","    K00009  mtlD; mannitol-1-phosphate 5-dehydrogenase"
"8","K00010",8,32,14,21,34,15,49,52,182,312,517,342,176,279,202,363,708,9377,6010,2438,1062,173,3020,1287,727,1134,1438,0,1812,2934,1816,576,995,880,1332,603,540,1234,876,367,471,1768,588,416,337,1293,263,1008," 09100 Metabolism","  09101 Carbohydrate metabolism","   00562 Inositol phosphate metabolism","    K00010  iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase"
"9","K00012",9,104,47,70,96,75,164,156,979,1029,1697,1682,1148,1527,609,2054,3573,2874,3974,4341,4656,1493,2679,3413,1933,1023,1211,0,2323,2136,2944,2341,3268,2954,2844,3055,2574,3498,4151,1800,1935,4314,2708,1696,1723,2038,1011,1674," 09100 Metabolism","  09101 Carbohydrate metabolism","   00040 Pentose and glucuronate interconversions","    K00012  UGDH, ugd; UDPglucose 6-dehydrogenase"
"10","K00013",10,37,52,48,32,28,67,45,95,104,260,218,123,236,135,238,445,571,571,495,465,101,482,533,267,316,329,0,483,552,804,247,307,387,327,202,326,564,480,204,252,649,276,232,192,279,100,362," 09100 Metabolism","  09105 Amino acid metabolism","   00340 Histidine metabolism","    K00013  hisD; histidinol dehydrogenase"
