Biomolecule,Shared,Shared2,KO,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00568,,shared,k13657,"gumH, aceA; alpha-1,3-mannosyltransferase [EC:2.4.1.252]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00569,,shared,k13659,gumK; 2-beta-glucuronyltransferase [EC:2.4.1.264],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00543,,shared,k03606,wcaJ; putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00543,,shared,k16710,"wcaK, amsJ; colanic acid/amylovoran biosynthesis protein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00543,,shared,k16703,"wcaL, amsK; colanic acid/amylovoran biosynthesis glycosyltransferase [EC:2.4.-.-]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00543,E coli,colanic acid,k03208,wcaI; colanic acid biosynthesis glycosyl transferase WcaI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00543,E coli,colanic acid,k03818,wcaF; putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00543,E coli,colanic acid,k13683,wcaE; putative colanic acid biosynthesis glycosyltransferase [EC:2.4.-.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00543,E coli,colanic acid,k03819,wcaB; putative colanic acid biosynthesis acetyltransferase WcaB [EC:2.3.1.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00544,E coli,colanic acid,k25875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00545,E coli,colanic acid,k13684,wcaC; putative colanic acid biosynthesis glycosyltransferase [EC:2.4.-.-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00543,pseudomonas aeruginosa,alginate,k19290,alg8; mannuronan synthase [EC:2.4.1.33],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00543,pseudomonas aeruginosa,alginate,k19291,alg44; mannuronan synthase [EC:2.4.1.33],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00543,pseudomonas aeruginosa,alginate,k19292,algK; alginate biosynthesis protein AlgK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00543,pseudomonas aeruginosa,alginate,k19293,algX; alginate biosynthesis protein AlgX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00543,pseudomonas aeruginosa,alginate,k19294,algI; alginate O-acetyltransferase complex protein AlgI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00543,pseudomonas aeruginosa,alginate,k19295,algJ; alginate O-acetyltransferase complex protein AlgJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00543,pseudomonas aeruginosa,alginate,k19296,algF; alginate O-acetyltransferase complex protein AlgF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00544,enterobacteria,enterobacterial common antigen,k02851,"wecA, tagO, rfe; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00545,enterobacteria,enterobacterial common antigen,k02852,"wecG, rffM; UDP-N-acetyl-D-mannosaminouronate:lipid I N-acetyl-D-mannosaminouronosyltransferase [EC:2.4.1.180]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00546,enterobacteria,enterobacterial common antigen,k12582,"wecF, rffT; dTDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase [EC:2.4.1.325]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00547,pseudomonas aeruginosa,Ps1 polysaccharide,k20997,pslA; polysaccharide biosynthesis protein PslA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00548,pseudomonas aeruginosa,Ps1 polysaccharide,k25205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00549,pseudomonas aeruginosa,Ps1 polysaccharide,k20999,pslF; polysaccharide biosynthesis protein PslF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00550,pseudomonas aeruginosa,Ps1 polysaccharide,k21001,pslH; polysaccharide biosynthesis protein PslH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00551,pseudomonas aeruginosa,Ps1 polysaccharide,k21002,pslI; polysaccharide biosynthesis protein PslI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00552,E. coli,poly N-acetyl-glucosamine,k11936,"pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exopolysaccharides map00553,E. coli,poly N-acetyl-glucosamine,k21461,"icaD; poly-beta-1,6-N-acetyl-D-glucosamine synthesis protein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
