"","Query","VIP","Comp1","coefficient","Level1","Level2","Level3","Level4","VIP.sign","fct_reorder.Query..VIP.sign."
"1","K06163",3.53932638077518,0.0139877904924464,0.000912128985099753," 09100 Metabolism","  09106 Metabolism of other amino acids","   00440 Phosphonate and phosphinate metabolism","    K06163  phnJ; alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase",3.53932638077518,"K06163"
"2","K01655",3.31820294577304,0.0256391346453992,0.000855142690915123," 09100 Metabolism","  09101 Carbohydrate metabolism","   00620 Pyruvate metabolism","    K01655  LYS21, LYS20; homocitrate synthase",3.31820294577304,"K01655"
"3","K03806",3.16769233872242,0.0235587478095532,0.000816354211841384," 09180 Brite Hierarchies","  09181 Protein families: metabolism","   01011 Peptidoglycan biosynthesis and degradation proteins","    K03806  ampD; N-acetyl-anhydromuramoyl-L-alanine amidase",3.16769233872242,"K03806"
"4","K14584",3.15816898042701,0.0144736480947986,0.000813899922464764," 09100 Metabolism","  09111 Xenobiotics biodegradation and metabolism","   00626 Naphthalene degradation","    K14584  nahD; 2-hydroxychromene-2-carboxylate isomerase",3.15816898042701,"K14584"
"5","K09736",3.10530833681321,0.0317493125378497,0.00080027706884124," 09190 Not Included in Pathway or Brite","  09194 Poorly characterized","   99997 Function unknown","    K09736  K09736; uncharacterized protein",3.10530833681321,"K09736"
"6","K00374",3.04910293432176,0.0127148754813478,0.000785792228728693," 09100 Metabolism","  09102 Energy metabolism","   00910 Nitrogen metabolism","    K00374  narI, narV; nitrate reductase gamma subunit",3.04910293432176,"K00374"
"7","K25034",3.01979506514528,0.0181249411146829,0.000778239221717926," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   02000 Transporters","    K25034  btuF; cobalamin transport system substrate-binding protein",3.01979506514528,"K25034"
"8","K12426",2.9697317572402,0.017522245173085,0.00076533727673816," 09180 Brite Hierarchies","  09181 Protein families: metabolism","   01004 Lipid biosynthesis proteins","    K12426  fadD26; long-chain fatty acid adenylase/transferase FadD26",2.9697317572402,"K12426"
"9","K22902",2.96095639560909,0.000829737687577719,0.000763075755522726," 09100 Metabolism","  09107 Glycan biosynthesis and metabolism","   00572 Arabinogalactan biosynthesis - Mycobacterium","    K22902  K22902; D-galactosaminyltransferase",2.96095639560909,"K22902"
"10","K19231",2.93784023362397,0.00169972704710292,0.000757118429437906," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   02000 Transporters","    K19231  bmaC; fibronectin-binding autotransporter adhesin",2.93784023362397,"K19231"
"11","K05778",2.92052095647734,0.00501259536105546,0.00075265503358602," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   02000 Transporters","    K05778  ynjC; putative thiamine transport system permease protein",2.92052095647734,"K05778"
"12","K02019",2.91568802941971,0.0165748565728371,0.000751409527413977," 09180 Brite Hierarchies","  09182 Protein families: genetic information processing","   03000 Transcription factors","    K02019  modE; molybdate transport system regulatory protein",2.91568802941971,"K02019"
"13","K15740",2.90047550855701,0.0273572458971456,0.000747489069190436," 09100 Metabolism","  09108 Metabolism of cofactors and vitamins","   00790 Folate biosynthesis","    K15740  mptN; tetrahydromethanopterin:alpha-L-glutamate ligase",2.90047550855701,"K15740"
"14","K20971",2.89669323531461,0.0012112575494206,0.000746514329739251," 09140 Cellular Processes","  09145 Cellular community - prokaryotes","   02025 Biofilm formation - Pseudomonas aeruginosa","    K20971  ladS; two-component system, sensor histidine kinase LadS",2.89669323531461,"K20971"
"15","K14051",2.87983309521226,0.0125708856968293,0.000742169259286375," 09140 Cellular Processes","  09145 Cellular community - prokaryotes","   02024 Quorum sensing","    K14051  gmr, pdeR; c-di-GMP phosphodiesterase Gmr",2.87983309521226,"K14051"
"16","K20866",2.85868983005519,0.0254828138291298,0.000736720373562196," 09100 Metabolism","  09101 Carbohydrate metabolism","   00010 Glycolysis / Gluconeogenesis","    K20866  yihX; glucose-1-phosphatase",2.85868983005519,"K20866"
"17","K19969",2.84631360197668,0.0080622916987057,0.000733530863711414," 09100 Metabolism","  09110 Biosynthesis of other secondary metabolites","   00525 Acarbose and validamycin biosynthesis","    K19969  acbC, salQ, valA, cetA; 2-epi-5-epi-valiolone synthase",2.84631360197668,"K19969"
"18","K04114",2.80660924606645,0.0246265957383181,0.000723298551128671," 09100 Metabolism","  09111 Xenobiotics biodegradation and metabolism","   00362 Benzoate degradation","    K04114  bcrA, badF; benzoyl-CoA reductase subunit A",2.80660924606645,"K04114"
"19","K00662",2.79798383064722,0.0152320738099605,0.000721075672940567," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   01504 Antimicrobial resistance genes","    K00662  aacC; aminoglycoside 3-N-acetyltransferase",2.79798383064722,"K00662"
"20","K16423",2.78853428540795,0.0339201683729356,0.000718640406118167," 09100 Metabolism","  09109 Metabolism of terpenoids and polyketides","   01055 Biosynthesis of vancomycin group antibiotics","    K16423  hpgT, nocG; (S)-3,5-dihydroxyphenylglycine transaminase",2.78853428540795,"K16423"
"21","K06914",2.74199352140193,0.03563121663931,0.000706646265066591," 09100 Metabolism","  09102 Energy metabolism","   00680 Methane metabolism","    K06914  mfnD; tyramine---L-glutamate ligase",2.74199352140193,"K06914"
"22","K04098",2.73635768179258,0.0160178863690893,0.000705193838217522," 09100 Metabolism","  09111 Xenobiotics biodegradation and metabolism","   00362 Benzoate degradation","    K04098  chqB; hydroxyquinol 1,2-dioxygenase",2.73635768179258,"K04098"
