"","Query","VIP","level","Comp1","coefficient","Level1","Level2","Level3","Level4","VIP.sign","fct_reorder(Query, VIP.sign)"
"1","K06163",1.80809638540784,"top_5",0.0139877904924464,0.000912128985099753," 09100 Metabolism","  09106 Metabolism of other amino acids","   00440 Phosphonate and phosphinate metabolism","    K06163  phnJ; alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase",1.80809638540784,"K06163"
"2","K01655",1.69513351040201,"top_5",0.0256391346453992,0.000855142690915123," 09100 Metabolism","  09101 Carbohydrate metabolism","   00620 Pyruvate metabolism","    K01655  LYS21, LYS20; homocitrate synthase",1.69513351040201,"K01655"
"3","K03806",1.61824382708488,"top_5",0.0235587478095532,0.000816354211841384," 09180 Brite Hierarchies","  09181 Protein families: metabolism","   01011 Peptidoglycan biosynthesis and degradation proteins","    K03806  ampD; N-acetyl-anhydromuramoyl-L-alanine amidase",1.61824382708488,"K03806"
"4","K14584",1.6133787347316,"top_5",0.0144736480947986,0.000813899922464764," 09100 Metabolism","  09111 Xenobiotics biodegradation and metabolism","   00626 Naphthalene degradation","    K14584  nahD; 2-hydroxychromene-2-carboxylate isomerase",1.6133787347316,"K14584"
"5","K09736",1.58637440442525,"top_5",0.0317493125378497,0.00080027706884124," 09190 Not Included in Pathway or Brite","  09194 Poorly characterized","   99997 Function unknown","    K09736  K09736; uncharacterized protein",1.58637440442525,"K09736"
"6","K00374",1.55766137427432,"top_5",0.0127148754813478,0.000785792228728693," 09100 Metabolism","  09102 Energy metabolism","   00910 Nitrogen metabolism","    K00374  narI, narV; nitrate reductase gamma subunit",1.55766137427432,"K00374"
"7","K25034",1.54268918843414,"top_5",0.0181249411146829,0.000778239221717926," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   02000 Transporters","    K25034  btuF; cobalamin transport system substrate-binding protein",1.54268918843414,"K25034"
"8","K12426",1.51711390197387,"top_5",0.017522245173085,0.00076533727673816," 09180 Brite Hierarchies","  09181 Protein families: metabolism","   01004 Lipid biosynthesis proteins","    K12426  fadD26; long-chain fatty acid adenylase/transferase FadD26",1.51711390197387,"K12426"
"9","K22902",1.51263093037451,"top_5",0.000829737687577719,0.000763075755522726," 09100 Metabolism","  09107 Glycan biosynthesis and metabolism","   00572 Arabinogalactan biosynthesis - Mycobacterium","    K22902  K22902; D-galactosaminyltransferase",1.51263093037451,"K22902"
"10","K19231",1.50082183326586,"top_5",0.00169972704710292,0.000757118429437906," 09180 Brite Hierarchies","  09183 Protein families: signaling and cellular processes","   02000 Transporters","    K19231  bmaC; fibronectin-binding autotransporter adhesin",1.50082183326586,"K19231"
